"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Lamiaceae"	"Larix"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"
3134	4078	"Gotnavolok"	62.2	33.8	10	"AWI"	10	-114	74	-22	0.425531914893617	0	1.27659574468085	1.27659574468085	0.851063829787234	0.425531914893617	0	0.425531914893617	0	0	0	7.65957446808511	0	1.27659574468085	0.425531914893617	0	0	0	10.6382978723404	67.2340425531915	0.425531914893617	5.95744680851064	0	0	0	0	0	0	0	1.27659574468085	0	0.425531914893617	0	0	0
3134	4078	"Gotnavolok"	62.2	33.8	25	"AWI"	25	-80	203	33	0.625	0	1.875	0	0	0	0	0	0	0	0	8.75	0	3.125	0.625	0	0	0	20.625	48.75	0	11.25	0.625	0	0	0	0	0	0.625	2.5	0	0	0	0	0.625
3134	4078	"Gotnavolok"	62.2	33.8	50	"AWI"	50	-7	310	140	0	0	0	0	1.55038759689922	0	0	0	0	0	0	8.52713178294574	0	3.87596899224806	0	0	0	0	7.75193798449612	62.015503875969	0	11.6279069767442	0	0	0	0	0	0	0.775193798449612	3.87596899224806	0	0	0	0	0
3134	4078	"Gotnavolok"	62.2	33.8	75	"AWI"	75	90	395	249	0	0	0	0	0	0	0	0	0	0.609756097560976	0.609756097560976	3.65853658536585	0	1.82926829268293	0	0	0	0	14.6341463414634	71.3414634146341	0	4.8780487804878	0	0.609756097560976	0	0.609756097560976	0	0	0	1.21951219512195	0	0	0	0	0
3134	4078	"Gotnavolok"	62.2	33.8	100	"AWI"	100	232	461	353	0.381679389312977	0	0	0	0	0	0	0	0	0	0	2.29007633587786	0	0.763358778625954	0.763358778625954	0	0	0	8.77862595419847	79.7709923664122	0	5.34351145038168	0	0	0.381679389312977	0	0	0	0.381679389312977	1.14503816793893	0	0	0	0	0
3134	4078	"Gotnavolok"	62.2	33.8	125	"AWI"	125	343	683	483	0	0	0	0	0.72202166064982	0.36101083032491	0	0	0.36101083032491	0	0	1.80505415162455	0	0.36101083032491	0	0	0	0	21.6606498194946	68.2310469314079	0	3.6101083032491	0	0.36101083032491	0.72202166064982	0.36101083032491	0	0	0	1.08303249097473	0.36101083032491	0	0	0	0
3134	4078	"Gotnavolok"	62.2	33.8	150	"AWI"	150	425	1006	645	0	0	0.384615384615385	0	0	0	0	0	0	0	0	2.30769230769231	0	1.92307692307692	0.769230769230769	0	0	0	28.8461538461538	61.5384615384615	0	4.23076923076923	0	0	0	0	0	0	0	0	0	0	0	0	0
3134	4078	"Gotnavolok"	62.2	33.8	175	"AWI"	175	522	1263	816	0	0	0.383141762452107	0	0	0	0	0	0	0	0.383141762452107	1.91570881226054	0	1.91570881226054	0.383141762452107	0	0	0	42.1455938697318	49.8084291187739	0	1.91570881226054	0	0	0	0.383141762452107	0	0	0	0.383141762452107	0	0	0	0.383141762452107	0
3134	4078	"Gotnavolok"	62.2	33.8	200	"AWI"	200	634	1485	997	0.418410041841004	0	0	0	0.836820083682008	0	0	0	0	0	0	1.67364016736402	0	4.60251046025105	0.418410041841004	0	0	0	31.3807531380753	54.3933054393305	0	2.92887029288703	0	0.418410041841004	0	0.418410041841004	0	0	0	0.836820083682008	0.418410041841004	0	0	0	1.25523012552301
3134	4078	"Gotnavolok"	62.2	33.8	225	"AWI"	225	761	1692	1172	0.45045045045045	0	0	0	0	0	0	0	0	0	0	4.05405405405405	0	0.900900900900901	0	0	0	0	29.2792792792793	60.8108108108108	0	3.6036036036036	0	0	0	0	0	0.45045045045045	0	0	0	0.45045045045045	0	0	0
3134	4078	"Gotnavolok"	62.2	33.8	250	"AWI"	250	918	1897	1356	0.452488687782805	0	0.904977375565611	0	0	0	0	0	0	0	0	9.04977375565611	0	6.78733031674208	0	0	0	0	25.3393665158371	49.7737556561086	0	5.42986425339367	0	0	0.452488687782805	0.904977375565611	0	0	0	0	0	0	0	0	0.904977375565611
3134	4078	"Gotnavolok"	62.2	33.8	275	"AWI"	275	1078	2050	1539	0	0	0.649350649350649	0	0	0	0	0	0	0	0	6.49350649350649	0	5.84415584415584	0	0	0	0	35.7142857142857	45.4545454545455	0	4.54545454545455	0	0	0	0.649350649350649	0	0	0	0.649350649350649	0	0	0	0	0
