"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Fabaceae"	"Fagus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Orchidaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"
15778	24250	"Kožlí"	49.37639	14.02583	10	"AWI"	10	-23	937	281	14	0	25	1	0	3	0	0	15	1	0	0	0	2	4	0	19	0	0	0	1	0	0	1	2	1	107	179	0	24	1	0	8	0	0	1	0	1	0	10	2
15778	24250	"Kožlí"	49.37639	14.02583	20	"AWI"	20	163	1362	675	11	0	23	0	0	4	0	0	12	3	1	0	0	2	11	0	8	0	1	0	0	0	0	0	1	0	99	167	0	28	1	0	9	0	0	1	0	1	0	20	1
15778	24250	"Kožlí"	49.37639	14.02583	30	"AWI"	30	466	1721	1062	35	0	92	1	0	2	0	0	11	1	1	1	0	1	9	0	9	0	6	0	0	0	0	0	0	1	123	517	1	25	0	0	17	0	0	0	0	2	0	24	1
15778	24250	"Kožlí"	49.37639	14.02583	35	"AWI"	35	818	1869	1232	38	0	86	0	0	1	0	0	21	2	0	0	0	1	8	0	7	1	10	0	0	0	0	0	0	1	106	422	1	23	0	0	24	0	0	1	0	1	0	28	0
15778	24250	"Kožlí"	49.37639	14.02583	40	"AWI"	40	1018	2088	1421	33	0	104	1	0	5	0	0	15	7	0	0	0	0	10	2	11	0	9	1	0	0	0	0	0	2	111	407	2	16	0	0	29	0	0	1	0	4	0	30	0
15778	24250	"Kožlí"	49.37639	14.02583	45	"AWI"	45	1280	2968	1895	15	0	130	2	0	4	0	0	16	4	0	1	0	0	10	3	7	0	7	0	0	0	0	0	0	0	112	401	0	16	0	1	31	0	0	0	0	2	3	25	0
15778	24250	"Kožlí"	49.37639	14.02583	50	"AWI"	50	1400	4252	2326	18	0	55	0	0	5	0	0	9	9	0	0	0	10	12	15	5	1	2	0	0	0	0	0	0	0	93	622	0	12	0	1	47	0	0	2	0	0	0	7	1
15778	24250	"Kožlí"	49.37639	14.02583	55	"AWI"	55	1730	4710	2850	20	0	99	0	0	3	0	0	16	2	0	0	0	2	10	13	17	0	5	0	0	0	0	0	0	0	102	583	1	0	0	0	52	0	0	1	0	0	1	12	1
15778	24250	"Kožlí"	49.37639	14.02583	60	"AWI"	60	1917	5561	3360	32	0	121	0	0	2	0	0	21	0	0	0	0	0	10	0	50	0	6	0	0	0	0	0	0	0	33	521	0	0	0	0	41	0	5	1	0	0	4	6	6
15778	24250	"Kožlí"	49.37639	14.02583	65	"AWI"	65	2339	6012	3912	33	2	153	0	0	2	1	0	51	0	0	0	0	0	15	0	31	0	4	0	0	2	0	0	0	0	283	218	0	0	0	0	39	0	2	0	0	0	0	11	7
15778	24250	"Kožlí"	49.37639	14.02583	70	"AWI"	70	2592	6691	4418	20	1	170	0	4	7	1	0	40	0	0	0	0	0	26	0	35	0	2	0	0	0	0	0	0	0	365	153	0	0	0	0	42	0	0	1	0	0	0	43	6
15778	24250	"Kožlí"	49.37639	14.02583	75	"AWI"	75	3076	7005	4966	7	0	14	0	0	1	0	0	13	0	0	0	0	0	21	0	23	0	1	0	0	0	0	0	0	0	169	184	0	0	0	0	15	0	0	0	0	0	0	52	8
15778	24250	"Kožlí"	49.37639	14.02583	80	"AWI"	80	3385	7577	5486	1	1	9	0	0	0	0	0	11	0	0	0	0	0	25	0	3	0	0	0	0	0	0	0	0	0	171	194	1	0	0	0	4	0	0	0	0	1	0	11	1
15778	24250	"Kožlí"	49.37639	14.02583	85	"AWI"	85	4007	7864	6037	1	0	11	0	0	0	0	0	30	0	0	0	0	0	39	0	2	0	0	0	0	0	0	0	0	0	102	462	0	0	0	0	3	0	0	0	0	2	0	7	0
15778	24250	"Kožlí"	49.37639	14.02583	90	"AWI"	90	4380	8321	6574	0	0	6	0	0	1	0	0	18	0	0	0	0	0	37	0	4	0	0	0	0	0	0	0	0	0	51	578	0	0	0	0	0	0	0	1	0	2	0	5	1
15778	24250	"Kožlí"	49.37639	14.02583	95	"AWI"	95	5166	8565	7108	0	0	7	0	0	5	0	0	26	0	0	0	0	0	11	0	2	0	0	0	0	0	0	0	0	0	19	612	0	0	0	0	0	0	0	1	0	5	0	1	0
15778	24250	"Kožlí"	49.37639	14.02583	100	"AWI"	100	5641	8966	7671	0	0	6	0	0	3	0	0	21	0	0	0	0	0	3	0	3	0	0	0	1	0	0	0	0	0	13	738	0	0	0	0	0	0	0	1	0	4	0	0	0
15778	24250	"Kožlí"	49.37639	14.02583	105	"AWI"	105	6728	9164	8116	0	0	1	0	0	0	0	0	19	0	0	0	0	0	2	0	11	0	0	0	0	0	0	0	0	0	8	722	0	0	0	0	0	0	0	0	0	1	0	0	0
15778	24250	"Kožlí"	49.37639	14.02583	110	"AWI"	110	7398	9546	8627	0	0	2	0	0	0	0	0	13	0	1	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	2	704	0	0	0	0	0	0	0	0	0	0	0	0	0
15778	24250	"Kožlí"	49.37639	14.02583	120	"AWI"	120	8677	10905	9568	0	0	0	0	0	5	0	0	32	2	1	0	0	0	1	0	74	0	0	0	0	0	0	0	0	0	2	748	0	0	0	0	0	0	0	0	0	6	0	0	0
15778	24250	"Kožlí"	49.37639	14.02583	130	"AWI"	130	9152	13105	10480	0	0	1	0	0	13	0	0	43	7	1	0	0	0	0	0	133	0	0	0	0	0	2	0	0	0	3	778	0	0	0	0	0	0	0	2	0	11	0	0	0
15778	24250	"Kožlí"	49.37639	14.02583	140	"AWI"	140	9702	14737	11508	0	0	0	0	0	16	0	0	56	12	2	0	0	0	0	0	146	0	0	0	1	3	0	0	0	0	1	825	0	0	0	0	0	0	0	2	0	14	0	0	0
