"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Lentibulariaceae"	"Linaceae"	"Lythraceae"	"Melanthiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
14471	22656	"Bobrov"	49.447508	19.558798	1	"AWI"	1	-108	54	-19	0.614250614250614	0	1.84275184275184	0	0.122850122850123	0	0	0.737100737100737	0	0	0	0	0	0	0.491400491400491	42.2604422604423	0	0	0	0	0	0	2.45700245700246	0	0	0.122850122850123	0	0	0	0	0	0	21.007371007371	21.4987714987715	0	5.8968058968059	0	0.122850122850123	0.245700245700246	0	0	0	0	1.84275184275184	0	0.245700245700246	0.368550368550369	0	0	0.122850122850123	0
14471	22656	"Bobrov"	49.447508	19.558798	10	"AWI"	10	8	347	162	1.1472275334608	0	0.701083492670491	0	0.0637348629700446	0.0637348629700446	0	0.382409177820268	0.127469725940089	0	0	0	0	0	0.127469725940089	66.2205226258764	0	0	0	0	0	0	4.1427660930529	0	0.0637348629700446	0	0	0	0	0	0	0	8.73167622689611	10.6437221159975	0	5.73613766730401	0	0.0637348629700446	0.0637348629700446	0	0.191204588910134	0.382409177820268	0	0.637348629700446	0.0637348629700446	0.191204588910134	0.191204588910134	0	0	0.0637348629700446	0
14471	22656	"Bobrov"	49.447508	19.558798	15	"AWI"	15	108	421	272	1.01088646967341	0	1.94401244167963	0.15552099533437	0.0777604976671851	0.0777604976671851	0	0.855365474339036	0	0	0.0777604976671851	0.31104199066874	0	0	0.388802488335925	54.5878693623639	0	0	0.15552099533437	0	0.0777604976671851	0.0777604976671851	2.64385692068429	0	0.388802488335925	0.0777604976671851	0.0777604976671851	0	0	0	0	0.0777604976671851	7.15396578538103	15.0855365474339	0.31104199066874	11.1197511664075	0	0	0.31104199066874	0	0.46656298600311	0	0	0.933125972006221	0.31104199066874	1.08864696734059	0.0777604976671851	0	0	0.0777604976671851	0
14471	22656	"Bobrov"	49.447508	19.558798	20	"AWI"	20	225	482	376	2.60642919200695	0	3.04083405734144	0	0.173761946133797	0.173761946133797	0	1.12945264986968	0	0	0	0	0	0	0.868809730668984	50.9122502172024	0	0	0.347523892267593	0	0.260642919200695	0	1.39009556907037	0	0.173761946133797	0	0	0	0	0	0	0	12.6846220677672	12.858384013901	0	10.4257167680278	0	0	0.0868809730668983	0	0.52128583840139	0	0	0.347523892267593	0.260642919200695	0.868809730668984	0	0	0.0868809730668983	0.260642919200695	0.52128583840139
14471	22656	"Bobrov"	49.447508	19.558798	25	"AWI"	25	380	724	541	5.75396825396825	0	8.73015873015873	0.595238095238095	0.198412698412698	0.595238095238095	0	3.57142857142857	0.396825396825397	0	0	0	0	0	1.38888888888889	9.12698412698413	0	0	0.595238095238095	0	0	0	0.396825396825397	0	0	0	0	0	0	0	0	0.396825396825397	47.6190476190476	17.0634920634921	0.992063492063492	0	0	0	0.198412698412698	0	0.992063492063492	0	0	0.198412698412698	0.198412698412698	0.793650793650794	0	0	0	0.198412698412698	0
14471	22656	"Bobrov"	49.447508	19.558798	30	"AWI"	30	595	954	773	5.32786885245902	0	15.5737704918033	0.204918032786885	0.409836065573771	0.614754098360656	0	2.66393442622951	0	0	0	0	0	0	2.04918032786885	5.5327868852459	0	0	1.22950819672131	0	0.204918032786885	0	0.204918032786885	0	0	0	0	0	0	0	0.204918032786885	0	46.7213114754098	16.8032786885246	0	0	0	0	0	0	0.409836065573771	0	0	0.409836065573771	0	0.204918032786885	0	0	0.819672131147541	0.409836065573771	0
14471	22656	"Bobrov"	49.447508	19.558798	35	"AWI"	35	913	2027	1308	4.79166666666667	0.208333333333333	25	0.208333333333333	0.208333333333333	0.416666666666667	0	2.70833333333333	0	0	0	0	0	0	1.25	1.66666666666667	0	0	1.25	0	0.208333333333333	0	0	0	0	0	0	0	0	0	0	0.208333333333333	47.0833333333333	12.0833333333333	0	0	0	0	0.416666666666667	0	0.625	0	0	0	0	0.625	0	0	0.416666666666667	0.625	0
14471	22656	"Bobrov"	49.447508	19.558798	40	"AWI"	40	1312	2623	2065	3.26086956521739	0.181159420289855	16.8478260869565	0	0	0.543478260869565	0	2.35507246376812	0	0	0	0	0	0	2.17391304347826	3.26086956521739	0	0	2.35507246376812	0	0.181159420289855	0	0	0	0	0	0	0	0	0	0	0.36231884057971	53.4420289855072	12.1376811594203	0	0	0	0	0	0	0.905797101449275	0	0	0	0	0.543478260869565	0	0.181159420289855	0.72463768115942	0.543478260869565	0
14471	22656	"Bobrov"	49.447508	19.558798	45	"AWI"	45	2437	2903	2725	6.5979381443299	0	12.9896907216495	0	0	0.206185567010309	0	2.06185567010309	0	0	0	0	0	0	2.06185567010309	2.47422680412371	0	0	1.44329896907216	0	0.206185567010309	0	0	0	0	0	0	0	0	0	0	0.206185567010309	59.7938144329897	9.89690721649485	0	0	0	0	0.412371134020619	0	0.618556701030928	0	0	0	0	0	0	0	0.206185567010309	0.824742268041237	0
14471	22656	"Bobrov"	49.447508	19.558798	50	"AWI"	50	2955	4558	3757	3.23809523809524	0	12.1904761904762	0	0	0	0	1.52380952380952	0	0	0	0	0	0	2.28571428571429	3.61904761904762	0	0	0.952380952380952	0	0.761904761904762	0	0	0	0	0	0	0	0	0	0	0.19047619047619	60.5714285714286	10.6666666666667	0	0	0	0	0.571428571428571	0	0.380952380952381	0	0	0.19047619047619	0	0	0	0	0.571428571428571	2.28571428571429	0
