"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Arctostaphylos"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Grossulariaceae"	"Hypericaceae"	"Juglans"	"Lamiaceae"	"Larix"	"Liliaceae"	"Melanthiaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
15686	24048	"Oberaar"	46.54722	8.25556	0	"AWI"	0	-91	75	-12	15	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	13	0	0	636	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
15686	24048	"Oberaar"	46.54722	8.25556	1	"AWI"	1	-21	501	139	4	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	11	0	0	459	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	2	0	0
15686	24048	"Oberaar"	46.54722	8.25556	2	"AWI"	2	7	1001	284	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0	1	0	0	0	0	0
15686	24048	"Oberaar"	46.54722	8.25556	3	"AWI"	3	28	1504	432	4	0	0	2	0	0	0	0	0	0	0	3	0	0	1	0	1	0	22	0	0	266	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	1	0
15686	24048	"Oberaar"	46.54722	8.25556	4	"AWI"	4	46	2009	580	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	26	0	0	0	0	0	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
15686	24048	"Oberaar"	46.54722	8.25556	5	"AWI"	5	61	2511	727	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	73	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0
15686	24048	"Oberaar"	46.54722	8.25556	6	"AWI"	6	202	2691	980	2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	13	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0
15686	24048	"Oberaar"	46.54722	8.25556	7	"AWI"	7	288	2894	1247	4	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0
15686	24048	"Oberaar"	46.54722	8.25556	8	"AWI"	8	357	3153	1507	18	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	5	0	0	522	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
15686	24048	"Oberaar"	46.54722	8.25556	9	"AWI"	9	420	3488	1731	14	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	9	0	0	553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15686	24048	"Oberaar"	46.54722	8.25556	10	"AWI"	10	480	3908	1935	16	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	22	0	0	632	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	52	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0
15686	24048	"Oberaar"	46.54722	8.25556	11	"AWI"	11	768	4038	2164	23	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	20	0	0	670	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	3	0	0
15686	24048	"Oberaar"	46.54722	8.25556	12	"AWI"	12	934	4202	2396	15	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	13	0	0	554	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0
15686	24048	"Oberaar"	46.54722	8.25556	13	"AWI"	13	1074	4392	2655	23	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	5	0	7	0	0	530	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0
15686	24048	"Oberaar"	46.54722	8.25556	14	"AWI"	14	1187	4634	2901	17	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	10	0	1	562	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	1	0	0	1	0	1	2	0	0	0	0	0	0	0	1	0	0
15686	24048	"Oberaar"	46.54722	8.25556	15	"AWI"	15	1279	4914	3121	18	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	12	0	0	521	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
15686	24048	"Oberaar"	46.54722	8.25556	16	"AWI"	16	1604	5012	3354	18	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	14	0	0	478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	0	0	0	0	0	0	0	0	1	0	1	4	0	0	0	0	0	0	0	0	0	0
15686	24048	"Oberaar"	46.54722	8.25556	18	"AWI"	18	2144	5246	3820	12	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	10	0	0	598	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
15686	24048	"Oberaar"	46.54722	8.25556	20	"AWI"	20	2454	5635	4298	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0
15686	24048	"Oberaar"	46.54722	8.25556	23	"AWI"	23	3617	5877	4920	30	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	14	0	0	621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	33	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0
15686	24048	"Oberaar"	46.54722	8.25556	25	"AWI"	25	4063	6188	5390	22	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	15	0	0	765	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	31	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
15686	24048	"Oberaar"	46.54722	8.25556	28	"AWI"	28	5325	6469	5860	53	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0
15686	24048	"Oberaar"	46.54722	8.25556	30	"AWI"	30	5644	6966	6232	91	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	2	0	11	0	0	730	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0
15686	24048	"Oberaar"	46.54722	8.25556	32	"AWI"	32	5938	7114	6467	33	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	722	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	16	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3	0	0
15686	24048	"Oberaar"	46.54722	8.25556	35	"AWI"	35	6167	7522	6841	14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	10	0	0	759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0
15686	24048	"Oberaar"	46.54722	8.25556	38	"AWI"	38	6735	7707	7145	18	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	1	0	37	0	0	553	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	9	0	0
15686	24048	"Oberaar"	46.54722	8.25556	40	"AWI"	40	6918	7950	7367	16	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	9	1	1
15686	24048	"Oberaar"	46.54722	8.25556	41	"AWI"	41	7024	8033	7466	10	0	0	1	0	0	1	1	0	0	0	2	0	0	0	0	1	0	53	0	0	316	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	7	0	0
