"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fraxinus"	"Ilex"	"Indeterminable"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Ulmus"	"Urticaceae"	"Viburnum"
3242	4209	"Loch Lomond Ross Dubh"	56.119132	-4.649246	0	"AWI"	0	-100	72	-20	64	0	0	1	0	0	20	0	0	48	4	46	0	0	15	21	0	85	9	0	0	2	1	0	0	3	0
3242	4209	"Loch Lomond Ross Dubh"	56.119132	-4.649246	20	"AWI"	20	526	681	596	119	0	0	0	1	0	46	0	0	88	4	60	0	0	16	1	0	72	5	0	1	0	1	0	2	0	0
3242	4209	"Loch Lomond Ross Dubh"	56.119132	-4.649246	40	"AWI"	40	729	1368	1116	127	0	0	1	0	5	42	0	0	80	5	39	0	0	41	1	0	86	11	0	0	0	0	0	0	0	0
3242	4209	"Loch Lomond Ross Dubh"	56.119132	-4.649246	60	"AWI"	60	882	1509	1344	86	0	0	0	0	0	21	0	1	58	7	21	0	0	22	3	0	85	10	0	0	0	0	0	0	0	0
3242	4209	"Loch Lomond Ross Dubh"	56.119132	-4.649246	80	"AWI"	80	1013	1581	1432	136	0	0	0	0	0	53	0	2	94	12	12	0	0	45	7	0	131	43	0	0	2	5	0	0	0	0
3242	4209	"Loch Lomond Ross Dubh"	56.119132	-4.649246	100	"AWI"	100	1115	1665	1482	109	0	0	0	0	0	33	0	1	91	14	12	109	0	24	3	0	78	25	0	0	0	6	0	25	0	0
3242	4209	"Loch Lomond Ross Dubh"	56.119132	-4.649246	120	"AWI"	120	1275	1772	1564	96	0	0	0	0	0	33	0	0	65	8	3	0	0	26	4	0	62	40	0	0	0	7	0	1	0	0
3242	4209	"Loch Lomond Ross Dubh"	56.119132	-4.649246	140	"AWI"	140	1484	1892	1700	129	0	0	0	0	3	25	0	1	71	10	11	0	0	25	2	0	124	14	0	0	0	6	0	0	0	1
3242	4209	"Loch Lomond Ross Dubh"	56.119132	-4.649246	160	"AWI"	160	1600	2116	1829	100	0	0	0	0	0	38	0	0	55	2	3	0	0	31	2	0	76	24	0	0	0	6	0	2	0	0
3242	4209	"Loch Lomond Ross Dubh"	56.119132	-4.649246	180	"AWI"	180	1684	2341	1966	121	0	0	0	0	0	44	0	0	64	4	5	1	0	16	5	0	37	7	0	0	0	2	0	0	0	0
3242	4209	"Loch Lomond Ross Dubh"	56.119132	-4.649246	200	"AWI"	200	1918	2667	2303	91	0	0	0	0	0	64	0	0	70	5	5	2	0	23	17	0	45	29	0	0	0	3	0	4	0	0
3242	4209	"Loch Lomond Ross Dubh"	56.119132	-4.649246	220	"AWI"	220	2559	3161	2873	100	1	0	0	0	0	38	0	0	72	4	1	0	0	43	7	0	46	47	0	0	0	1	0	0	0	0
3242	4209	"Loch Lomond Ross Dubh"	56.119132	-4.649246	230	"AWI"	230	2842	3473	3189	70	0	0	0	3	0	31	0	0	48	8	2	1	0	21	6	2	30	55	0	1	0	2	0	0	0	0
3242	4209	"Loch Lomond Ross Dubh"	56.119132	-4.649246	240	"AWI"	240	3280	3779	3528	115	0	0	0	0	0	25	0	2	64	6	5	1	0	27	14	0	35	40	0	0	0	0	0	0	0	0
3242	4209	"Loch Lomond Ross Dubh"	56.119132	-4.649246	260	"AWI"	260	3947	4571	4296	58	0	0	0	1	0	22	0	0	70	2	0	1	0	11	19	0	27	66	0	0	0	4	0	0	0	0
3242	4209	"Loch Lomond Ross Dubh"	56.119132	-4.649246	270	"AWI"	270	4476	4949	4709	24	0	0	0	0	0	9	0	0	28	0	0	0	0	29	21	0	5	36	0	0	0	0	1	0	0	0
3242	4209	"Loch Lomond Ross Dubh"	56.119132	-4.649246	280	"AWI"	280	4705	5777	5126	86	0	0	0	1	0	24	0	0	127	0	0	0	0	14	4	0	16	50	0	0	0	0	0	7	0	0
3242	4209	"Loch Lomond Ross Dubh"	56.119132	-4.649246	290	"AWI"	290	4917	6295	5557	112	0	0	0	0	0	21	0	0	124	0	1	0	1	19	7	0	7	72	0	0	0	1	0	5	0	0
3242	4209	"Loch Lomond Ross Dubh"	56.119132	-4.649246	300	"AWI"	300	5282	6689	5974	129	0	0	0	0	0	33	0	0	204	0	0	2	0	9	5	0	16	98	0	0	0	0	0	6	0	0
3242	4209	"Loch Lomond Ross Dubh"	56.119132	-4.649246	305	"AWI"	305	5401	6853	6216	47	0	0	0	1	0	54	0	0	78	0	0	0	0	42	13	0	3	40	0	0	0	0	0	10	0	0
3242	4209	"Loch Lomond Ross Dubh"	56.119132	-4.649246	310	"AWI"	310	5630	7024	6417	65	0	0	0	4	0	51	0	1	115	0	0	0	0	27	10	0	1	33	0	0	0	1	0	8	0	0
3242	4209	"Loch Lomond Ross Dubh"	56.119132	-4.649246	315	"AWI"	315	6025	7083	6615	59	0	0	0	1	0	40	0	0	131	0	1	0	0	16	16	0	5	57	0	0	0	5	0	19	0	0
3242	4209	"Loch Lomond Ross Dubh"	56.119132	-4.649246	320	"AWI"	320	6283	7179	6821	35	0	0	0	0	0	62	0	0	119	0	2	0	0	27	17	0	5	51	0	0	0	6	0	27	0	0
3242	4209	"Loch Lomond Ross Dubh"	56.119132	-4.649246	330	"AWI"	330	6738	7399	7124	36	0	0	0	0	0	50	0	0	108	0	1	0	0	19	16	0	6	40	0	0	0	7	0	13	0	0
3242	4209	"Loch Lomond Ross Dubh"	56.119132	-4.649246	350	"AWI"	350	7074	8138	7557	32	0	0	0	0	0	33	0	0	104	0	0	0	0	18	49	0	5	36	0	0	0	3	0	3	0	0
3242	4209	"Loch Lomond Ross Dubh"	56.119132	-4.649246	360	"AWI"	360	7263	8374	7769	16	0	0	0	0	0	52	0	1	77	0	1	0	0	17	49	0	2	60	0	0	0	3	0	6	0	0
3242	4209	"Loch Lomond Ross Dubh"	56.119132	-4.649246	370	"AWI"	370	7414	8596	7962	11	0	0	0	0	0	31	0	0	74	0	0	0	0	27	87	0	7	34	0	0	0	2	0	0	0	0
3242	4209	"Loch Lomond Ross Dubh"	56.119132	-4.649246	385	"AWI"	385	7618	8804	8169	0	0	0	0	2	0	5	0	0	12	0	0	0	0	43	179	0	5	10	0	0	0	8	0	3	0	0
3242	4209	"Loch Lomond Ross Dubh"	56.119132	-4.649246	400	"AWI"	400	7828	9022	8368	1	0	0	0	0	0	8	0	0	43	0	0	0	0	35	39	0	20	29	0	0	0	30	0	0	0	0
3242	4209	"Loch Lomond Ross Dubh"	56.119132	-4.649246	420	"AWI"	420	8146	9247	8632	0	0	0	0	3	0	9	0	0	15	0	2	0	0	52	130	0	13	6	0	0	0	4	0	0	0	0
