"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Juniperus"	"Lythraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	75	"AWI"	75	1962	2472	2275	0	149	8	1	1	28	0	184	0	0	0	0	0	143	27	18	0	0	20	0	12	0	0	0	0	18	1	83	0	0	0	0	0	81	0	0	10	0	0	0	0	0	0	4	16	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	80	"AWI"	80	2195	2555	2407	0	108	3	2	0	11	0	112	0	0	0	0	0	99	22	10	0	0	1	1	3	0	0	0	0	11	0	64	0	0	0	0	0	44	0	0	12	2	0	3	0	0	0	8	5	0	1	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	85	"AWI"	85	2254	2586	2448	0	154	11	1	0	17	0	148	0	0	0	0	0	141	42	16	0	0	7	2	7	0	0	0	0	4	1	80	0	0	0	0	0	81	1	0	17	0	0	3	0	0	0	7	6	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	90	"AWI"	90	2319	2644	2486	0	123	5	0	0	23	0	144	0	0	0	0	0	112	26	7	0	0	4	1	6	0	0	1	0	4	2	60	0	0	0	0	0	68	0	0	10	2	0	1	0	0	0	6	7	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	95	"AWI"	95	2385	2669	2520	0	91	5	1	0	13	0	88	1	0	0	0	0	102	18	4	0	0	6	1	15	0	0	1	0	7	1	38	0	0	0	0	0	39	0	0	0	0	0	3	0	0	0	1	6	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	100	"AWI"	100	2421	2713	2554	1	115	5	2	0	12	0	135	1	0	1	0	0	121	15	7	0	0	16	0	9	0	0	0	0	1	1	38	0	0	0	0	0	70	0	0	0	3	21	2	0	3	0	7	3	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	105	"AWI"	105	2463	2745	2594	0	142	6	0	1	18	0	134	0	0	0	0	0	156	27	10	0	0	5	1	8	0	0	0	0	12	1	54	0	0	0	0	0	57	0	0	0	1	0	1	0	0	0	9	7	0	3	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	110	"AWI"	110	2493	2799	2637	0	132	12	0	1	18	0	126	1	0	0	0	0	142	21	6	0	0	10	0	6	0	0	3	0	4	1	38	0	0	0	0	0	82	1	0	12	0	0	2	0	0	1	10	4	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	115	"AWI"	115	2531	2830	2669	1	130	6	2	0	36	0	162	1	0	1	0	0	159	37	6	0	0	6	1	10	0	0	0	0	2	2	48	0	0	0	0	0	69	0	0	0	4	17	3	0	1	0	7	4	0	0	0
3017	3931	"Bjärsjöholmssjön"	55.453774	13.7798	120	"AWI"	120	2556	2883	2704	0	149	9	1	0	34	0	126	1	0	0	0	0	184	7	8	0	0	8	1	13	0	0	0	0	6	1	56	0	136	0	0	0	69	0	0	7	0	0	2	0	0	0	7	6	0	0	0
