"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Heliotropium"	"Hypericaceae"	"Lamiaceae"	"Lythraceae"	"Montiaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Solanaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
13450	20175	"Vrbka"	50.38667	14.13056	10	"AWI"	10	3098	3359	3232	30	0	16	2	0	35	0	0	39	0	1	0	5	0	0	0	0	0	17	0	16	0	5	0	30	4	3	1	0	0	0	0	0	0	0	0	0	4	130	16	0	1	0	0	20	0	0	4	0	4	0	0	0	0	0	1	0	12
13450	20175	"Vrbka"	50.38667	14.13056	15	"AWI"	15	3113	3374	3248	18	0	17	1	0	32	0	0	42	0	1	0	1	0	0	0	0	5	12	0	8	0	64	0	19	2	2	0	0	0	1	3	0	0	0	0	0	5	99	13	0	0	0	0	16	0	0	2	0	1	0	0	0	0	0	0	1	8
13450	20175	"Vrbka"	50.38667	14.13056	20	"AWI"	20	3132	3388	3264	15	0	20	2	0	34	0	0	36	0	5	0	4	0	0	0	0	19	10	0	3	0	82	0	16	11	4	0	0	0	0	0	1	1	0	0	0	7	72	0	0	0	0	0	15	0	0	2	0	2	0	0	0	0	0	1	2	4
13450	20175	"Vrbka"	50.38667	14.13056	25	"AWI"	25	3150	3404	3279	14	1	22	5	0	29	0	0	34	0	0	0	1	0	0	0	0	2	9	0	11	0	91	0	41	1	3	0	1	0	0	0	0	0	0	0	0	6	61	0	0	0	0	0	53	0	0	2	0	2	0	0	0	0	2	1	0	3
13450	20175	"Vrbka"	50.38667	14.13056	30	"AWI"	30	3167	3419	3295	26	0	26	6	0	33	0	0	34	0	3	1	2	0	0	0	0	1	5	0	10	0	18	0	52	2	4	0	1	0	1	0	0	0	0	0	0	4	56	0	0	0	0	0	64	0	0	3	9	0	0	0	0	0	1	0	6	2
13450	20175	"Vrbka"	50.38667	14.13056	35	"AWI"	35	3183	3434	3310	21	0	35	2	0	18	0	0	95	0	0	0	0	0	0	0	0	0	14	0	6	0	114	0	35	0	2	0	0	0	0	0	0	0	0	0	0	4	54	0	0	0	0	0	46	0	0	1	1	0	0	0	0	0	0	1	2	2
13450	20175	"Vrbka"	50.38667	14.13056	40	"AWI"	40	3199	3448	3326	18	0	42	0	0	6	0	0	121	0	0	0	3	0	0	0	0	0	26	0	3	0	134	0	29	0	3	0	1	0	0	0	0	0	0	0	0	7	59	0	0	0	0	0	22	0	0	1	3	1	0	0	0	0	0	2	1	1
13450	20175	"Vrbka"	50.38667	14.13056	45	"AWI"	45	3215	3463	3341	20	1	37	2	0	12	0	0	203	0	1	0	1	0	0	0	0	1	21	0	5	0	32	0	33	0	1	0	0	0	1	0	0	0	0	0	0	5	51	7	0	0	0	0	49	0	0	1	2	2	0	0	0	0	0	0	1	2
13450	20175	"Vrbka"	50.38667	14.13056	50	"AWI"	50	3232	3478	3356	22	1	34	3	0	16	0	0	197	0	0	0	1	0	0	0	1	0	17	0	7	0	10	0	46	0	0	0	0	0	0	0	0	0	3	0	0	5	46	0	0	0	0	0	51	0	0	3	4	3	0	0	0	0	1	0	4	1
13450	20175	"Vrbka"	50.38667	14.13056	55	"AWI"	55	3249	3491	3372	23	0	21	2	0	22	0	0	138	0	0	0	0	0	0	0	0	0	18	0	5	0	8	0	41	1	1	0	0	0	0	0	0	0	0	0	0	6	22	0	0	0	0	0	32	0	0	2	3	2	0	0	0	0	1	1	3	1
