"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Lythraceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Verbenaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
16104	24869	"Marais de Mazerolles"	47.35806	-1.47861	5	"AWI"	5	-135	52	-38	0	0	150	5	0	1	1	0	5	0	2	0	0	50	0	1	3	1	0	0	2	0	4	0	0	0	0	2	2	0	0	0	0	0	1	0	2	0	1	7	0	0	0	0	3	2	30	0	0	0	0	17	0	1	2	0	0	0	10	0	0	0	0	0	0	2	0	2	0	0	0	0
16104	24869	"Marais de Mazerolles"	47.35806	-1.47861	10	"AWI"	10	-119	123	-14	3	0	182	2	0	0	3	0	5	0	1	0	0	6	0	1	4	0	0	0	7	0	6	0	0	0	0	3	2	0	0	0	0	0	0	0	2	1	2	8	0	0	0	0	3	3	24	0	0	0	0	15	0	3	2	0	0	4	12	0	0	0	0	0	0	0	2	0	0	0	0	0
16104	24869	"Marais de Mazerolles"	47.35806	-1.47861	15	"AWI"	15	-94	150	15	3	0	63	5	0	0	0	0	0	1	1	0	0	4	0	0	4	0	0	0	7	0	1	0	0	0	0	1	3	0	0	0	0	0	1	0	2	0	2	3	0	0	0	0	14	4	83	0	0	0	0	37	0	0	0	0	0	0	38	1	0	0	2	0	0	2	0	0	0	0	0	0
16104	24869	"Marais de Mazerolles"	47.35806	-1.47861	20	"AWI"	20	-80	196	42	5	0	40	2	5	0	0	0	4	0	1	0	0	0	0	1	1	0	0	0	2	0	16	3	0	0	0	3	2	0	0	0	0	0	2	0	3	2	2	2	0	0	1	1	3	2	71	0	0	0	0	21	0	1	2	0	0	0	28	3	0	0	4	0	0	3	2	2	0	0	0	0
16104	24869	"Marais de Mazerolles"	47.35806	-1.47861	25	"AWI"	25	-53	222	71	4	1	29	3	7	2	0	8	2	0	0	0	0	1	0	2	2	0	0	0	3	1	10	5	0	0	0	4	2	0	0	0	0	0	4	5	5	0	2	6	0	0	1	0	1	5	80	0	0	0	1	6	0	0	3	0	0	0	8	0	0	0	2	0	0	20	1	2	0	0	0	0
16104	24869	"Marais de Mazerolles"	47.35806	-1.47861	30	"AWI"	30	-36	262	99	5	0	32	2	4	0	1	0	3	2	1	0	0	3	0	1	4	0	0	0	5	0	34	5	0	0	0	4	0	0	0	0	0	0	2	0	2	0	2	20	0	0	0	0	2	7	39	0	0	0	0	34	0	5	5	0	1	0	13	0	0	0	3	0	0	3	0	2	0	0	0	0
16104	24869	"Marais de Mazerolles"	47.35806	-1.47861	33	"AWI"	33	-18	277	116	3	0	18	2	0	0	1	0	3	2	4	0	0	4	0	2	5	0	0	0	3	0	60	6	0	0	0	5	1	0	0	0	0	0	3	3	4	0	2	82	0	0	2	0	2	4	66	0	0	0	0	17	0	5	7	0	0	0	2	0	0	0	2	0	0	2	0	2	0	0	0	1
16104	24869	"Marais de Mazerolles"	47.35806	-1.47861	35	"AWI"	35	-7	288	127	2	0	22	2	3	2	3	8	2	0	2	0	0	2	0	0	3	0	0	0	6	0	23	8	1	0	0	4	0	0	0	1	0	1	1	0	2	0	0	126	2	0	2	0	2	3	50	0	0	0	2	15	0	3	6	0	0	0	3	0	0	0	2	0	0	3	0	0	0	1	0	2
16104	24869	"Marais de Mazerolles"	47.35806	-1.47861	40	"AWI"	40	10	326	155	0	0	14	2	0	0	1	0	0	0	0	0	0	3	0	0	2	0	0	0	6	0	70	0	0	0	0	3	0	0	0	0	0	0	3	0	6	0	2	66	0	0	0	0	2	2	76	0	0	0	0	15	0	1	3	0	0	5	6	0	0	0	3	0	0	0	0	0	0	0	0	0
16104	24869	"Marais de Mazerolles"	47.35806	-1.47861	45	"AWI"	45	35	347	186	2	0	11	0	5	0	0	7	2	1	0	0	1	1	0	0	3	0	0	0	12	0	20	7	0	0	0	4	2	0	0	0	0	0	2	0	2	0	2	125	0	0	0	0	2	2	57	0	0	0	2	25	0	3	2	0	0	0	2	0	0	0	0	0	0	2	0	2	0	0	0	1
16104	24869	"Marais de Mazerolles"	47.35806	-1.47861	50	"AWI"	50	54	380	216	0	0	50	2	0	0	0	8	5	0	0	0	0	3	0	0	0	0	0	0	2	0	60	8	0	0	0	3	0	0	0	0	0	0	4	0	1	0	5	5	0	0	0	0	2	5	33	0	0	0	0	57	0	2	31	0	0	0	5	1	0	0	2	0	1	0	0	0	0	0	0	0
16104	24869	"Marais de Mazerolles"	47.35806	-1.47861	55	"AWI"	55	88	401	244	0	0	28	3	6	0	3	0	2	0	0	0	0	4	0	0	1	0	0	0	5	0	60	5	0	0	0	4	0	0	0	0	0	0	2	0	1	0	3	10	0	0	2	0	2	7	64	0	0	0	0	53	0	0	37	0	0	0	2	0	0	0	1	0	0	3	0	1	0	0	0	1
16104	24869	"Marais de Mazerolles"	47.35806	-1.47861	60	"AWI"	60	106	436	274	0	0	50	0	5	0	1	0	2	0	0	1	1	0	0	0	0	0	0	0	5	0	60	5	0	0	0	4	5	0	0	0	1	0	2	0	1	0	3	25	0	0	2	0	1	5	57	0	0	0	0	46	0	1	32	0	0	0	0	0	0	0	2	0	2	1	0	1	0	0	0	0
16104	24869	"Marais de Mazerolles"	47.35806	-1.47861	65	"AWI"	65	137	456	301	0	0	40	2	0	1	1	0	4	0	1	0	0	0	0	1	0	0	0	0	35	0	39	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0	0	32	0	0	0	0	2	7	51	0	0	0	0	60	0	1	27	0	1	0	4	0	0	0	1	0	0	1	2	1	0	0	0	0
16104	24869	"Marais de Mazerolles"	47.35806	-1.47861	70	"AWI"	70	158	481	328	0	0	16	2	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	4	0	72	4	0	0	0	11	1	0	0	0	0	1	5	0	0	0	10	52	0	0	0	0	2	5	46	0	0	0	0	35	0	3	14	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0
16104	24869	"Marais de Mazerolles"	47.35806	-1.47861	75	"AWI"	75	197	500	357	0	0	9	2	10	2	2	7	1	0	1	0	0	2	0	0	2	2	0	0	15	0	152	5	0	0	0	6	0	0	0	0	0	0	3	3	2	0	3	18	0	0	1	0	1	3	45	0	1	0	0	17	0	5	10	0	0	0	2	0	0	0	2	0	0	2	0	0	0	0	0	1
16104	24869	"Marais de Mazerolles"	47.35806	-1.47861	80	"AWI"	80	219	531	386	0	0	7	2	12	0	1	0	2	0	1	0	0	1	0	0	3	0	0	0	20	0	100	5	0	0	0	2	0	0	0	0	0	0	0	0	2	0	2	67	0	0	0	0	2	3	42	0	0	0	0	17	0	0	7	0	0	0	2	0	0	0	3	0	0	3	0	0	0	0	0	2
16104	24869	"Marais de Mazerolles"	47.35806	-1.47861	85	"AWI"	85	260	545	413	1	0	16	2	9	1	1	0	2	1	0	0	0	3	0	0	0	0	0	0	3	0	8	5	0	0	0	3	1	0	0	1	0	0	2	0	1	0	2	110	0	0	0	0	0	3	66	0	0	0	0	17	0	4	3	0	0	10	4	0	0	0	2	0	0	1	0	0	0	0	0	0
16104	24869	"Marais de Mazerolles"	47.35806	-1.47861	90	"AWI"	90	288	569	443	3	0	10	2	5	0	2	9	0	0	2	1	0	0	0	0	3	0	3	0	5	0	32	8	0	0	0	5	1	0	0	0	0	1	3	0	2	0	2	164	0	0	0	0	2	3	56	0	0	0	0	17	0	4	7	0	0	0	2	1	0	0	3	0	0	3	0	2	0	0	0	1
16104	24869	"Marais de Mazerolles"	47.35806	-1.47861	95	"AWI"	95	336	585	472	0	0	39	2	0	0	2	0	6	0	2	0	1	1	0	0	0	0	0	0	20	0	19	10	0	0	0	3	0	0	0	0	0	0	0	0	1	0	2	46	0	0	2	0	0	6	52	0	0	0	0	47	0	0	15	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0
16104	24869	"Marais de Mazerolles"	47.35806	-1.47861	100	"AWI"	100	365	614	502	0	0	56	2	0	0	1	5	0	0	2	0	1	3	0	0	0	0	0	0	8	0	67	4	0	0	0	3	1	0	0	0	0	0	2	0	3	0	2	23	0	0	1	0	2	3	52	0	0	0	0	46	0	2	13	0	0	0	4	2	0	0	0	0	0	0	0	2	0	0	0	1
16104	24869	"Marais de Mazerolles"	47.35806	-1.47861	105	"AWI"	105	422	626	526	0	0	38	2	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	5	1	104	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	2	6	0	0	0	0	0	4	27	0	0	0	0	62	0	0	16	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0	0	0
16104	24869	"Marais de Mazerolles"	47.35806	-1.47861	110	"AWI"	110	454	648	552	0	0	34	2	3	0	2	0	6	0	0	0	0	0	0	0	1	0	0	0	10	0	72	8	0	0	0	3	0	0	0	0	0	0	3	0	0	0	5	6	0	0	1	0	0	10	30	0	0	0	0	71	0	0	19	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1
16104	24869	"Marais de Mazerolles"	47.35806	-1.47861	115	"AWI"	115	516	659	570	0	0	45	2	5	2	2	8	21	0	0	0	0	2	0	0	5	0	0	0	14	0	28	7	0	0	4	3	1	0	0	1	2	0	2	0	2	0	3	28	0	0	1	0	0	9	44	0	0	0	1	40	0	3	16	0	0	6	30	0	0	0	3	0	2	1	0	2	0	0	0	1
16104	24869	"Marais de Mazerolles"	47.35806	-1.47861	120	"AWI"	120	545	685	594	0	0	52	2	0	0	2	0	2	0	0	0	0	2	0	0	2	0	0	0	7	0	57	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	10	0	0	1	0	2	4	62	0	0	0	1	52	0	3	10	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0
16104	24869	"Marais de Mazerolles"	47.35806	-1.47861	125	"AWI"	125	560	706	614	0	0	60	0	0	0	1	7	2	1	0	0	0	2	0	0	2	0	0	0	4	0	79	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	4	0	0	1	0	1	11	46	0	0	0	0	34	0	1	15	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	1
