"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Malvaceae"	"Olea"	"Ostrya.Carpinus"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rubiaceae"	"Salix"	"Tilia"	"Ulmus"
3118	4060	"Cala Galdana"	39.93694	3.965	45	"AWI"	45	-46	794	211	0	1	76	0	0	0	110	0	0	0	0	0	0	0	0	32	1	10	0	0	0	0	0	0	0	0	0	0	2	0	15	139	0	2	0	13	1	0	0	0	0	0	0
3118	4060	"Cala Galdana"	39.93694	3.965	90	"AWI"	90	-10	1624	483	0	1	66	0	0	0	135	0	3	0	0	0	0	0	0	40	2	21	0	0	0	0	0	0	0	0	0	0	5	0	8	61	0	1	0	0	1	0	0	1	0	0	0
3118	4060	"Cala Galdana"	39.93694	3.965	135	"AWI"	135	18	2484	753	0	1	10	82	0	1	35	0	0	0	0	0	0	0	0	62	3	55	0	0	0	0	0	0	1	0	0	0	21	0	23	26	0	1	0	0	2	0	0	0	0	0	0
3118	4060	"Cala Galdana"	39.93694	3.965	180	"AWI"	180	221	2774	1134	0	0	10	74	0	0	30	0	0	0	0	0	0	0	0	87	0	66	0	0	1	0	0	0	0	0	0	0	26	0	16	14	0	0	18	0	3	0	0	0	0	0	0
3118	4060	"Cala Galdana"	39.93694	3.965	225	"AWI"	225	342	3244	1471	0	2	58	20	0	2	15	0	0	1	0	0	0	0	0	109	1	28	1	0	3	0	0	0	1	0	0	0	9	0	28	64	2	2	0	9	2	0	0	0	0	0	0
3118	4060	"Cala Galdana"	39.93694	3.965	270	"AWI"	270	438	3912	1803	0	1	51	5	0	0	50	4	1	2	0	0	0	0	4	26	2	54	0	0	2	0	0	0	0	0	0	0	25	0	9	59	1	3	0	30	4	0	0	0	0	0	0
3118	4060	"Cala Galdana"	39.93694	3.965	315	"AWI"	315	770	4166	2211	0	4	33	9	1	2	31	3	0	0	0	0	0	0	5	20	0	44	0	0	2	0	1	0	0	0	0	0	14	0	3	36	0	5	25	27	10	0	2	2	0	0	0
3118	4060	"Cala Galdana"	39.93694	3.965	360	"AWI"	360	977	4542	2611	0	1	25	12	1	2	46	0	0	0	0	0	8	0	0	52	0	47	0	0	1	0	0	0	0	5	0	0	21	0	8	34	0	1	13	0	4	0	0	0	0	0	0
3118	4060	"Cala Galdana"	39.93694	3.965	405	"AWI"	405	1113	5270	2975	0	11	37	8	0	4	60	2	0	0	0	0	13	0	1	22	0	47	0	0	11	0	0	0	2	2	0	0	35	0	3	41	0	10	0	17	6	0	0	0	0	0	1
3118	4060	"Cala Galdana"	39.93694	3.965	450	"AWI"	450	1485	5511	3339	0	2	45	10	0	6	75	3	0	0	0	0	19	0	4	18	0	74	1	0	2	0	0	0	1	0	0	1	50	0	6	51	0	7	22	0	17	0	0	1	0	0	12
3118	4060	"Cala Galdana"	39.93694	3.965	495	"AWI"	495	1751	5743	3736	0	6	16	5	0	1	98	1	0	0	0	0	0	0	3	10	0	101	0	0	0	0	0	0	1	0	0	0	40	0	24	24	0	3	14	0	4	0	0	0	0	0	0
3118	4060	"Cala Galdana"	39.93694	3.965	540	"AWI"	540	1916	6114	4108	0	3	5	5	0	0	124	0	1	0	0	0	0	0	11	5	6	131	0	0	0	0	0	0	0	0	0	0	28	0	21	15	0	13	0	0	4	0	0	3	0	0	0
