"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Lythraceae"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3381	40572	"Rotsee"	47.07556	8.32556	425	"AWI"	425	7848	9611	8773	155	0	38	0	1	2	0	0	6	1	0	0	0	0	0	50	12	0	0	0	0	4	0	3	0	0	0	0	0	0	0	4	19	0	14	0	0	45	2	0	0	0	0	0	0	0	39	23	0	0
3381	40572	"Rotsee"	47.07556	8.32556	430	"AWI"	430	7911	9643	8826	183	2	23	0	1	3	0	0	10	0	0	0	0	0	0	92	13	0	0	0	0	5	0	7	0	0	0	0	0	0	0	3	36	0	12	0	0	70	3	0	0	0	0	0	0	0	77	38	0	0
3381	40572	"Rotsee"	47.07556	8.32556	435	"AWI"	435	7961	9674	8871	152	2	14	0	1	2	1	0	4	0	0	0	0	0	0	71	9	0	0	0	0	11	0	6	0	0	0	0	0	0	0	3	18	0	5	0	0	39	2	0	0	0	0	0	0	0	50	29	1	1
3381	40572	"Rotsee"	47.07556	8.32556	440	"AWI"	440	8019	9719	8917	150	2	27	0	0	2	0	0	10	1	1	0	0	0	0	98	14	0	0	0	0	7	0	8	0	0	1	0	0	0	0	2	24	0	6	0	0	64	1	0	0	0	0	0	0	0	65	43	1	1
3381	40572	"Rotsee"	47.07556	8.32556	445	"AWI"	445	8077	9759	8968	153	3	28	0	0	1	0	0	5	1	0	0	0	0	0	97	18	0	0	0	0	11	0	8	0	0	0	0	0	0	0	2	35	0	12	0	0	78	0	0	0	0	0	0	0	0	82	55	0	0
3381	40572	"Rotsee"	47.07556	8.32556	450	"AWI"	450	8112	9809	9016	27	2	20	0	1	3	0	0	12	0	0	0	0	0	0	105	11	0	0	0	0	1	0	6	0	0	6	0	0	0	0	0	59	0	20	0	0	52	3	0	0	1	0	0	0	0	143	55	0	0
3381	40572	"Rotsee"	47.07556	8.32556	455	"AWI"	455	8164	9852	9064	11	3	26	0	1	4	1	0	7	2	0	0	0	0	0	129	10	0	0	0	0	1	0	11	0	0	0	0	0	0	0	1	41	0	11	0	0	68	1	0	0	0	0	0	0	0	93	45	0	1
3381	40572	"Rotsee"	47.07556	8.32556	460	"AWI"	460	8236	9892	9116	7	1	25	2	2	6	1	0	9	0	0	0	0	0	0	134	16	0	0	0	0	0	0	14	0	0	1	0	0	0	0	1	33	0	11	0	0	70	2	0	0	0	1	0	0	0	110	56	1	2
3381	40572	"Rotsee"	47.07556	8.32556	465	"AWI"	465	8298	9927	9166	6	3	18	0	3	7	2	0	17	0	0	1	0	0	0	218	22	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1	49	0	12	0	0	77	0	0	0	0	1	2	0	0	82	68	1	1
3381	40572	"Rotsee"	47.07556	8.32556	470	"AWI"	470	8348	9969	9213	3	1	24	0	3	10	0	0	15	0	0	0	0	0	0	189	27	1	0	0	0	1	0	8	0	0	3	0	0	0	0	0	63	0	26	0	0	64	2	0	0	1	1	0	0	0	55	49	0	0
