"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Juglans"	"Juniperus"	"Olea"	"Onagraceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"
3330	4323	"Ospitale"	44.15556	10.78	120	"AWI"	120	-30	509	152	9.09090909090909	0	2.02020202020202	0.505050505050505	0	0	2.52525252525253	8.58585858585858	0	3.03030303030303	5.05050505050505	0	1.01010101010101	3.03030303030303	0	31.8181818181818	2.02020202020202	2.52525252525253	0	0	0	0	0	0	0.505050505050505	0	3.53535353535354	1.51515151515152	20.7070707070707	0	0	1.51515151515152	0	0	0.505050505050505	0	0	0	0	0.505050505050505	0
3330	4323	"Ospitale"	44.15556	10.78	160	"AWI"	160	42	774	321	23.2323232323232	0	1.01010101010101	0	0	0	1.01010101010101	0	6.56565656565657	1.01010101010101	0	0	0	2.52525252525253	0	1.51515151515152	3.53535353535354	52.5252525252525	0	0	0	0	0	0	0	0	0	0	1.01010101010101	0	0	5.55555555555556	0	0	0	0	0.505050505050505	0	0	0	0
3330	4323	"Ospitale"	44.15556	10.78	180	"AWI"	180	102	847	412	31.1557788944724	0	0	1.00502512562814	0	0	4.02010050251256	0	0.50251256281407	1.00502512562814	0	0	0	2.51256281407035	0	1.00502512562814	0.50251256281407	19.0954773869347	0	0	0	0	0	0	0	0	0	0	33.1658291457286	0	0	3.51758793969849	0	0	1.00502512562814	0.50251256281407	1.00502512562814	0	0	0	0
3330	4323	"Ospitale"	44.15556	10.78	200	"AWI"	200	141	957	495	30	0	3	0	0	0	1.5	0	0	2	1	0	0	2	0	4.5	0.5	28	0	0	0	0	0	0	0	0	0	0	12.5	0	0	11.5	0	0	3	0	0	0	0	0	0.5
3330	4323	"Ospitale"	44.15556	10.78	220	"AWI"	220	212	1050	583	33.3333333333333	0.497512437810945	2.48756218905473	1.99004975124378	0	0	0	0	0.497512437810945	0.497512437810945	0	0	0	3.48258706467662	0	2.48756218905473	0.995024875621891	26.3681592039801	0	0	0	0	0	0	0	0	0	0	16.4179104477612	0	0	9.45273631840796	0	0	0.497512437810945	0	0.497512437810945	0	0	0	0.497512437810945
3330	4323	"Ospitale"	44.15556	10.78	240	"AWI"	240	259	1144	676	25.1231527093596	2.46305418719212	3.44827586206897	0	0	0	0.492610837438424	0.492610837438424	0.492610837438424	1.97044334975369	0	0	0	1.97044334975369	0	0.492610837438424	2.95566502463054	42.3645320197044	0	0	0	0.492610837438424	0	0	0.492610837438424	0	0	0.492610837438424	6.89655172413793	0	0	7.88177339901478	0	0	1.47783251231527	0	0	0	0	0	0
3330	4323	"Ospitale"	44.15556	10.78	260	"AWI"	260	320	1244	764	30.9644670050761	0	4.56852791878173	0	0	0	2.53807106598985	0	1.52284263959391	0.50761421319797	0	0	0	1.52284263959391	0	2.03045685279188	0.50761421319797	28.9340101522843	0	0	0	0	0	0	0	0	0	0	13.7055837563452	0	1.52284263959391	9.13705583756345	0	0	2.53807106598985	0	0	0	0	0	0
3330	4323	"Ospitale"	44.15556	10.78	280	"AWI"	280	385	1321	853	42.713567839196	0.50251256281407	1.00502512562814	0	0	0	0	0.50251256281407	1.00502512562814	0	0	0	0	2.01005025125628	0	18.0904522613065	0.50251256281407	20.6030150753769	0	0	0	0	0	0	0	0	0	0	3.51758793969849	0	0	7.03517587939699	0	0	2.51256281407035	0	0	0	0	0	0
3330	4323	"Ospitale"	44.15556	10.78	300	"AWI"	300	432	1439	941	39.6984924623116	0	4.02010050251256	0	0	0	0	0	0	1.50753768844221	0.50251256281407	1.50753768844221	0	1.00502512562814	0	28.643216080402	0.50251256281407	9.04522613065327	0	0	0.50251256281407	0	0	0	1.00502512562814	0	0	0.50251256281407	4.02010050251256	0	0	5.0251256281407	0	0	0	0	0	0	0	0	2.51256281407035
3330	4323	"Ospitale"	44.15556	10.78	320	"AWI"	320	533	1493	1029	72.5	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	10.5	0.5	3.5	0	0	0	0	0	0	0	0	1	0	4	0	0	5.5	0	0	0	0	0	0	0	0	0
