"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Linaceae"	"Oleaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
14474	22662	"Rifugio Mondovi"	44.189588	7.73232	210	"AWI"	210	1536	1834	1675	56	3	11	1	0	0	0	0	1	0	0	0	0	0	1	6	0	94	0	0	0	16	1	0	0	0	1	2	1	1	0	1	0	2	0	0	0	3	37	5	0	0	0	14	0	0	0	0	5	0	0	0	2	0	2	1	0	0
14474	22662	"Rifugio Mondovi"	44.189588	7.73232	220	"AWI"	220	1591	1967	1757	80	1	0	1	0	1	1	0	1	0	0	1	0	0	0	2	0	79	0	0	0	11	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	31	0	0	1	0	15	0	8	0	0	7	0	0	3	0	0	0	1	0	0
14474	22662	"Rifugio Mondovi"	44.189588	7.73232	230	"AWI"	230	1656	2073	1834	59	4	10	2	0	1	1	0	0	1	0	0	0	0	0	3	0	202	0	2	0	10	0	0	1	0	1	0	0	2	1	0	0	0	0	2	0	0	37	0	0	0	0	23	0	18	0	0	8	0	0	1	0	0	6	0	0	0
14474	22662	"Rifugio Mondovi"	44.189588	7.73232	240	"AWI"	240	1712	2188	1912	118	1	0	1	0	8	2	0	0	0	1	2	0	0	0	9	0	56	0	0	0	15	0	5	0	0	0	0	1	0	1	0	0	0	0	0	0	1	43	2	0	1	0	20	1	1	0	0	7	0	0	5	0	0	7	0	0	0
14474	22662	"Rifugio Mondovi"	44.189588	7.73232	250	"AWI"	250	1789	2261	1984	74	1	0	0	0	0	2	0	0	0	0	0	6	0	0	5	0	88	0	0	0	17	0	0	1	0	1	0	0	2	0	3	0	0	0	0	0	0	21	0	0	0	0	16	0	7	0	0	88	0	0	3	0	1	1	0	0	0
14474	22662	"Rifugio Mondovi"	44.189588	7.73232	260	"AWI"	260	1875	2319	2069	126	0	0	2	0	0	1	0	2	0	0	0	0	0	1	6	0	117	0	0	0	24	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	53	0	0	0	0	13	0	5	0	0	6	0	0	0	0	0	4	0	0	0
14474	22662	"Rifugio Mondovi"	44.189588	7.73232	270	"AWI"	270	1984	2607	2261	118	3	15	2	0	0	5	0	2	0	0	0	0	0	0	2	0	163	0	1	0	14	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	3	37	2	0	0	0	14	3	4	0	0	5	0	0	0	0	2	6	0	1	0
14474	22662	"Rifugio Mondovi"	44.189588	7.73232	280	"AWI"	280	2135	2758	2470	71	0	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0	394	0	0	0	16	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	16	1	4	0	0	2	1	0	0	1	0	7	0	0	0
14474	22662	"Rifugio Mondovi"	44.189588	7.73232	290	"AWI"	290	2432	2923	2693	170	2	27	5	0	0	0	0	0	0	3	0	0	0	0	8	0	186	0	2	0	27	3	0	0	0	1	0	0	1	0	5	0	0	0	0	0	0	67	0	0	0	1	18	2	12	0	0	32	4	0	3	0	0	7	0	0	1
14474	22662	"Rifugio Mondovi"	44.189588	7.73232	300	"AWI"	300	2607	3763	3004	228	0	0	0	0	0	1	0	0	0	1	1	0	0	0	3	0	79	0	0	3	1	0	1	3	0	3	0	0	0	0	5	0	0	0	0	0	0	161	0	0	0	0	2	0	4	0	0	5	0	0	2	1	1	0	0	0	0
