"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Salix"	"Tilia"	"Ulmus"
3265	4241	"Lake Maardu"	59.43333	25	130	"AWI"	130	1305	2173	1721	45	0	0	4	92	2	17	5	3	0	64	163	8	1	5	0	5	8
3265	4241	"Lake Maardu"	59.43333	25	140	"AWI"	140	1444	2310	1861	54	2	1	3	101	0	18	7	4	0	14	113	8	4	3	0	2	2
3265	4241	"Lake Maardu"	59.43333	25	150	"AWI"	150	1566	2441	1995	53	2	2	2	94	0	18	4	3	0	30	111	3	6	2	0	3	6
3265	4241	"Lake Maardu"	59.43333	25	160	"AWI"	160	1703	2569	2132	34	1	3	1	52	0	7	3	4	0	35	74	2	2	4	0	4	3
3265	4241	"Lake Maardu"	59.43333	25	170	"AWI"	170	1831	2712	2268	59	1	2	2	85	1	24	6	3	0	34	102	12	12	3	0	9	6
3265	4241	"Lake Maardu"	59.43333	25	180	"AWI"	180	1964	2842	2403	42	2	2	1	62	1	6	4	2	0	19	71	6	6	2	0	3	3
3265	4241	"Lake Maardu"	59.43333	25	190	"AWI"	190	2102	2972	2540	54	6	9	3	87	0	15	15	6	0	47	103	24	6	6	0	3	3
3265	4241	"Lake Maardu"	59.43333	25	200	"AWI"	200	2239	3094	2677	49	0	4	2	57	0	12	5	5	2	29	63	7	3	5	0	0	0
3265	4241	"Lake Maardu"	59.43333	25	210	"AWI"	210	2384	3224	2814	51	1	3	2	60	1	14	7	2	2	33	61	13	2	2	0	2	2
3265	4241	"Lake Maardu"	59.43333	25	220	"AWI"	220	2531	3349	2946	76	3	0	3	92	0	12	9	3	0	41	57	21	9	3	0	6	3
3265	4241	"Lake Maardu"	59.43333	25	230	"AWI"	230	2678	3474	3082	59	1	1	2	61	0	11	3	3	0	26	50	5	6	3	0	4	4
3265	4241	"Lake Maardu"	59.43333	25	240	"AWI"	240	2825	3597	3220	71	1	3	2	54	0	11	1	2	0	26	49	5	8	2	0	4	4
3265	4241	"Lake Maardu"	59.43333	25	250	"AWI"	250	2972	3720	3359	81	2	1	4	81	0	18	6	3	0	39	77	15	18	3	0	3	6
3265	4241	"Lake Maardu"	59.43333	25	260	"AWI"	260	3135	3838	3494	60	0	0	0	60	0	18	5	0	0	34	42	14	11	0	0	3	4
3265	4241	"Lake Maardu"	59.43333	25	270	"AWI"	270	3292	3958	3628	72	0	3	3	72	0	23	9	0	0	63	60	24	9	0	0	6	6
3265	4241	"Lake Maardu"	59.43333	25	280	"AWI"	280	3465	4084	3766	68	2	0	3	68	0	19	11	2	0	49	43	9	12	2	0	6	11
3265	4241	"Lake Maardu"	59.43333	25	290	"AWI"	290	3653	4202	3894	57	0	0	3	57	0	16	5	3	0	42	50	4	9	3	0	8	12
3265	4241	"Lake Maardu"	59.43333	25	300	"AWI"	300	3809	4370	4041	65	1	0	3	65	0	16	5	0	0	25	49	5	8	0	0	5	9
3265	4241	"Lake Maardu"	59.43333	25	310	"AWI"	310	3941	4575	4206	49	1	1	0	27	0	9	4	0	0	34	35	4	10	0	0	9	9
3265	4241	"Lake Maardu"	59.43333	25	320	"AWI"	320	4064	4780	4372	72	2	1	4	48	5	41	12	0	0	61	77	13	28	5	0	13	19
3265	4241	"Lake Maardu"	59.43333	25	330	"AWI"	330	4209	4972	4541	75	0	0	3	37	0	31	3	0	0	25	50	4	10	3	0	11	12
