"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Corylus"	"Cyperaceae"	"Fabaceae"	"Fagus"	"Geraniaceae"	"Juglans"	"Lamiaceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Salix"	"Saxifragaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"
2974	3876	"Amtkel 1"	43.28333	41.29167	5	"AWI"	5	-36	444	167	10	0	54	2	8	4	0	0	1	0	12	5	0	6	41	0	14	0	2	0	0	0	0	4	32	0	1	13	23	2	0	2	0	0	0	2	0	0	0
2974	3876	"Amtkel 1"	43.28333	41.29167	10	"AWI"	10	130	625	441	1	0	91	6	8	6	0	1	1	0	3	3	0	11	1	0	24	2	0	0	0	0	0	1	3	2	3	0	14	0	1	1	0	0	0	2	0	0	0
2974	3876	"Amtkel 1"	43.28333	41.29167	15	"AWI"	15	538	678	645	27	0	53	17	2	8	0	1	0	0	0	1	0	6	47	0	5	0	0	1	0	0	0	12	75	1	0	0	12	0	3	5	0	0	0	3	0	0	0
2974	3876	"Amtkel 1"	43.28333	41.29167	20	"AWI"	20	592	819	704	8	0	60	4	24	5	0	0	3	0	4	1	0	8	53	4	22	0	0	3	0	0	0	3	39	0	0	0	0	0	14	0	0	0	0	1	0	0	0
2974	3876	"Amtkel 1"	43.28333	41.29167	25	"AWI"	25	642	891	768	3	0	119	13	21	4	0	0	0	0	0	2	0	19	58	0	33	0	1	1	0	0	0	5	53	1	0	0	4	0	0	0	0	0	0	0	0	0	0
2974	3876	"Amtkel 1"	43.28333	41.29167	30	"AWI"	30	708	960	837	0	0	105	12	19	9	0	1	0	0	0	0	0	14	65	0	28	0	3	3	0	0	0	1	23	1	0	0	3	0	1	0	0	0	0	0	1	0	0
2974	3876	"Amtkel 1"	43.28333	41.29167	35	"AWI"	35	776	1013	903	1	0	73	6	13	5	0	0	1	0	0	0	0	5	81	4	11	0	0	3	0	0	0	2	34	1	0	0	0	1	0	0	0	0	0	1	1	0	0
2974	3876	"Amtkel 1"	43.28333	41.29167	42	"AWI"	42	923	1086	991	5	0	121	4	16	4	0	1	2	0	0	3	0	15	78	0	32	0	0	2	0	0	0	1	36	0	0	0	5	1	3	0	0	0	0	0	0	0	0
2974	3876	"Amtkel 1"	43.28333	41.29167	48	"AWI"	48	997	1171	1069	1	0	133	8	9	9	0	1	1	0	2	1	0	16	33	1	22	0	0	0	0	0	0	1	41	2	0	0	3	1	0	0	0	0	0	1	0	0	0
2974	3876	"Amtkel 1"	43.28333	41.29167	50	"AWI"	50	1007	1227	1094	1	0	94	3	5	5	0	1	1	0	0	1	0	16	59	3	21	1	4	0	0	0	0	1	13	1	0	30	0	1	1	0	0	0	0	0	1	0	0
2974	3876	"Amtkel 1"	43.28333	41.29167	55	"AWI"	55	1048	1300	1162	1	1	78	5	13	4	0	1	2	0	1	4	0	9	51	0	16	0	0	5	0	0	0	2	23	0	0	0	11	1	6	0	0	0	0	2	0	0	0
2974	3876	"Amtkel 1"	43.28333	41.29167	65	"AWI"	65	1161	1422	1296	6	1	57	15	32	13	0	1	2	0	5	2	2	7	78	1	19	0	2	0	0	0	0	5	24	2	1	6	4	1	2	1	0	0	0	1	0	0	0
2974	3876	"Amtkel 1"	43.28333	41.29167	75	"AWI"	75	1332	1502	1431	6	0	45	4	28	3	0	0	0	0	0	3	0	8	67	0	11	0	2	4	0	0	0	1	46	1	2	0	4	0	0	0	0	1	0	0	0	1	0
2974	3876	"Amtkel 1"	43.28333	41.29167	90	"AWI"	90	1526	1919	1696	21	0	57	4	31	4	0	1	0	0	5	10	0	2	61	0	13	0	0	1	0	0	0	7	49	3	2	0	1	1	6	1	0	1	0	0	0	0	0
2974	3876	"Amtkel 1"	43.28333	41.29167	96	"AWI"	96	1629	2083	1836	0	0	58	3	24	3	0	2	1	0	2	6	0	6	0	5	24	1	0	6	0	0	0	9	27	0	2	0	10	0	4	0	0	0	0	0	0	0	0
2974	3876	"Amtkel 1"	43.28333	41.29167	102	"AWI"	102	1724	2253	1965	9	0	54	5	23	6	0	1	0	0	5	5	0	6	8	0	11	0	0	7	0	0	0	3	36	0	9	0	9	4	14	0	0	3	7	1	0	0	0
2974	3876	"Amtkel 1"	43.28333	41.29167	108	"AWI"	108	1816	2399	2078	4	0	92	4	0	8	0	1	0	0	8	4	0	7	0	1	19	6	0	0	0	0	0	2	47	0	2	0	15	0	8	2	0	1	0	0	0	0	0
2974	3876	"Amtkel 1"	43.28333	41.29167	110	"AWI"	110	1837	2458	2115	4	0	63	5	4	7	32	0	0	0	3	6	0	3	17	0	21	4	0	5	7	0	0	0	13	3	2	0	10	0	19	2	0	1	0	3	0	0	0
2974	3876	"Amtkel 1"	43.28333	41.29167	114	"AWI"	114	1903	2556	2193	11	0	17	8	0	7	0	0	0	0	19	3	0	5	31	8	10	4	1	3	1	0	4	4	39	4	3	0	39	0	12	0	0	0	0	0	0	0	0
