"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Ceratonia"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Ilex"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnaceae"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
14482	22678	"Las Pardillas Lake"	42.04363	-3.04588	10	"AWI"	10	11	379	162	0	0	0	0	22	0	3	0	0	0	0	0	0	0	0	0	2	0	8	0	29	0	0	16	0	0	0	40	5	0	0	4	0	0	0	0	209	0	0	22	0	0	48	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0
14482	22678	"Las Pardillas Lake"	42.04363	-3.04588	18	"AWI"	18	137	600	335	2	1	2	0	11	0	9	0	1	1	0	0	0	2	0	0	2	0	25	0	30	0	0	19	0	0	0	22	14	0	0	6	0	0	0	0	113	0	4	44	0	0	48	0	0	0	0	0	0	12	0	0	1	0	0	0	0	0
14482	22678	"Las Pardillas Lake"	42.04363	-3.04588	27	"AWI"	27	291	822	528	2	2	0	0	9	0	12	0	0	2	1	0	1	1	0	0	1	0	63	0	14	0	0	15	1	0	0	8	5	0	0	1	0	0	0	0	113	0	0	42	0	0	52	0	0	0	2	0	1	9	1	0	0	0	0	0	0	1
14482	22678	"Las Pardillas Lake"	42.04363	-3.04588	35	"AWI"	35	438	1026	700	0	0	1	0	7	0	7	0	0	1	0	0	1	0	0	0	3	0	31	0	9	0	0	26	0	0	0	13	2	0	0	4	0	0	0	0	221	0	0	0	0	0	59	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
14482	22678	"Las Pardillas Lake"	42.04363	-3.04588	43	"AWI"	43	590	1212	873	1	0	3	0	5	0	6	0	0	0	0	0	0	0	0	0	3	0	27	0	4	0	0	20	0	0	0	8	2	0	1	1	0	0	0	0	231	0	0	0	0	0	56	0	2	0	1	0	1	4	1	0	0	0	0	0	0	0
14482	22678	"Las Pardillas Lake"	42.04363	-3.04588	50	"AWI"	50	720	1381	1025	0	0	0	0	5	0	7	0	0	0	0	0	0	0	0	0	3	0	14	0	14	0	0	21	0	0	0	15	0	1	1	0	0	0	0	0	219	0	0	0	0	0	46	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
14482	22678	"Las Pardillas Lake"	42.04363	-3.04588	57	"AWI"	57	854	1538	1176	3	1	1	0	6	0	7	0	0	2	0	0	1	0	0	0	2	0	30	0	18	0	0	29	0	0	0	4	1	0	0	4	0	0	0	0	163	0	3	0	0	0	57	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0
14482	22678	"Las Pardillas Lake"	42.04363	-3.04588	63	"AWI"	63	970	1667	1302	0	3	3	0	8	0	7	0	0	4	0	0	0	0	0	0	4	0	49	0	8	0	0	22	1	0	0	13	3	1	0	0	0	0	0	0	108	0	0	0	0	0	66	0	2	0	0	0	1	10	1	0	0	0	0	0	0	0
14482	22678	"Las Pardillas Lake"	42.04363	-3.04588	75	"AWI"	75	1204	1937	1565	2	1	2	0	6	0	3	0	0	1	0	0	0	0	0	0	5	1	32	0	17	0	0	18	1	0	0	14	3	1	0	1	0	0	0	0	154	0	0	22	0	0	68	20	0	0	0	0	0	11	0	0	0	0	0	0	0	0
14482	22678	"Las Pardillas Lake"	42.04363	-3.04588	82	"AWI"	82	1359	2077	1709	0	1	1	0	8	0	16	0	0	1	0	0	0	0	0	0	7	0	34	0	15	0	0	19	1	0	0	10	0	1	0	1	0	0	0	0	99	1	0	0	0	0	86	11	0	0	2	0	0	13	0	1	0	0	0	1	0	0
14482	22678	"Las Pardillas Lake"	42.04363	-3.04588	92	"AWI"	92	1560	2286	1924	0	0	0	0	9	0	42	0	1	4	0	0	0	0	0	0	3	1	12	0	10	0	0	20	0	0	0	13	0	0	2	0	0	0	0	0	170	0	0	0	0	0	73	0	1	0	0	0	0	3	0	0	0	0	0	3	0	0
14482	22678	"Las Pardillas Lake"	42.04363	-3.04588	98	"AWI"	98	1703	2398	2051	1	0	4	0	8	0	30	0	0	1	0	0	0	0	0	0	1	0	8	0	5	0	0	22	1	0	1	9	1	0	0	0	0	0	0	0	228	0	0	0	0	0	61	0	1	0	0	0	1	4	0	0	0	0	0	0	0	0
14482	22678	"Las Pardillas Lake"	42.04363	-3.04588	108	"AWI"	108	1914	2609	2264	2	0	9	0	5	0	55	0	0	1	0	1	0	0	0	0	11	1	14	0	7	0	0	19	0	0	0	9	0	0	0	0	0	0	0	0	222	0	0	0	0	0	76	14	0	0	1	0	0	1	1	0	0	0	0	0	0	1
14482	22678	"Las Pardillas Lake"	42.04363	-3.04588	114	"AWI"	114	2042	2729	2396	1	2	3	0	6	0	82	0	1	1	0	0	1	0	0	0	10	0	15	0	4	0	0	12	3	0	0	8	4	0	0	0	0	0	0	0	204	0	0	0	0	0	85	0	2	0	1	8	0	9	0	0	1	0	0	1	0	0
14482	22678	"Las Pardillas Lake"	42.04363	-3.04588	122	"AWI"	122	2221	2884	2565	3	1	4	0	3	0	44	0	0	1	0	0	0	0	0	0	6	0	9	0	0	0	0	6	4	0	0	3	0	0	0	0	0	0	0	0	187	0	0	0	0	0	90	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
14482	22678	"Las Pardillas Lake"	42.04363	-3.04588	126	"AWI"	126	2316	2959	2649	3	1	4	0	5	0	52	0	2	0	0	0	0	0	0	0	13	0	9	0	0	0	0	10	5	0	0	3	0	0	0	1	0	0	0	0	173	0	0	0	0	0	73	0	0	0	0	3	0	5	0	0	0	0	1	1	0	0
14482	22678	"Las Pardillas Lake"	42.04363	-3.04588	130	"AWI"	130	2410	3047	2738	0	0	11	0	1	0	51	0	0	1	0	0	1	0	0	0	10	0	7	0	0	0	0	9	0	1	0	8	0	0	0	0	0	0	0	0	227	0	0	0	0	0	76	0	1	0	0	0	0	4	0	0	0	0	0	2	0	0
14482	22678	"Las Pardillas Lake"	42.04363	-3.04588	138	"AWI"	138	2612	3191	2910	0	0	4	0	5	0	58	0	0	1	0	0	0	0	0	2	8	0	7	0	0	0	0	11	3	1	1	16	0	0	0	1	0	0	0	1	254	0	0	0	0	0	88	0	0	0	0	0	0	9	0	0	1	0	0	3	0	0
14482	22678	"Las Pardillas Lake"	42.04363	-3.04588	142	"AWI"	142	2710	3264	2996	1	0	3	0	4	0	56	0	1	0	0	0	0	0	0	0	5	0	5	0	0	0	0	8	1	0	1	13	0	0	0	0	0	0	0	0	191	0	0	0	0	0	64	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
14482	22678	"Las Pardillas Lake"	42.04363	-3.04588	154	"AWI"	154	3023	3480	3251	1	0	4	0	5	0	79	0	0	0	0	0	0	0	1	0	14	0	5	0	0	0	0	9	1	0	1	19	0	0	0	0	0	0	0	0	334	0	0	0	0	0	116	0	0	1	0	5	0	4	0	0	0	1	0	2	0	0
14482	22678	"Las Pardillas Lake"	42.04363	-3.04588	162	"AWI"	162	3273	3629	3411	0	1	5	0	10	0	61	0	0	0	0	0	0	0	0	0	8	0	4	0	0	0	0	5	3	0	0	7	1	0	0	0	0	0	0	0	200	0	0	0	0	0	80	0	0	1	0	0	0	4	0	0	2	0	0	1	0	0
14482	22678	"Las Pardillas Lake"	42.04363	-3.04588	165	"AWI"	165	3363	3696	3474	1	1	8	0	1	0	51	0	0	0	0	1	0	0	0	0	15	0	3	0	0	0	0	4	5	0	1	10	0	0	0	0	0	0	0	0	185	1	0	0	0	0	67	0	0	0	0	5	0	3	0	0	0	0	0	1	0	0
14482	22678	"Las Pardillas Lake"	42.04363	-3.04588	172	"AWI"	172	3487	3926	3657	0	0	5	0	5	0	56	0	1	1	0	0	0	0	0	0	18	0	0	0	3	0	1	0	4	1	0	11	0	0	0	1	0	0	0	0	202	0	0	0	0	0	76	12	0	0	0	0	1	2	1	0	0	1	0	0	0	0
14482	22678	"Las Pardillas Lake"	42.04363	-3.04588	180	"AWI"	180	3632	4195	3866	0	0	8	0	2	0	55	0	0	2	0	0	0	0	0	0	3	1	3	0	0	0	1	1	2	0	1	14	1	0	0	0	0	0	0	1	225	0	0	0	0	0	94	0	0	0	0	0	0	2	0	0	3	0	1	3	0	0
14482	22678	"Las Pardillas Lake"	42.04363	-3.04588	184	"AWI"	184	3720	4317	3970	0	0	1	0	2	0	39	0	0	0	0	0	0	0	0	0	9	1	3	0	0	0	0	0	0	0	1	9	0	0	0	1	0	0	0	0	202	0	0	0	0	0	79	0	0	1	0	0	0	6	1	0	0	0	0	3	0	0
14482	22678	"Las Pardillas Lake"	42.04363	-3.04588	192	"AWI"	192	3889	4554	4184	0	0	3	0	6	0	53	0	0	1	0	0	0	0	0	0	11	0	1	0	0	0	0	0	1	0	1	22	0	0	0	0	0	0	0	0	172	1	0	0	0	0	92	0	0	1	0	0	0	3	0	0	0	0	0	1	0	0
14482	22678	"Las Pardillas Lake"	42.04363	-3.04588	204	"AWI"	204	4153	4884	4497	0	0	4	0	3	0	43	0	0	0	0	0	0	0	0	0	10	1	3	0	0	0	0	0	2	0	0	11	0	0	0	1	0	0	0	0	199	0	0	0	0	0	86	0	0	0	0	6	0	5	1	0	0	0	0	2	0	0
14482	22678	"Las Pardillas Lake"	42.04363	-3.04588	212	"AWI"	212	4343	5104	4707	0	1	7	0	6	0	34	0	0	0	0	0	1	0	0	0	15	0	3	0	0	0	1	0	0	0	0	20	2	1	0	1	0	0	0	0	224	0	0	19	0	0	77	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0
14482	22678	"Las Pardillas Lake"	42.04363	-3.04588	222	"AWI"	222	4586	5375	4969	0	0	6	0	0	0	31	0	0	0	0	0	0	0	0	0	18	0	1	0	0	0	0	0	1	0	0	17	0	0	0	2	0	0	0	0	202	0	0	0	0	0	85	0	1	0	1	0	0	8	0	0	1	0	0	2	0	0
14482	22678	"Las Pardillas Lake"	42.04363	-3.04588	230	"AWI"	230	4783	5585	5180	2	0	9	0	3	0	41	0	0	0	0	0	0	0	0	0	12	0	7	0	0	0	0	0	1	0	1	19	1	0	0	2	0	0	0	2	181	0	0	0	0	0	86	0	0	1	0	0	0	3	0	0	3	0	0	0	0	0
14482	22678	"Las Pardillas Lake"	42.04363	-3.04588	238	"AWI"	238	4981	5793	5390	0	0	6	0	6	0	25	0	0	0	0	0	0	0	0	0	11	0	1	0	0	0	0	0	1	0	0	33	0	0	0	1	0	0	0	0	204	1	0	0	0	0	94	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0
14482	22678	"Las Pardillas Lake"	42.04363	-3.04588	246	"AWI"	246	5187	6002	5598	0	1	10	0	7	0	35	0	0	0	0	0	0	0	0	0	14	0	6	0	0	0	0	0	3	0	0	20	2	0	0	1	0	0	0	0	166	0	0	0	0	0	82	12	0	0	0	0	0	0	0	0	2	2	0	2	0	0
14482	22678	"Las Pardillas Lake"	42.04363	-3.04588	254	"AWI"	254	5391	6203	5809	0	2	10	0	5	0	41	0	0	1	0	0	0	0	0	0	8	0	3	0	2	0	1	0	3	0	1	8	1	0	0	1	0	0	0	0	146	2	0	0	0	0	98	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0
