"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Castanea"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Hypericaceae"	"Juniperus"	"Lamiaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
15700	24078	"Jelení louže"	50.891816	14.276158	0	"AWI"	0	-121	60	-43	0	1	14	3	0	4	0	217	1	0	0	1	0	2	0	0	0	0	0	36	0	4	0	0	0	0	3	41	228	0	50	2	14	0	0	0	3	2	1	0	0	0	0	0	69	0
15700	24078	"Jelení louže"	50.891816	14.276158	5	"AWI"	5	-52	460	110	3	0	11	2	0	3	0	304	1	0	0	0	0	2	0	2	25	0	0	41	0	2	1	0	0	2	5	33	239	0	0	1	9	0	0	0	2	1	0	0	0	0	0	0	5	0
15700	24078	"Jelení louže"	50.891816	14.276158	10	"AWI"	10	27	692	292	28	0	23	2	0	8	0	299	1	0	0	0	0	6	0	6	24	0	1	73	0	4	0	1	0	10	16	15	133	0	0	1	30	0	0	1	23	4	0	0	0	0	1	2	1	0
15700	24078	"Jelení louže"	50.891816	14.276158	15	"AWI"	15	144	918	486	64	1	12	1	3	11	0	312	2	0	0	0	1	8	0	2	24	0	0	66	0	1	0	0	0	1	23	18	146	0	0	2	18	0	0	1	12	2	1	0	0	1	1	1	2	0
15700	24078	"Jelení louže"	50.891816	14.276158	20	"AWI"	20	286	1099	666	85	0	15	0	0	6	0	521	0	0	0	0	1	11	0	3	10	0	0	56	0	1	0	0	0	2	19	26	132	0	0	3	15	0	0	0	6	0	0	0	1	0	0	5	1	0
15700	24078	"Jelení louže"	50.891816	14.276158	25	"AWI"	25	447	1253	861	73	1	29	0	0	8	0	531	1	0	0	0	2	6	0	2	0	0	0	47	1	3	0	1	0	2	34	27	151	0	0	0	18	0	0	0	3	2	2	0	0	0	1	2	2	0
15700	24078	"Jelení louže"	50.891816	14.276158	30	"AWI"	30	619	1386	1052	68	0	52	0	0	5	0	151	0	0	0	0	0	7	0	6	0	0	0	119	0	4	0	0	0	1	30	48	158	0	0	0	29	0	0	1	2	8	1	0	0	0	0	4	1	0
15700	24078	"Jelení louže"	50.891816	14.276158	40	"AWI"	40	1031	1623	1416	99	0	39	1	0	6	0	226	1	0	0	0	0	8	1	0	0	0	0	138	0	2	0	1	0	1	28	37	144	0	0	1	33	0	0	0	6	1	0	0	0	0	5	3	0	0
15700	24078	"Jelení louže"	50.891816	14.276158	50	"AWI"	50	1583	1854	1703	121	0	20	1	0	1	0	187	0	0	0	0	0	14	0	1	27	0	0	175	0	2	0	0	0	1	25	25	165	0	0	0	58	0	0	0	1	0	0	0	0	0	0	4	2	0
15700	24078	"Jelení louže"	50.891816	14.276158	60	"AWI"	60	1699	2163	1891	102	0	43	0	0	1	0	183	0	0	0	0	0	14	0	1	29	0	0	100	0	4	0	0	0	0	20	18	143	0	0	0	44	0	0	0	0	0	1	0	1	0	3	2	0	0
15700	24078	"Jelení louže"	50.891816	14.276158	70	"AWI"	70	1842	2394	2092	103	0	44	0	0	7	0	233	0	0	0	0	0	16	0	3	23	0	0	105	0	5	0	0	0	6	35	24	187	0	0	1	43	0	0	0	1	0	0	0	0	0	1	2	2	0
15700	24078	"Jelení louže"	50.891816	14.276158	80	"AWI"	80	1991	2596	2289	80	1	34	0	0	2	0	126	0	0	0	0	0	19	0	2	0	0	0	128	0	5	0	0	0	1	11	6	149	0	0	0	45	0	0	0	2	1	0	0	1	0	1	4	1	0
15700	24078	"Jelení louže"	50.891816	14.276158	90	"AWI"	90	2172	2779	2486	74	0	77	1	0	8	0	218	0	0	0	0	0	7	0	22	49	0	0	105	0	1	0	0	0	7	16	7	183	0	0	0	107	0	0	0	1	7	0	0	0	0	0	2	1	0
15700	24078	"Jelení louže"	50.891816	14.276158	100	"AWI"	100	2389	2941	2687	82	0	38	0	0	0	0	227	0	0	0	0	0	6	0	7	0	0	0	128	0	0	0	0	0	0	29	9	227	0	0	0	52	0	0	0	0	0	0	1	0	0	8	6	0	0
15700	24078	"Jelení louže"	50.891816	14.276158	110	"AWI"	110	2620	3091	2880	88	1	37	0	0	2	0	195	0	0	0	0	0	13	0	1	48	0	0	103	0	0	0	0	0	1	16	40	155	0	0	0	77	0	0	1	1	1	0	0	0	0	5	4	11	0
15700	24078	"Jelení louže"	50.891816	14.276158	120	"AWI"	120	2911	3254	3069	9	0	28	0	0	3	0	597	0	0	0	0	0	8	0	2	35	0	0	51	0	1	0	0	0	0	5	5	77	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0
15700	24078	"Jelení louže"	50.891816	14.276158	130	"AWI"	130	3107	3645	3317	31	0	11	0	0	2	0	425	0	0	0	0	0	8	0	1	0	0	0	47	0	2	0	0	0	3	6	13	139	0	0	0	41	0	0	0	0	0	0	0	0	0	2	5	0	0
15700	24078	"Jelení louže"	50.891816	14.276158	140	"AWI"	140	3288	4037	3598	15	0	41	0	0	2	0	225	0	0	0	0	5	41	0	5	0	0	0	171	0	1	1	0	0	0	3	66	97	0	0	0	67	0	0	0	0	0	0	0	0	0	8	2	0	0
