"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Melanthiaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
27222	48640	"Lac des Grenouilles"	44.09825	7.48358	228	"AWI"	228	2003	2435	2163	0	2	2	8	0	0	0	5	0	0	2	2	0	0	0	1	0	0	0	10	0	3	0	0	0	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	37	1	0	0	0	0	0	0	19	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0
27222	48640	"Lac des Grenouilles"	44.09825	7.48358	284	"AWI"	284	3117	3783	3471	0	4	8	2	0	0	0	2	0	0	5	0	0	0	0	0	0	0	1	17	1	1	0	0	0	9	0	0	0	0	0	0	0	3	0	39	0	2	0	0	0	0	6	49	0	0	0	0	0	0	0	48	12	0	0	0	0	0	4	0	0	0	0	0	0	0	0	7	0	1
27222	48640	"Lac des Grenouilles"	44.09825	7.48358	298	"AWI"	298	3587	4049	3793	0	4	22	1	1	0	0	7	0	0	13	0	0	0	0	0	0	0	0	18	0	2	0	0	0	12	0	0	0	1	0	0	0	3	0	41	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	74	16	0	0	0	0	2	10	1	0	0	0	3	4	0	0	1	0	0
27222	48640	"Lac des Grenouilles"	44.09825	7.48358	299	"AWI"	299	3620	4062	3816	0	7	32	1	0	0	0	8	0	0	11	0	1	0	0	0	0	0	0	26	0	11	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	60	0	0	93	0	0	0	0	84	22	0	0	0	0	5	18	0	0	0	0	0	5	0	1	4	3	1
27222	48640	"Lac des Grenouilles"	44.09825	7.48358	301	"AWI"	301	3676	4101	3867	0	2	12	1	0	0	0	5	0	0	8	0	0	0	0	0	0	0	0	15	0	5	0	0	0	10	0	0	0	0	0	0	0	0	0	50	0	0	1	0	0	0	1	27	0	0	0	0	0	0	0	28	3	0	0	0	0	2	10	0	0	0	0	0	1	0	0	3	0	0
27222	48640	"Lac des Grenouilles"	44.09825	7.48358	303	"AWI"	303	3723	4148	3926	0	2	14	3	0	0	0	3	0	0	13	0	0	0	0	0	0	0	0	6	1	2	0	0	0	9	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0	3	60	0	0	0	0	0	0	0	49	25	0	0	0	0	1	9	0	0	0	0	0	2	0	0	1	0	0
27222	48640	"Lac des Grenouilles"	44.09825	7.48358	304	"AWI"	304	3742	4185	3954	0	8	15	5	0	0	0	3	0	0	11	0	0	0	0	1	0	0	0	8	0	1	0	0	0	16	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	1	61	0	0	0	0	0	0	0	52	8	0	0	0	0	1	11	0	0	0	0	0	7	0	0	4	0	0
27222	48640	"Lac des Grenouilles"	44.09825	7.48358	307	"AWI"	307	3821	4265	4047	0	8	16	5	0	0	0	2	0	0	9	0	0	0	0	0	0	0	0	13	0	0	0	0	0	10	0	0	1	0	0	4	0	0	0	18	0	0	0	0	0	0	1	58	0	0	44	0	0	0	0	44	16	0	0	1	0	0	12	0	0	0	0	0	3	0	0	3	1	0
27222	48640	"Lac des Grenouilles"	44.09825	7.48358	311	"AWI"	311	3941	4366	4176	0	13	15	1	0	0	0	1	0	0	12	0	1	0	0	0	0	0	0	13	0	2	0	0	0	9	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	2	49	0	0	0	0	0	0	0	58	19	0	0	0	0	0	12	0	0	0	0	0	2	0	0	1	2	0
27222	48640	"Lac des Grenouilles"	44.09825	7.48358	312	"AWI"	312	3999	4379	4205	55	10	15	3	0	0	0	5	0	0	8	0	1	0	1	1	0	0	0	17	0	1	0	0	0	10	0	0	0	0	0	0	0	3	0	35	0	0	0	0	0	0	0	94	0	0	63	0	0	0	0	78	19	0	0	0	0	3	15	0	0	0	0	0	3	0	0	4	1	0
27222	48640	"Lac des Grenouilles"	44.09825	7.48358	317	"AWI"	317	4202	4499	4357	0	6	10	2	0	0	0	3	0	0	23	0	1	0	0	0	0	0	0	9	0	4	0	0	0	8	0	0	4	1	1	0	0	0	0	13	0	1	0	0	0	0	1	58	0	0	33	0	0	0	0	61	9	0	0	0	0	1	3	0	0	0	0	0	0	0	2	5	0	0
27222	48640	"Lac des Grenouilles"	44.09825	7.48358	318	"AWI"	318	4235	4524	4386	0	5	0	0	0	0	0	2	0	0	37	0	0	0	0	0	0	0	1	7	0	4	0	0	0	5	0	0	0	0	0	0	0	2	0	9	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	59	15	0	0	0	0	0	12	0	0	0	0	1	0	0	0	3	0	0
