"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Oxalidaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Sorbus"	"Syringa"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
14508	22726	"Großes Schwanental"	49.35039	7.819782	93	"AWI"	93	3374	3713	3544	3	6	421	0	2	0	0	0	0	13	0	0	0	0	0	0	97	0	0	5	0	0	33	0	29	0	0	1	35	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	288	0	0	0	0	0	0	1	0	0	0	0	0	54	12	0	0	0
14508	22726	"Großes Schwanental"	49.35039	7.819782	88	"AWI"	88	2975	3560	3327	1	5	463	0	0	1	1	0	0	8	0	0	0	0	0	0	91	0	0	7	0	0	57	3	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	245	0	0	0	0	0	0	1	0	1	0	0	0	0	5	0	0	0
14508	22726	"Großes Schwanental"	49.35039	7.819782	60	"AWI"	60	1747	2310	2010	1	1	990	0	0	0	0	0	0	60	0	0	0	0	0	0	44	0	0	6	0	0	280	0	6	0	0	0	32	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	1	0	0	1	2	0	0	0	0	4	0	0	0
14508	22726	"Großes Schwanental"	49.35039	7.819782	102	"AWI"	102	3658	4494	3942	1	3	537	0	0	0	1	0	0	7	2	0	0	0	0	0	70	0	0	3	0	0	157	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	130	0	0	0	0	0	0	1	0	1	0	0	0	0	6	0	0	0
14508	22726	"Großes Schwanental"	49.35039	7.819782	82	"AWI"	82	2602	3401	3049	1	3	618	0	0	2	1	0	0	6	0	0	0	0	0	0	99	0	0	5	0	0	26	0	12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	1	0	1	0	0	0	0	5	2	0	0
14508	22726	"Großes Schwanental"	49.35039	7.819782	72	"AWI"	72	2167	3044	2573	1	6	438	0	2	0	1	0	0	14	0	0	2	0	0	0	64	0	0	6	0	0	208	1	13	0	0	0	41	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
14508	22726	"Großes Schwanental"	49.35039	7.819782	78	"AWI"	78	2412	3262	2854	2	3	445	0	1	1	2	0	0	9	1	0	0	0	0	0	103	0	0	1	0	0	68	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0
14508	22726	"Großes Schwanental"	49.35039	7.819782	90	"AWI"	90	3067	3638	3422	0	3	487	0	0	0	0	0	0	10	1	0	0	0	0	0	101	0	0	10	0	0	56	0	9	0	0	0	64	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	239	0	0	1	0	1	0	0	0	0	0	0	0	0	8	0	0	0
14508	22726	"Großes Schwanental"	49.35039	7.819782	96	"AWI"	96	3510	3926	3677	0	9	452	0	0	2	0	0	0	8	0	0	1	0	0	0	85	0	0	7	0	0	87	0	15	0	0	0	59	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	234	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0
14508	22726	"Großes Schwanental"	49.35039	7.819782	100	"AWI"	100	3583	4383	3842	2	6	484	0	0	0	2	0	0	12	0	0	0	0	0	0	86	0	0	8	0	0	107	0	12	0	0	0	46	0	0	0	0	0	3	1	0	2	0	0	0	0	0	0	0	0	200	0	0	1	0	1	0	0	1	2	0	0	0	0	4	0	0	0
