"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Apocynaceae"	"Araliaceae"	"Arbutus"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cercis"	"Cistaceae"	"Cornus"	"Corylus"	"Cotinus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Olea"	"Onagraceae"	"Ostrya.Carpinus"	"Paliurus"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"	"Vitex"
15829	24358	"Litochoro"	40.13889	22.54611	102	"AWI"	102	192	744	429	0	0	57.0637119113573	1.93905817174515	0	0	0	0	0.554016620498615	0	0	0	0	0.554016620498615	0	0	0	0	0	0	0	0	0	1.38504155124654	0	6.09418282548476	0	0	0	0.831024930747922	2.21606648199446	0	0	0.554016620498615	0.277008310249307	0	1.66204986149584	0	0	0	0	0	0	10.2493074792244	1.10803324099723	1.10803324099723	0	0	0.554016620498615	0	2.49307479224377	0.277008310249307	0.277008310249307	0	0.277008310249307	0	8.86426592797784	0	0.277008310249307	0	0	0	0	1.38504155124654	0
15829	24358	"Litochoro"	40.13889	22.54611	110	"AWI"	110	213	790	465	0.189035916824197	0	64.8393194706994	1.32325141776938	0.189035916824197	0	0	0	1.13421550094518	0	0	0	0	0.56710775047259	0.189035916824197	0	0.378071833648393	0	0	0	0	0	0	1.51228733459357	0	1.89035916824197	0	0	0	0.378071833648393	2.64650283553875	0	0	0.945179584120983	0.189035916824197	0	1.51228733459357	0	0	2.64650283553875	0	0	0	7.37240075614367	0.189035916824197	0.56710775047259	0.189035916824197	3.21361058601134	0	0	1.51228733459357	0	0.56710775047259	0	0	0	5.10396975425331	0	0.189035916824197	0	0.189035916824197	0	0	0.378071833648393	0
15829	24358	"Litochoro"	40.13889	22.54611	120	"AWI"	120	260	832	511	0.363636363636364	0	54.7272727272727	0.181818181818182	0	0	0.363636363636364	0	1.09090909090909	0	0	0	0	0.727272727272727	0.181818181818182	0	0	0	0	0	0	0	0	1.45454545454545	0	3.63636363636364	0	0	0	0.909090909090909	4.54545454545455	0	0	0.545454545454546	0.545454545454546	0	1.27272727272727	0	0	1.81818181818182	0	0.181818181818182	0	6.90909090909091	0.545454545454546	1.09090909090909	0.181818181818182	2.72727272727273	0.181818181818182	0	3.27272727272727	0	1.27272727272727	0	0	0.909090909090909	8.72727272727273	0	0	0.181818181818182	0.545454545454546	0	0	0.909090909090909	0
15829	24358	"Litochoro"	40.13889	22.54611	137	"AWI"	137	321	919	594	0.43010752688172	0	51.1827956989247	1.93548387096774	0	0	0	0	0.21505376344086	0	0	0	0	0	0.43010752688172	0	0	0	0	0.21505376344086	0	0	0	2.36559139784946	0	4.51612903225806	0	0	0	0	0	0	0	0.43010752688172	0	0	1.50537634408602	0	0	1.72043010752688	0	0	0.21505376344086	9.89247311827957	0.43010752688172	0.645161290322581	0.645161290322581	4.94623655913978	0	4.73118279569892	3.2258064516129	0	0.43010752688172	0	0.43010752688172	0	7.74193548387097	0	0.21505376344086	0	0.860215053763441	0	0	0.645161290322581	0
15829	24358	"Litochoro"	40.13889	22.54611	150	"AWI"	150	380	973	654	0.466200466200466	0.233100233100233	26.3403263403263	2.33100233100233	0.233100233100233	0	0.233100233100233	0	2.0979020979021	0	0	0	0	0.699300699300699	0.233100233100233	0	0	0	0	0	0	0	0	2.33100233100233	0	11.1888111888112	0	0	0	1.86480186480186	3.4965034965035	0	0	0.233100233100233	0.466200466200466	0	2.7972027972028	0	0	3.96270396270396	0	0	0	16.7832167832168	0.466200466200466	1.3986013986014	0	4.1958041958042	0	9.32400932400932	3.4965034965035	0	0.699300699300699	0	0.466200466200466	0	1.86480186480186	0	0	0	1.16550116550117	0	0	0.932400932400932	0
15829	24358	"Litochoro"	40.13889	22.54611	160	"AWI"	160	423	1019	700	0.549450549450549	0	37.3626373626374	1.92307692307692	0	0	0	0	0.549450549450549	0	0	0	0	0.274725274725275	0	0	0.274725274725275	0	0	0	0	0	0	3.2967032967033	0	11.8131868131868	0	0	0	0.549450549450549	3.2967032967033	0.274725274725275	0.274725274725275	0	0.274725274725275	0	2.74725274725275	0	0	3.02197802197802	0	0	0.274725274725275	12.0879120879121	0.274725274725275	0.824175824175824	0	0	0.274725274725275	7.14285714285714	3.2967032967033	0.824175824175824	1.64835164835165	0	0.824175824175824	0	2.47252747252747	0	0	0	2.47252747252747	0	0	1.0989010989011	0
15829	24358	"Litochoro"	40.13889	22.54611	170	"AWI"	170	477	1053	746	0.795755968169761	0	18.5676392572944	1.06100795755968	0	0	0	0	2.91777188328912	0	0	0	0	0.530503978779841	0	0	0.26525198938992	0	0	0	0	0	0	2.91777188328912	0	12.2015915119363	0.26525198938992	0	0	2.6525198938992	0	0	0	0	1.06100795755968	0	1.85676392572944	0.26525198938992	0	4.77453580901857	0	0	0.26525198938992	19.893899204244	0.530503978779841	0.26525198938992	0	9.28381962864722	0.26525198938992	9.28381962864722	4.77453580901857	0.26525198938992	1.3262599469496	0	0.26525198938992	0	1.3262599469496	0	0.26525198938992	0	0.795755968169761	0	0	1.06100795755968	0
15829	24358	"Litochoro"	40.13889	22.54611	180	"AWI"	180	517	1101	792	0.588235294117647	0	15.2941176470588	2.35294117647059	0	0	0	0	1.76470588235294	0	0	0	0	0	0.588235294117647	0	0	0	0	0	0	0	0	4.11764705882353	0	22.9411764705882	0	0	0	2.94117647058824	4.70588235294118	0	0	0	1.76470588235294	0	0.588235294117647	0	0	0	0	0	0	32.9411764705882	1.17647058823529	1.76470588235294	0	0	0	0	2.35294117647059	0.588235294117647	0	0	0	0	1.17647058823529	0	0	0	0.588235294117647	0	0	1.76470588235294	0
15829	24358	"Litochoro"	40.13889	22.54611	195	"AWI"	195	605	1155	860	0.415800415800416	0	26.1954261954262	2.7027027027027	0.207900207900208	0	0.415800415800416	0	1.24740124740125	0	0	0	0	0.207900207900208	0	0	0.207900207900208	0	0	0	0	0	0	2.91060291060291	0	13.9293139293139	0	0	0	2.28690228690229	2.28690228690229	0	0	0	1.24740124740125	0	0.831600831600832	0	0	3.11850311850312	0	0	0	16.4241164241164	0	1.24740124740125	0	6.65280665280665	0.207900207900208	8.73180873180873	3.32640332640333	0.207900207900208	0.415800415800416	0	0.207900207900208	0	2.28690228690229	0	0	0.207900207900208	1.24740124740125	0	0	0.623700623700624	0
15829	24358	"Litochoro"	40.13889	22.54611	208	"AWI"	208	675	1206	919	0.906344410876133	0	42.5981873111783	0.604229607250755	0	0	0.302114803625378	0	0.906344410876133	0	0	0	0	0	0.302114803625378	0	0	0	0	0	0	0	0.302114803625378	2.41691842900302	0	7.55287009063444	0	0	0	1.20845921450151	2.7190332326284	0	0	0.302114803625378	0.302114803625378	0	0.604229607250755	0	0	3.02114803625378	0	0	0	12.3867069486405	0.302114803625378	0.302114803625378	0	0	0	9.96978851963746	3.02114803625378	0.604229607250755	0.302114803625378	0	0.302114803625378	1.51057401812689	3.02114803625378	0	0	0.302114803625378	0.302114803625378	0	0	3.62537764350453	0
