"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fraxinus"	"Ostrya.Carpinus"	"Pinus"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"
26153	45406	"Niinsaare"	59.24806	27.54083	2	"AWI"	2	-105	73	-23	0	40	0	0	1	0	118	0	1	0	16	0	0	319	0	0	0	0	0	0	0	0
26153	45406	"Niinsaare"	59.24806	27.54083	5	"AWI"	5	-89	144	8	0	67	1	0	3	0	164	0	1	0	160	0	0	249	0	0	0	1	0	0	0	0
26153	45406	"Niinsaare"	59.24806	27.54083	9	"AWI"	9	-58	211	54	0	78	2	0	5	0	228	0	1	0	128	0	1	162	0	1	0	2	0	1	0	2
26153	45406	"Niinsaare"	59.24806	27.54083	13	"AWI"	13	-25	279	102	0	26	1	0	1	0	130	0	1	0	90	0	1	206	18	0	0	0	0	0	0	1
26153	45406	"Niinsaare"	59.24806	27.54083	17	"AWI"	17	10	339	148	0	86	0	1	1	0	151	1	0	0	62	0	0	222	0	0	0	2	0	1	0	1
26153	45406	"Niinsaare"	59.24806	27.54083	22	"AWI"	22	54	415	207	0	47	0	0	5	3	140	1	0	0	66	1	2	248	17	1	0	2	0	3	1	3
26153	45406	"Niinsaare"	59.24806	27.54083	26	"AWI"	26	88	470	254	0	68	1	1	3	0	131	0	6	0	42	0	2	236	12	1	0	1	0	2	1	1
26153	45406	"Niinsaare"	59.24806	27.54083	31	"AWI"	31	133	541	314	0	72	0	0	1	0	135	0	0	0	54	0	0	233	4	1	0	0	2	0	0	3
26153	45406	"Niinsaare"	59.24806	27.54083	38	"AWI"	38	203	630	400	0	77	0	0	0	0	198	1	0	0	19	0	0	188	0	1	0	0	0	1	2	1
26153	45406	"Niinsaare"	59.24806	27.54083	43	"AWI"	43	256	694	464	0	82	0	0	0	0	327	0	2	0	25	0	0	57	0	0	1	1	0	0	4	5
26153	45406	"Niinsaare"	59.24806	27.54083	49	"AWI"	49	315	775	536	0	48	0	0	0	0	226	0	2	0	12	2	0	172	0	2	0	1	0	1	1	0
26153	45406	"Niinsaare"	59.24806	27.54083	55	"AWI"	55	375	848	608	0	28	0	0	1	0	240	0	2	0	7	0	0	96	0	3	0	0	0	1	1	1
26153	45406	"Niinsaare"	59.24806	27.54083	60	"AWI"	60	428	908	671	0	31	0	0	0	0	150	0	2	1	8	0	0	239	0	1	0	1	0	0	1	4
26153	45406	"Niinsaare"	59.24806	27.54083	67	"AWI"	67	515	980	754	0	58	0	0	0	0	218	0	2	0	14	0	1	53	0	0	0	0	0	0	0	0
26153	45406	"Niinsaare"	59.24806	27.54083	73	"AWI"	73	588	1046	828	0	26	0	0	2	0	156	0	2	0	16	0	0	281	0	2	0	1	0	1	3	0
26153	45406	"Niinsaare"	59.24806	27.54083	79	"AWI"	79	659	1115	901	0	20	0	1	1	0	218	0	2	2	62	0	0	219	11	2	0	2	1	1	3	3
26153	45406	"Niinsaare"	59.24806	27.54083	85	"AWI"	85	730	1180	971	0	16	0	0	1	0	181	0	5	0	38	1	0	215	0	4	0	0	0	0	0	1
26153	45406	"Niinsaare"	59.24806	27.54083	91	"AWI"	91	819	1240	1045	0	48	0	0	1	0	171	0	2	0	39	0	0	181	0	5	0	0	0	0	0	8
