"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Indeterminable"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Melanthiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3327	4319	"Olbramovice"	48.988224	16.392582	50	"AWI"	50	244	1071	602	0.93167701863354	0	0.93167701863354	11.4906832298137	0.62111801242236	0	0	0	0.31055900621118	1.5527950310559	4.34782608695652	0	0	0	0	0	0	0	27.3291925465839	0	0	0	1.5527950310559	0	2.79503105590062	0	0	0	0	0	0	0	0.62111801242236	0.31055900621118	5.59006211180124	6.52173913043478	0.93167701863354	29.5031055900621	0	0	1.86335403726708	1.5527950310559	0	0	0	0	0.31055900621118	0	0	0	0.31055900621118	0.62111801242236	0
3327	4319	"Olbramovice"	48.988224	16.392582	60	"AWI"	60	345	1230	744	0.491400491400491	0	0.982800982800983	17.4447174447174	0	0.737100737100737	0.245700245700246	0	0.245700245700246	0	3.93120393120393	0.245700245700246	0	0	0	0	0	0.491400491400491	25.0614250614251	0	0	0	1.22850122850123	0	3.43980343980344	0	0	0	0	0	0.737100737100737	0	0.245700245700246	0.491400491400491	0.491400491400491	11.5479115479115	0	28.992628992629	0	0	0.491400491400491	0.491400491400491	0	0	0	0	1.47420147420147	0	0	0	0.245700245700246	0.245700245700246	0
3327	4319	"Olbramovice"	48.988224	16.392582	70	"AWI"	70	438	1380	874	0.4739336492891	0	2.3696682464455	25.5924170616114	0.4739336492891	3.7914691943128	0	0	0.947867298578199	0	4.739336492891	0	0.4739336492891	0	0	0	0	0	19.4312796208531	0	0.4739336492891	0	0.947867298578199	0	2.8436018957346	0	0	0	0	0	0	0	0.4739336492891	0.4739336492891	4.2654028436019	17.0616113744076	9.95260663507109	0	0	0	1.4218009478673	1.8957345971564	0	0	0	0	0.4739336492891	0	0	0	0	1.4218009478673	0
3327	4319	"Olbramovice"	48.988224	16.392582	80	"AWI"	80	559	1519	1008	0	0	0.806451612903226	14.7849462365591	0.268817204301075	2.1505376344086	0	0	0	0	3.2258064516129	0	0.268817204301075	0	0	0	0	0.268817204301075	27.6881720430108	0	0	0	2.1505376344086	0	1.61290322580645	0	0	0	0	0	0	0	0.268817204301075	0.268817204301075	3.2258064516129	11.2903225806452	0	28.2258064516129	0	0	0.268817204301075	1.34408602150538	0	0	0	0	1.0752688172043	0	0	0.537634408602151	0	0.268817204301075	0
3327	4319	"Olbramovice"	48.988224	16.392582	90	"AWI"	90	670	1659	1151	0.46189376443418	0	1.38568129330254	4.38799076212471	0.23094688221709	1.38568129330254	0	0	0.92378752886836	0	3.23325635103926	0	0.46189376443418	0	0	0	0	0.23094688221709	29.0993071593533	0	0.69284064665127	0	3.00230946882217	0	3.23325635103926	0.23094688221709	0	0	0	0	0	0	0	0.69284064665127	7.39030023094688	22.6327944572748	0	17.0900692840647	0	0	0	0.69284064665127	0	0	0.46189376443418	0	1.38568129330254	0	0	0	0.46189376443418	0	0.23094688221709
3327	4319	"Olbramovice"	48.988224	16.392582	100	"AWI"	100	779	1796	1289	0.5	0.5	1	0.5	0	0	0	0	0.5	0	1	0	0	0	0	0	0	0	47.5	0	1	0	0	0	2	0.5	0	0	0	0	0	0	1	0.5	13	21	0	0	0	0	0	9	0	0	0	0	0.5	0	0	0	0	0	0
3327	4319	"Olbramovice"	48.988224	16.392582	110	"AWI"	110	910	1927	1420	2.63157894736842	0	4.73684210526316	5.78947368421053	0	4.73684210526316	0	0	0.526315789473684	0	0	0	0	0	0	0	0	0.526315789473684	31.5789473684211	0	0	0	0.526315789473684	0	2.63157894736842	0	0	0	0	0.526315789473684	0	0	0	0	6.31578947368421	29.4736842105263	0	0	0	0	0	4.21052631578947	0	0	1.57894736842105	0	3.15789473684211	0	0	0	0.526315789473684	0.526315789473684	0
3327	4319	"Olbramovice"	48.988224	16.392582	120	"AWI"	120	1031	2052	1554	1.58730158730159	0	3.96825396825397	9.92063492063492	1.98412698412698	5.15873015873016	0	0	1.19047619047619	0	0	0	0.396825396825397	0	0	0	0	0	34.9206349206349	0	0.793650793650794	0	0	0	3.17460317460317	0	0	0	0	0	0	0	0	1.58730158730159	4.76190476190476	15.8730158730159	0	0	0.396825396825397	0	0.793650793650794	6.34920634920635	0	0	1.58730158730159	0	2.77777777777778	0	0	0	1.19047619047619	0	1.58730158730159
3327	4319	"Olbramovice"	48.988224	16.392582	130	"AWI"	130	1159	2182	1690	0	0	3.2051282051282	6.1965811965812	2.56410256410256	6.1965811965812	0	0	0.641025641025641	0	4.05982905982906	0	0	0	0	0	0	0.427350427350427	26.7094017094017	0	0.641025641025641	0	0.427350427350427	0	1.4957264957265	0	0	0	0	0	0	0	0.213675213675214	0.854700854700855	5.98290598290598	4.27350427350427	0	30.7692307692308	0	0	0	3.41880341880342	0	0	0.213675213675214	0	0.427350427350427	0	0	0.213675213675214	0.641025641025641	0.213675213675214	0.213675213675214
3327	4319	"Olbramovice"	48.988224	16.392582	140	"AWI"	140	1302	2313	1822	1.97628458498024	0	1.38339920948617	1.38339920948617	0	1.97628458498024	0.197628458498024	0	0.988142292490119	0	1.77865612648221	0	0.197628458498024	0	0	0	0	0.592885375494071	29.2490118577075	0	1.77865612648221	0	1.77865612648221	0	2.17391304347826	0	0.197628458498024	0	0	0.197628458498024	0	0	0.395256916996047	0.395256916996047	5.33596837944664	9.88142292490119	0.592885375494071	30.8300395256917	0	0	0	5.33596837944664	0	0	0.790513833992095	0	0.395256916996047	0	0	0	0.197628458498024	0	0
