"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
14521	22747	"Umbrail"	46.54389	10.43472	0	"AWI"	0	-102	58	-18	0	0	0	0	0	0	10	0	0	1	0	4	4	0	0	1	159	0	0	0	0	1	0	0	5	0	2	0	20	82	0	0	0	0	1	3	1	0	0	1	0	0	0	0	0	0	1	0
14521	22747	"Umbrail"	46.54389	10.43472	10	"AWI"	10	14	457	179	2	0	0	0	0	0	3	0	1	4	1	7	5	0	0	0	120	0	1	0	0	0	0	0	3	0	0	0	22	38	0	101	1	0	1	2	0	0	0	1	0	2	0	2	0	0	3	0
14521	22747	"Umbrail"	46.54389	10.43472	20	"AWI"	20	160	727	395	1	0	0	0	0	0	10	0	0	0	0	0	4	0	0	0	98	0	0	0	0	0	0	0	1	0	0	0	21	69	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0
14521	22747	"Umbrail"	46.54389	10.43472	30	"AWI"	30	347	976	607	3	0	9	9	0	0	12	0	1	0	0	0	5	0	0	0	212	0	0	0	0	0	0	0	1	0	0	0	17	0	0	0	1	0	3	0	1	0	2	1	0	0	0	2	0	0	0	1
14521	22747	"Umbrail"	46.54389	10.43472	40	"AWI"	40	574	1210	816	3	0	5	3	0	0	16	0	2	0	0	0	6	2	0	2	329	0	0	0	0	0	0	0	0	0	0	0	31	141	0	0	1	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0
14521	22747	"Umbrail"	46.54389	10.43472	50	"AWI"	50	786	1661	1147	1	0	5	2	0	0	9	0	0	0	0	1	2	1	0	0	260	0	0	0	0	0	0	0	0	0	0	0	46	172	0	0	1	0	3	3	0	0	0	2	0	0	0	0	0	0	0	0
14521	22747	"Umbrail"	46.54389	10.43472	60	"AWI"	60	1036	2062	1499	1	0	35	3	3	1	12	0	4	1	0	2	3	2	0	0	341	0	0	0	1	0	0	0	1	0	1	0	34	165	0	0	0	0	6	5	0	0	0	5	0	1	0	0	0	0	1	0
14521	22747	"Umbrail"	46.54389	10.43472	70	"AWI"	70	1327	2438	1843	3	0	13	2	0	0	9	0	0	0	1	0	1	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	32	170	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0
14521	22747	"Umbrail"	46.54389	10.43472	80	"AWI"	80	1642	2773	2198	1	0	44	3	0	0	9	0	2	0	0	0	2	4	0	1	463	0	0	0	1	0	0	1	0	0	1	0	48	165	0	0	0	0	8	2	0	0	1	4	0	0	0	2	0	0	0	0
14521	22747	"Umbrail"	46.54389	10.43472	90	"AWI"	90	1974	3074	2546	4	0	45	0	0	0	7	0	0	1	1	2	2	2	0	0	395	0	0	0	1	0	0	0	0	0	0	0	42	132	0	0	0	0	7	4	0	0	1	2	0	0	0	0	0	0	0	0
