"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Gentianaceae"	"Hypericaceae"	"Indeterminable"	"Juniperus"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
13483	20298	"Lochan An Druim"	58.47126	-4.685728	1056	"AWI"	1056	6602	8684	7800	6	0	2	0	0	328	0	0	0	72	0	6	0	0	0	9	3	0	0	0	8	0	0	7	1	6	0	0	0	0	16	0	0	0	0	0	3	0
13483	20298	"Lochan An Druim"	58.47126	-4.685728	1060	"AWI"	1060	6944	8802	8003	2	0	0	0	0	300	0	0	0	128	0	10	0	0	0	38	0	0	0	0	18	4	0	12	9	4	0	0	0	0	15	0	0	1	0	0	3	0
13483	20298	"Lochan An Druim"	58.47126	-4.685728	1064	"AWI"	1064	7172	8919	8188	0	0	0	0	0	335	0	0	0	146	0	3	0	1	0	83	2	0	0	0	5	0	0	12	1	6	0	0	0	0	14	0	0	0	0	0	4	0
13483	20298	"Lochan An Druim"	58.47126	-4.685728	1068	"AWI"	1068	7387	9032	8379	0	0	0	0	0	380	0	0	0	207	0	6	7	0	0	37	0	0	0	0	5	2	0	9	1	5	1	0	0	0	4	0	0	2	0	0	2	0
13483	20298	"Lochan An Druim"	58.47126	-4.685728	1072	"AWI"	1072	7618	9168	8568	0	0	1	0	0	440	0	0	0	286	0	5	13	0	0	46	1	0	0	0	5	2	0	7	7	11	0	0	0	0	17	0	0	0	0	0	4	0
13483	20298	"Lochan An Druim"	58.47126	-4.685728	1076	"AWI"	1076	7875	9306	8759	0	0	0	0	0	330	3	0	0	228	0	8	0	0	0	40	5	0	0	0	8	0	0	6	4	9	0	0	0	0	26	0	0	1	0	0	2	0
13483	20298	"Lochan An Druim"	58.47126	-4.685728	1080	"AWI"	1080	8198	9383	8958	0	0	1	0	0	759	0	0	0	600	0	8	14	0	0	47	0	0	0	0	9	5	0	35	5	6	0	0	0	1	54	0	0	0	0	0	0	0
13483	20298	"Lochan An Druim"	58.47126	-4.685728	1084	"AWI"	1084	8536	9477	9141	0	0	0	0	0	227	0	0	0	47	0	0	0	0	0	29	5	0	0	0	1	0	0	18	0	0	0	0	0	0	4	0	0	0	0	0	1	0
13483	20298	"Lochan An Druim"	58.47126	-4.685728	1088	"AWI"	1088	8864	9571	9317	0	0	0	0	0	698	0	0	0	870	0	10	12	0	0	19	4	0	0	0	4	3	0	41	6	8	0	0	0	1	43	0	0	0	0	0	0	0
13483	20298	"Lochan An Druim"	58.47126	-4.685728	1092	"AWI"	1092	9214	9661	9493	0	0	0	0	0	274	0	0	0	182	0	8	0	0	0	32	2	0	0	0	3	0	0	22	0	3	0	0	0	1	27	0	0	2	0	0	3	0
13483	20298	"Lochan An Druim"	58.47126	-4.685728	1094	"AWI"	1094	9474	9714	9578	0	0	0	0	0	351	0	0	0	236	4	5	0	0	0	49	0	0	0	0	1	1	0	8	0	4	0	0	0	0	18	0	0	0	0	0	1	0
13483	20298	"Lochan An Druim"	58.47126	-4.685728	1096	"AWI"	1096	9567	9878	9675	0	0	0	0	0	440	0	0	0	337	0	3	11	0	0	32	2	0	0	0	6	3	0	27	6	2	0	0	0	0	30	0	0	2	0	0	1	0
13483	20298	"Lochan An Druim"	58.47126	-4.685728	1100	"AWI"	1100	9665	10469	9928	0	0	0	0	0	0	0	0	1	180	14	9	0	0	0	11	1	0	0	0	2	2	0	23	0	3	0	0	0	1	26	0	0	2	0	0	1	0
13483	20298	"Lochan An Druim"	58.47126	-4.685728	1104	"AWI"	1104	9805	10841	10210	0	0	0	0	0	683	0	0	1	73	0	8	15	0	0	13	0	0	0	0	7	0	0	45	6	0	0	0	0	8	47	0	0	2	0	0	0	0
13483	20298	"Lochan An Druim"	58.47126	-4.685728	1108	"AWI"	1108	9957	11176	10497	0	1	0	0	0	488	0	0	0	33	0	5	0	0	0	46	0	0	0	0	6	0	0	33	1	1	0	0	0	0	21	0	0	2	0	0	2	0
13483	20298	"Lochan An Druim"	58.47126	-4.685728	1112	"AWI"	1112	10158	11435	10788	0	0	0	0	0	565	0	0	0	37	0	3	0	0	0	15	8	0	0	0	5	2	0	47	0	0	0	0	0	3	46	0	0	0	2	0	0	0
13483	20298	"Lochan An Druim"	58.47126	-4.685728	1116	"AWI"	1116	10376	11660	11080	0	0	1	0	0	199	0	0	0	5	0	15	0	0	0	13	4	0	1	0	10	1	0	82	0	0	5	0	0	9	11	0	0	0	0	0	1	0
13483	20298	"Lochan An Druim"	58.47126	-4.685728	1120	"AWI"	1120	10733	11796	11378	0	1	0	4	0	0	0	2	0	1	0	44	0	0	0	24	0	0	0	0	5	1	1	58	0	0	1	0	0	23	9	0	0	0	0	0	0	0
13483	20298	"Lochan An Druim"	58.47126	-4.685728	1122	"AWI"	1122	10913	11882	11508	0	4	0	10	0	16	0	24	0	2	0	10	0	0	0	39	0	0	0	0	14	0	11	20	0	0	0	0	1	50	6	0	0	0	0	0	0	0
13483	20298	"Lochan An Druim"	58.47126	-4.685728	1126	"AWI"	1126	11267	12009	11772	0	3	0	12	0	24	5	17	0	2	2	18	0	0	0	47	2	0	0	0	9	1	1	24	0	0	2	0	1	20	7	0	0	0	0	0	0	0
13483	20298	"Lochan An Druim"	58.47126	-4.685728	1128	"AWI"	1128	11466	12033	11833	0	1	0	8	0	0	2	23	1	1	0	15	0	0	0	41	0	0	0	0	11	0	1	23	0	0	1	0	0	14	12	0	0	0	0	0	0	0
