"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Geraniaceae"	"Indeterminable"	"Juncaceae"	"Juniperus"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
25998	44941	"Myrvatnet"	68.660076	16.380466	481	"AWI"	481	-135	32	-48	6	0	0	0	0	239	0	0	0	0	0	0	0	66	0	0	0	0	3	0	0	0	0	0	2	40	0	0	0	0	0	0	0	0	0	0	12	0	0	1	0	0	0	1
25998	44941	"Myrvatnet"	68.660076	16.380466	485	"AWI"	485	-65	313	79	9	0	0	0	0	262	1	0	0	0	1	0	0	41	0	0	0	1	2	0	0	0	0	0	2	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
25998	44941	"Myrvatnet"	68.660076	16.380466	489	"AWI"	489	-38	664	206	4	1	0	3	0	288	0	0	0	0	0	0	0	47	16	0	0	0	6	0	0	0	0	0	1	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2
25998	44941	"Myrvatnet"	68.660076	16.380466	493	"AWI"	493	42	882	337	8	0	0	3	0	0	0	0	0	0	0	1	0	41	0	0	0	0	3	1	0	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25998	44941	"Myrvatnet"	68.660076	16.380466	500	"AWI"	500	151	1141	605	7	0	0	1	0	0	0	0	0	0	0	0	0	20	0	0	0	1	1	0	0	0	0	0	2	18	0	0	19	0	1	0	0	0	0	0	0	0	0	2	1	0	0	2
25998	44941	"Myrvatnet"	68.660076	16.380466	508	"AWI"	508	412	1338	908	6	0	0	1	0	0	0	0	0	0	1	0	0	25	0	0	0	1	3	0	0	0	0	0	3	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25998	44941	"Myrvatnet"	68.660076	16.380466	514	"AWI"	514	699	1479	1128	10	0	0	1	0	0	0	0	0	0	1	1	0	23	0	0	0	0	6	0	0	0	0	0	3	33	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
25998	44941	"Myrvatnet"	68.660076	16.380466	522	"AWI"	522	1131	1647	1409	3	0	0	1	0	272	0	0	0	0	1	0	0	17	0	0	0	0	1	0	0	0	0	0	1	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
25998	44941	"Myrvatnet"	68.660076	16.380466	530	"AWI"	530	1406	1929	1619	7	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	3	0	0	0	0	0	1	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25998	44941	"Myrvatnet"	68.660076	16.380466	538	"AWI"	538	1523	2285	1819	6	0	0	1	0	0	0	0	0	0	0	0	0	20	0	0	0	1	1	0	0	0	0	0	1	22	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
25998	44941	"Myrvatnet"	68.660076	16.380466	546	"AWI"	546	1636	2604	2009	13	0	0	1	0	0	0	0	0	1	1	0	0	24	0	0	0	0	1	0	0	0	0	0	2	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
25998	44941	"Myrvatnet"	68.660076	16.380466	554	"AWI"	554	1753	2898	2209	10	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	4	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
25998	44941	"Myrvatnet"	68.660076	16.380466	558	"AWI"	558	1821	2999	2316	8	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	1	0	0	0	0	0	2	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
25998	44941	"Myrvatnet"	68.660076	16.380466	562	"AWI"	562	1881	3147	2414	7	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	3	0	0	0	0	0	2	50	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25998	44941	"Myrvatnet"	68.660076	16.380466	566	"AWI"	566	1966	3232	2512	14	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	4	0	0	0	0	0	0	50	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	0
25998	44941	"Myrvatnet"	68.660076	16.380466	570	"AWI"	570	2018	3335	2612	7	0	0	1	0	270	0	0	0	0	0	0	0	14	0	0	0	0	1	0	0	0	0	0	1	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
25998	44941	"Myrvatnet"	68.660076	16.380466	574	"AWI"	574	2111	3430	2708	16	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	1	0	2	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
25998	44941	"Myrvatnet"	68.660076	16.380466	578	"AWI"	578	2200	3529	2819	30	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	2	3	0	0	0	0	0	2	42	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
25998	44941	"Myrvatnet"	68.660076	16.380466	586	"AWI"	586	2375	3721	3015	13	0	0	1	0	0	0	0	0	0	1	0	0	22	0	0	0	0	1	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25998	44941	"Myrvatnet"	68.660076	16.380466	594	"AWI"	594	2529	3912	3216	15	0	0	0	0	0	0	0	0	0	0	1	0	26	0	0	0	0	3	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25998	44941	"Myrvatnet"	68.660076	16.380466	602	"AWI"	602	2707	4096	3407	10	0	0	1	0	0	0	0	0	0	0	0	0	16	0	0	0	0	3	0	0	0	0	0	0	36	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
25998	44941	"Myrvatnet"	68.660076	16.380466	610	"AWI"	610	2914	4249	3621	11	0	0	0	0	0	0	0	0	0	0	1	0	16	0	0	0	0	3	0	0	0	0	0	1	50	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4
25998	44941	"Myrvatnet"	68.660076	16.380466	618	"AWI"	618	3149	4394	3824	11	1	0	0	0	0	0	0	0	0	0	1	0	14	0	0	0	0	1	0	0	0	0	1	1	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
