"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Lamiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
15682	24039	"Wolfslohe"	49.9075	12.04028	70	"AWI"	70	5120	6207	5683	1	2	125	1	1	1	5	0	381	1	0	0	1	0	679	72	0	2	0	5	22	0	0	1	137	0	350	144	0	0	0	0	5	106	0	0	0	0	0	5	0	0	0	0	0	187	93	0	0
15682	24039	"Wolfslohe"	49.9075	12.04028	65	"AWI"	65	4848	5999	5440	1	1	143	0	0	1	2	0	665	0	0	0	0	0	441	34	0	1	0	11	21	0	0	0	31	1	493	92	0	0	0	0	39	137	8	0	0	0	0	2	0	0	0	0	0	76	65	0	0
15682	24039	"Wolfslohe"	49.9075	12.04028	0	"AWI"	0	-112	55	-35	24	0	67	4	1	0	2	0	171	4	0	0	0	1	132	13	0	0	0	66	6	0	0	0	18	9	180	118	34	318	0	0	4	32	0	1	0	1	19	4	0	0	2	0	0	11	10	0	0
15682	24039	"Wolfslohe"	49.9075	12.04028	5	"AWI"	5	21	1291	361	10	2	44	6	2	0	4	11	77	8	4	0	1	0	27	79	0	3	0	14	0	0	0	0	0	7	165	250	23	0	0	1	0	21	0	1	0	2	20	0	0	0	0	0	0	0	2	1	0
15682	24039	"Wolfslohe"	49.9075	12.04028	10	"AWI"	10	228	1996	871	21	0	17	0	0	0	2	0	89	1	0	0	2	0	35	24	0	0	0	61	1	1	0	2	2	6	215	166	0	0	0	0	0	24	0	0	0	1	2	0	1	0	1	0	0	0	5	1	0
15682	24039	"Wolfslohe"	49.9075	12.04028	15	"AWI"	15	523	2564	1397	93	0	65	0	0	0	2	0	138	0	0	0	0	0	61	5	0	0	0	100	2	0	0	0	7	12	150	78	6	0	0	0	0	21	0	0	0	0	2	0	0	0	0	0	0	9	3	0	0
15682	24039	"Wolfslohe"	49.9075	12.04028	20	"AWI"	20	866	3095	1928	129	1	83	1	2	0	3	0	231	0	0	0	0	0	39	39	0	0	0	82	0	0	1	0	15	5	100	131	5	0	0	0	0	39	0	0	0	0	7	3	0	0	0	0	0	2	1	1	0
15682	24039	"Wolfslohe"	49.9075	12.04028	25	"AWI"	25	1313	3545	2451	92	0	82	0	0	0	5	0	205	0	0	0	0	0	44	56	9	0	0	115	1	0	0	0	5	8	70	127	0	0	0	0	0	22	0	0	0	0	1	4	0	0	0	0	0	6	4	0	0
15682	24039	"Wolfslohe"	49.9075	12.04028	30	"AWI"	30	1843	3960	2988	100	0	59	0	0	0	1	0	144	0	0	0	0	0	68	5	0	0	0	112	2	0	0	2	32	23	190	116	7	81	0	0	1	32	0	0	0	0	3	5	0	0	0	0	0	3	2	2	0
15682	24039	"Wolfslohe"	49.9075	12.04028	35	"AWI"	35	2405	4293	3514	70	1	70	0	1	0	6	0	210	1	0	0	0	0	34	24	0	0	0	135	0	0	0	0	37	10	100	118	3	0	0	0	0	39	0	0	0	0	0	7	0	0	0	0	0	0	2	1	1
15682	24039	"Wolfslohe"	49.9075	12.04028	40	"AWI"	40	3049	4598	4024	45	1	83	0	1	0	1	0	250	0	0	0	1	0	59	50	0	1	0	110	4	0	0	0	19	8	66	130	0	0	0	0	0	32	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0
15682	24039	"Wolfslohe"	49.9075	12.04028	45	"AWI"	45	3964	4811	4478	38	4	66	0	0	0	1	0	307	0	0	0	0	0	106	15	0	0	0	62	3	0	0	0	5	2	250	28	3	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	11	18	0	0
15682	24039	"Wolfslohe"	49.9075	12.04028	50	"AWI"	50	4179	5216	4715	14	1	51	0	3	0	0	0	32	0	0	0	0	0	115	48	0	0	0	27	12	0	0	0	1	0	300	30	0	0	0	0	0	55	0	0	0	0	1	5	0	0	0	0	0	17	10	1	0
15682	24039	"Wolfslohe"	49.9075	12.04028	55	"AWI"	55	4405	5538	4956	6	1	52	0	3	0	1	0	218	0	0	0	0	0	91	6	0	0	0	26	14	0	0	0	20	0	300	44	0	0	0	0	1	39	0	1	0	0	0	1	0	0	0	1	0	9	13	0	0
15682	24039	"Wolfslohe"	49.9075	12.04028	60	"AWI"	60	4624	5775	5195	4	0	71	0	0	2	2	0	159	0	0	0	0	0	140	44	0	0	0	29	18	0	0	0	15	1	300	41	0	0	0	0	7	61	0	2	0	0	0	10	0	0	2	0	0	13	16	0	0
15682	24039	"Wolfslohe"	49.9075	12.04028	62.5	"AWI"	62.5	4757	5863	5315	0	3	101	0	1	0	0	0	138	0	0	0	0	0	308	8	0	1	0	8	4	0	0	0	14	0	188	74	0	0	0	0	0	76	0	1	0	0	0	0	0	0	0	0	1	40	59	0	0
15682	24039	"Wolfslohe"	49.9075	12.04028	67.5	"AWI"	67.5	5004.5	6082	5563.5	0	2	68	1	3	0	4	0	271	0	0	0	1	0	330	4	0	0	0	1	14	0	0	1	20	0	160	75	0	0	0	0	5	64	0	3	0	1	0	4	0	0	0	0	0	59	63	0	0
15682	24039	"Wolfslohe"	49.9075	12.04028	75	"AWI"	75	5400	6398	5930	1	2	75	0	1	1	1	0	253	0	0	0	0	0	198	17	0	0	0	14	10	0	0	1	15	0	270	47	0	0	0	0	33	71	7	4	0	1	0	7	0	0	0	0	2	23	17	0	0
15682	24039	"Wolfslohe"	49.9075	12.04028	80	"AWI"	80	5692	6621	6166	0	0	50	0	0	0	2	0	89	0	0	0	0	0	140	18	0	0	0	7	15	0	0	0	48	0	233	55	0	0	0	0	5	34	0	0	0	0	0	18	0	0	0	0	0	21	29	0	0
