"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Loranthaceae"	"Lythraceae"	"Olea"	"Oleaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Paliurus"	"Papaveraceae"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Solanaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Viburnum"	"Vitaceae"
765	784	"Edessa"	40.81806	21.9525	5	"AWI"	5	-96	250	26	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	59	0	0	0	0	3	129	0	0	0	0	4	0	0	0	0	3	14	0	1	0	0	3	2	0	0	0	1	0	1	0	54	0	0	8	79	0	0	1	55	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1
765	784	"Edessa"	40.81806	21.9525	20	"AWI"	20	14	843	287	2	1	26	0	0	0	1	0	0	0	1	1	0	1	0	7	0	2	8	0	1	1	0	15	115	0	2	0	0	25	0	0	5	0	8	27	0	0	0	0	1	2	0	0	45	1	0	1	0	47	3	0	7	292	0	0	2	90	8	0	0	0	0	0	8	0	0	1	0	0	0	0	4	0	0	5
765	784	"Edessa"	40.81806	21.9525	30	"AWI"	30	104	1087	463	1	1	6	0	0	0	0	0	0	0	2	0	0	0	1	2	0	1	8	0	0	1	0	5	99	0	1	0	0	4	10	0	1	0	4	18	0	0	0	0	2	1	0	0	0	0	0	0	0	52	2	0	4	160	0	0	0	67	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
765	784	"Edessa"	40.81806	21.9525	50	"AWI"	50	326	1501	821	2	0	13	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	10	0	0	0	0	7	124	0	3	0	0	19	0	0	0	0	0	36	0	0	0	0	0	0	0	0	29	0	0	0	0	63	3	0	7	203	0	0	0	96	6	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	0	2
765	784	"Edessa"	40.81806	21.9525	70	"AWI"	70	582	1895	1186	1	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	32	0	1	0	0	16	0	0	1	0	2	7	0	0	0	0	1	0	0	0	15	0	0	0	0	22	0	0	3	85	0	0	0	49	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
765	784	"Edessa"	40.81806	21.9525	80	"AWI"	80	726	2077	1370	1	0	11	0	0	0	0	0	0	0	1	0	0	0	0	6	0	2	5	0	0	0	0	4	87	0	0	0	0	4	0	0	1	0	4	10	0	1	0	0	1	3	0	0	0	1	0	1	0	35	1	0	5	115	0	0	0	52	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	2
765	784	"Edessa"	40.81806	21.9525	100	"AWI"	100	1032	2451	1744	2	0	23	0	0	2	0	0	0	0	0	0	0	3	0	4	0	1	5	0	0	0	0	6	127	0	0	0	0	22	0	0	1	0	10	17	0	0	0	0	1	1	0	0	47	0	0	1	0	46	4	0	7	213	0	0	0	104	5	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3
765	784	"Edessa"	40.81806	21.9525	120	"AWI"	120	1367	2844	2104	5	0	35	0	0	0	0	0	0	0	0	0	0	2	0	14	0	0	9	0	0	0	0	9	223	0	3	0	0	28	0	0	0	0	9	19	0	0	0	0	1	1	0	2	70	0	1	2	1	100	6	0	12	349	0	0	1	146	0	0	0	0	0	0	7	0	0	0	0	0	0	2	0	1	0	5
765	784	"Edessa"	40.81806	21.9525	140	"AWI"	140	1769	3162	2483	1	0	60	0	0	0	0	0	0	0	6	0	0	0	0	5	0	4	5	0	1	0	0	7	95	0	2	0	0	97	0	0	1	0	12	5	0	0	0	0	1	0	0	1	68	0	0	2	0	50	7	0	11	185	0	0	1	184	5	0	1	0	3	0	5	4	0	1	0	1	1	5	0	0	0	4
765	784	"Edessa"	40.81806	21.9525	160	"AWI"	160	2114	3390	2841	2	2	22	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	7	1	0	0	0	7	42	0	1	0	0	8	5	0	0	0	3	1	0	1	0	0	1	0	0	0	29	0	4	5	0	56	0	0	3	0	0	2	0	140	4	0	0	0	0	0	4	0	0	0	0	2	1	2	0	0	0	4
