"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Geraniaceae"	"Indeterminable"	"Juncaceae"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
26127	45347	"Råtåsj¢en"	62.26667	9.83333	801	"AWI"	801	-56	220	62	0	6	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	37	0	0	0	29	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
26127	45347	"Råtåsj¢en"	62.26667	9.83333	804	"AWI"	804	7	926	365	0	4	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	59	0	0	0	21	0	0	32	0	0	1	0	0	0	8	5	0	1	2	0	0	1	0
26127	45347	"Råtåsj¢en"	62.26667	9.83333	808	"AWI"	808	310	1255	797	0	11	0	0	0	0	175	0	0	0	0	3	0	30	0	0	0	0	1	0	0	78	0	0	0	7	0	0	39	0	0	2	0	0	0	6	0	0	0	11	0	0	3	0
26127	45347	"Råtåsj¢en"	62.26667	9.83333	812	"AWI"	812	763	1504	1177	0	10	1	0	0	0	200	0	0	0	0	2	0	29	0	0	0	0	1	0	0	59	0	0	0	5	0	0	48	0	0	3	0	0	1	0	13	0	0	9	0	0	1	0
26127	45347	"Råtåsj¢en"	62.26667	9.83333	816	"AWI"	816	1262	1660	1500	0	8	0	0	0	0	0	0	0	0	0	1	0	27	0	0	0	0	1	0	0	54	0	0	0	3	0	0	53	0	0	2	0	0	0	0	0	0	0	4	1	0	2	0
26127	45347	"Råtåsj¢en"	62.26667	9.83333	819	"AWI"	819	1455	1839	1634	0	10	0	0	0	0	0	0	0	0	0	2	0	36	0	0	0	0	0	0	0	59	0	0	0	4	0	0	36	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0
26127	45347	"Råtåsj¢en"	62.26667	9.83333	823	"AWI"	823	1544	2074	1778	0	13	2	0	0	0	0	0	0	0	0	1	0	30	0	0	0	0	0	0	0	55	0	0	0	3	0	0	35	0	0	2	0	0	0	5	0	0	0	8	0	0	1	0
26127	45347	"Råtåsj¢en"	62.26667	9.83333	827	"AWI"	827	1640	2237	1906	0	11	0	0	0	0	192	0	0	0	0	1	0	27	0	0	0	0	0	0	0	71	0	0	0	0	0	0	41	0	0	3	0	0	0	0	0	0	1	5	0	1	1	0
26127	45347	"Råtåsj¢en"	62.26667	9.83333	831	"AWI"	831	1730	2395	2040	0	10	0	0	0	0	183	0	0	0	0	1	0	37	0	0	0	0	0	0	0	59	0	0	0	1	0	0	41	0	0	2	0	0	0	0	7	0	0	3	0	0	0	0
26127	45347	"Råtåsj¢en"	62.26667	9.83333	835	"AWI"	835	1825	2559	2173	0	9	0	0	0	0	192	0	0	0	0	0	0	36	0	3	0	0	0	0	1	82	0	0	0	2	0	0	28	0	0	4	0	0	0	0	0	0	0	4	0	0	2	0
