"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Lythraceae"	"Onagraceae"	"Orchidaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
16674	26510	"Schwemm"	47.65811	12.299518	0	"AWI"	0	-135	34	-51	13	0	27	0	2	0	1	0	26	0	2	0	0	0	0	1	1	21	33	0	0	4	0	0	24	0	10	0	1	5	0	0	0	0	0	0	0	144	63	0	0	0	0	0	20	0	1	0	0	9	2	0	0	0	0	14	2	0	6	2	0
16674	26510	"Schwemm"	47.65811	12.299518	10	"AWI"	10	-79	263	45	2	0	20	1	7	0	1	0	20	0	0	0	0	0	0	1	0	32	33	0	0	2	0	0	27	0	11	0	2	6	0	0	0	0	0	0	0	83	92	0	210	0	0	0	16	0	0	0	0	3	2	0	0	0	0	7	1	0	7	12	0
16674	26510	"Schwemm"	47.65811	12.299518	20	"AWI"	20	-20	440	151	0	2	16	0	9	0	1	0	15	0	0	0	0	0	1	1	0	25	29	0	0	8	0	0	17	0	4	0	0	0	0	0	0	0	0	0	0	25	28	0	145	0	0	0	11	0	0	0	1	12	2	0	0	0	1	17	0	0	5	6	0
16674	26510	"Schwemm"	47.65811	12.299518	30	"AWI"	30	35	605	262	6	1	30	0	3	0	1	0	26	0	0	0	0	0	0	0	0	41	42	0	0	36	0	0	30	0	8	0	0	0	0	0	0	0	1	0	0	114	74	0	211	0	0	0	16	0	0	0	1	11	0	0	0	0	0	9	0	0	9	9	0
16674	26510	"Schwemm"	47.65811	12.299518	40	"AWI"	40	97	719	381	1	2	12	0	4	0	0	0	18	0	0	0	0	0	0	0	0	19	18	1	0	0	1	0	8	0	3	0	0	2	0	0	0	0	0	0	0	6	22	0	0	0	0	0	7	0	0	0	0	9	0	0	0	0	0	11	0	0	3	4	0
16674	26510	"Schwemm"	47.65811	12.299518	50	"AWI"	50	183	826	493	15	0	53	1	16	0	3	0	28	0	3	0	0	0	0	3	0	49	114	0	0	21	0	0	65	0	9	0	0	2	0	1	0	0	0	0	7	156	110	0	248	0	0	0	16	0	1	0	0	45	4	0	0	0	1	27	2	3	7	6	0
16674	26510	"Schwemm"	47.65811	12.299518	60	"AWI"	60	276	941	601	8	0	52	1	17	0	0	0	39	0	2	0	4	0	1	1	0	46	115	0	0	0	1	0	68	0	11	0	3	4	0	1	0	0	0	0	0	53	103	0	258	0	7	0	32	0	0	0	2	51	2	0	0	0	0	83	1	1	7	17	0
16674	26510	"Schwemm"	47.65811	12.299518	70	"AWI"	70	355	1047	713	35	1	85	1	12	0	3	0	56	0	0	0	6	0	0	2	0	89	127	0	0	0	0	0	132	0	4	0	6	15	0	0	0	0	0	0	0	128	129	0	237	0	3	0	63	0	0	0	0	43	2	0	0	0	0	32	2	1	3	8	0
16674	26510	"Schwemm"	47.65811	12.299518	80	"AWI"	80	481	1125	824	14	0	44	0	5	0	2	0	14	1	2	1	6	0	0	1	1	73	64	0	0	0	0	0	105	0	1	0	2	17	0	0	0	0	0	0	0	45	52	0	101	0	2	0	41	0	0	0	0	13	3	0	0	0	2	25	0	0	0	1	0
16674	26510	"Schwemm"	47.65811	12.299518	90	"AWI"	90	621	1203	931	69	2	115	0	3	0	6	0	39	0	1	0	3	0	0	1	0	79	81	0	0	54	0	0	380	0	9	0	0	10	0	0	0	0	0	0	13	140	72	0	113	0	0	0	52	0	0	0	1	13	2	0	0	0	1	7	0	5	7	0	0
16674	26510	"Schwemm"	47.65811	12.299518	100	"AWI"	100	725	1287	1036	6	5	148	0	5	0	3	0	63	0	0	0	0	0	0	0	0	107	20	0	0	10	0	0	512	0	28	0	1	1	0	0	0	0	0	0	0	11	19	0	0	0	0	0	52	0	2	0	1	3	0	0	0	0	1	3	0	4	18	5	0
16674	26510	"Schwemm"	47.65811	12.299518	110	"AWI"	110	806	1405	1125	52	4	153	1	1	0	2	0	89	0	0	0	0	0	0	0	0	91	32	0	0	11	0	0	513	0	29	0	0	2	0	0	0	0	0	0	0	118	43	0	0	0	0	0	49	0	0	0	0	1	2	0	0	0	0	4	0	11	23	5	0
16674	26510	"Schwemm"	47.65811	12.299518	120	"AWI"	120	870	1528	1207	33	3	155	0	0	0	2	0	121	0	1	0	0	0	0	0	0	112	16	1	0	14	0	0	529	0	26	0	0	0	0	0	0	0	0	0	0	73	35	0	0	0	0	0	55	0	0	0	1	0	3	0	0	0	0	1	2	2	19	2	0
16674	26510	"Schwemm"	47.65811	12.299518	130	"AWI"	130	931	1653	1285	63	5	129	0	1	0	1	0	115	0	2	1	0	0	0	0	0	59	33	0	0	11	0	0	571	0	12	0	0	0	0	0	0	0	0	0	0	129	34	0	0	0	0	0	56	0	0	0	0	0	2	0	0	0	0	3	0	2	24	1	0
16674	26510	"Schwemm"	47.65811	12.299518	140	"AWI"	140	994	1784	1367	68	2	113	0	1	0	2	0	110	0	0	0	0	0	0	0	0	54	35	0	0	0	0	0	476	0	25	0	0	0	0	1	0	0	0	0	0	115	34	0	0	0	0	0	48	0	0	0	1	0	0	0	0	0	0	1	0	1	27	1	0
16674	26510	"Schwemm"	47.65811	12.299518	150	"AWI"	150	1069	1878	1451	38	2	123	1	4	0	2	0	89	0	0	0	2	0	0	1	0	60	19	0	0	7	0	0	533	0	16	0	0	0	0	0	0	0	0	0	0	67	17	0	0	0	0	0	38	0	0	0	0	1	1	0	0	0	0	2	0	1	21	2	0
16674	26510	"Schwemm"	47.65811	12.299518	160	"AWI"	160	1138	1981	1532	76	1	99	0	1	0	2	0	71	0	1	0	0	0	0	0	0	77	14	0	0	0	0	0	430	0	12	0	0	0	0	0	0	0	0	0	26	123	30	0	0	0	0	0	48	0	0	0	0	0	1	0	0	0	0	1	0	2	23	4	0
16674	26510	"Schwemm"	47.65811	12.299518	170	"AWI"	170	1207	2097	1614	159	1	152	0	1	0	2	0	59	0	1	0	0	0	0	0	0	81	25	0	0	2	0	0	449	0	21	0	0	0	0	0	0	0	0	0	0	147	41	0	0	0	0	0	41	0	2	0	0	2	0	0	0	0	0	0	0	1	65	4	0
16674	26510	"Schwemm"	47.65811	12.299518	180	"AWI"	180	1275	2195	1696	207	1	176	0	1	0	2	0	51	0	0	0	0	0	0	0	0	91	20	1	0	11	0	0	452	0	7	0	0	1	0	1	0	0	0	0	0	120	49	0	0	0	0	0	43	0	0	0	0	1	0	0	0	0	0	1	0	2	25	2	0
16674	26510	"Schwemm"	47.65811	12.299518	190	"AWI"	190	1349	2280	1777	82	1	175	0	3	0	3	0	23	0	0	1	0	0	0	0	0	103	18	0	0	45	0	0	468	12	7	0	0	1	0	0	0	0	0	0	0	70	38	0	0	0	0	0	34	0	1	0	1	0	0	0	0	0	0	0	0	3	9	3	0
16674	26510	"Schwemm"	47.65811	12.299518	200	"AWI"	200	1419	2376	1860	100	0	130	1	1	0	4	0	26	0	0	0	0	0	1	0	0	81	26	0	0	12	0	0	353	9	10	0	0	1	0	0	0	2	0	0	0	87	144	0	0	0	0	0	27	0	0	0	0	2	1	0	0	0	1	0	0	1	9	0	0
16674	26510	"Schwemm"	47.65811	12.299518	210	"AWI"	210	1481	2466	1940	93	0	169	0	1	0	4	0	46	0	0	0	0	0	0	0	0	115	24	0	0	19	0	0	479	0	6	0	0	0	0	0	0	0	0	0	0	140	275	0	0	0	0	0	36	0	0	0	2	2	0	0	0	0	0	0	0	2	23	1	0
16674	26510	"Schwemm"	47.65811	12.299518	220	"AWI"	220	1565	2558	2025	125	2	152	1	0	0	1	0	57	0	0	0	0	0	0	0	0	58	17	0	0	23	0	0	324	0	5	1	0	0	0	0	0	0	0	0	0	105	166	0	0	0	0	0	29	0	0	0	1	0	0	0	0	1	0	0	0	5	11	2	0
16674	26510	"Schwemm"	47.65811	12.299518	230	"AWI"	230	1636	2648	2106	107	3	161	0	1	0	2	0	65	0	0	1	2	0	0	0	0	76	29	0	0	16	0	0	396	1	19	0	0	0	0	1	0	0	0	0	0	109	64	0	0	0	0	0	33	0	0	0	2	1	1	0	0	0	0	1	0	2	15	5	0
16674	26510	"Schwemm"	47.65811	12.299518	240	"AWI"	240	1705	2740	2184	81	2	140	0	0	0	2	0	56	0	0	0	0	0	0	0	0	110	10	0	1	26	0	0	418	3	10	0	0	0	0	0	0	0	0	0	0	112	39	0	0	0	0	0	31	0	0	0	1	3	0	0	0	0	0	0	0	1	2	3	0
16674	26510	"Schwemm"	47.65811	12.299518	250	"AWI"	250	1781	2818	2266	18	1	276	2	4	0	7	0	91	0	0	0	1	0	2	0	0	107	7	0	0	31	0	0	479	0	7	0	0	0	0	0	0	0	0	0	0	18	3	0	0	0	0	0	36	0	0	0	0	6	0	0	0	0	0	0	0	3	4	3	0
16674	26510	"Schwemm"	47.65811	12.299518	260	"AWI"	260	1858	2902	2347	116	0	253	0	0	0	6	0	26	0	0	0	0	0	0	0	0	69	15	0	0	13	0	0	520	0	7	0	0	0	0	0	0	0	0	0	0	110	20	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	3	8	1	0
