"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Lythraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
3344	4340	"Pelléautier"	44.52222	6.18333	0	"AWI"	0	-109	54	-24	0.677966101694915	0	1.35593220338983	0	0.338983050847458	0	1.35593220338983	0	0.677966101694915	0	0	0	0	0	0	0	0	0	0	0.677966101694915	0	46.7796610169492	0	0	0	0	0	0	0	0	1.35593220338983	0	0	0	0	0	0	0	0	0	31.864406779661	0	0.677966101694915	10.1694915254237	0	3.38983050847458	0	0	0	0	0	0	0.338983050847458	0	0	0	0	0	0	0	0.338983050847458
3344	4340	"Pelléautier"	44.52222	6.18333	10	"AWI"	10	-54	281	68	1.3986013986014	0	1.3986013986014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34965034965035	36.3636363636364	0	0	0	0	0	0	0.34965034965035	0	3.4965034965035	0	0	0	0.34965034965035	0	0	0	0.34965034965035	0	30.0699300699301	0	0.699300699300699	22.027972027972	0.699300699300699	0.34965034965035	0	0	0	0	1.3986013986014	0	0.699300699300699	0	0	0	0	0	0	0	0
3344	4340	"Pelléautier"	44.52222	6.18333	20	"AWI"	20	-30	575	156	1.23076923076923	0	0.615384615384615	2.46153846153846	1.23076923076923	0	1.23076923076923	0	0.615384615384615	0	1.53846153846154	0	0	0.615384615384615	0	0	0	0	0	0.615384615384615	0.615384615384615	39.3846153846154	0	0.307692307692308	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0.615384615384615	23.3846153846154	0	2.46153846153846	10.7692307692308	1.23076923076923	1.23076923076923	0	0	0	0	1.23076923076923	0	0	0	0.615384615384615	0	0	0	0	0	0
3344	4340	"Pelléautier"	44.52222	6.18333	30	"AWI"	30	40	712	266	2.05479452054794	0	0.684931506849315	0.684931506849315	0.684931506849315	0	0.684931506849315	0	0	0	0.342465753424658	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	1.36986301369863	0	0	4.79452054794521	0.342465753424658	0	0	0	0	0	0	0	0.342465753424658	28.0821917808219	0	2.05479452054794	0	0	2.73972602739726	0	0	0	0	0	1.36986301369863	1.71232876712329	0	1.71232876712329	0	0.342465753424658	0	0	0	0
3344	4340	"Pelléautier"	44.52222	6.18333	40	"AWI"	40	80	876	376	0	0	0	2.8673835125448	0	0	1.4336917562724	0	0	0	0.716845878136201	0	0	1.4336917562724	0	0	0	0	0	0	0.3584229390681	29.3906810035842	0	0	0	0	0	0.716845878136201	0	0	15.7706093189964	0	0	0	0	0	0	0	0	0	21.505376344086	0	3.584229390681	14.6953405017921	2.1505376344086	3.9426523297491	0	0	0	0	0.716845878136201	0.3584229390681	0	0	0.3584229390681	0	0	0	0	0	0
3344	4340	"Pelléautier"	44.52222	6.18333	50	"AWI"	50	170	1010	480	1.72413793103448	0	1.14942528735632	0.574712643678161	1.72413793103448	0	1.14942528735632	0	0.574712643678161	0	0.862068965517241	0	0	1.14942528735632	0.28735632183908	0	0	0	0	0.574712643678161	0	33.0459770114943	0	0	0	0	0	0	0	0	7.47126436781609	1.4367816091954	0.28735632183908	0	0	0.28735632183908	0	0	0.574712643678161	0	17.2413793103448	0	0	17.2413793103448	1.14942528735632	6.89655172413793	0	0.574712643678161	0	0	0	0.28735632183908	1.14942528735632	0	0.862068965517241	0	0	0	0.28735632183908	1.4367816091954	0
3344	4340	"Pelléautier"	44.52222	6.18333	60	"AWI"	60	241	1136	591	1.40845070422535	0.352112676056338	0.352112676056338	1.05633802816901	0	0	0.704225352112676	0	0	0	1.76056338028169	0	0	0	0	0.352112676056338	0	0	0	1.40845070422535	0	34.1549295774648	0.704225352112676	0	0	0.352112676056338	0	1.40845070422535	0	0	11.2676056338028	0	0	0.352112676056338	0	0	0.352112676056338	0	0	0	16.9014084507042	0	2.8169014084507	13.3802816901408	1.76056338028169	4.22535211267606	0	0	0	0	1.05633802816901	0	1.05633802816901	0	1.76056338028169	0	0	0	0	0.704225352112676	0.352112676056338
3344	4340	"Pelléautier"	44.52222	6.18333	70	"AWI"	70	365	1277	711	2.80612244897959	0	0.510204081632653	1.02040816326531	1.02040816326531	0	0.255102040816327	0	0.255102040816327	0	0.510204081632653	1.02040816326531	0	1.27551020408163	0.255102040816327	0	0	0	0	1.02040816326531	0	37.5	0	0	0	0.510204081632653	0	0.255102040816327	0	0	4.08163265306122	0.76530612244898	0.255102040816327	0.510204081632653	0	0	0	0	0	1.02040816326531	6.88775510204082	0	5.10204081632653	19.8979591836735	1.78571428571429	6.37755102040816	0	1.53061224489796	0	1.02040816326531	0.76530612244898	0.510204081632653	0	0	0.510204081632653	0.255102040816327	0	0	0	0.510204081632653	0
3344	4340	"Pelléautier"	44.52222	6.18333	80	"AWI"	80	501	1442	862	5.61797752808989	0.374531835205993	0.936329588014981	0	0	0	0	0	0	0	0.187265917602996	0.187265917602996	0	0.187265917602996	0	0.749063670411985	0	0	0	0.749063670411985	0	28.0898876404494	0	0	0	0	0	1.31086142322097	0	0	0.561797752808989	0.374531835205993	0	0	0	0	0	0	0	0.374531835205993	43.0711610486891	0	1.87265917602996	4.11985018726592	0	10.6741573033708	0	0	0	0	0.187265917602996	0	0	0	0.187265917602996	0	0	0	0	0	0.187265917602996
3344	4340	"Pelléautier"	44.52222	6.18333	90	"AWI"	90	600	1709	1023	6.36942675159236	0.424628450106157	6.36942675159236	0	0	0	1.06157112526539	0	0.849256900212314	0	0	0	0	0.636942675159236	0	0.424628450106157	0	0	0	1.06157112526539	0	42.4628450106157	0	0	0	0	0	2.54777070063694	0.212314225053079	0	0	0	0	0	0	0	0	0	0	0.212314225053079	14.2250530785563	0	1.27388535031847	3.60934182590234	1.69851380042463	15.4989384288747	0.212314225053079	0.212314225053079	0	0	0.212314225053079	0	0	0	0.212314225053079	0	0	0	0.212314225053079	0	0
3344	4340	"Pelléautier"	44.52222	6.18333	100	"AWI"	100	715	2067	1265	6.56779661016949	0	7.6271186440678	0	0	0	0.847457627118644	0	1.48305084745763	0	0.211864406779661	0	0	0.211864406779661	0	0.211864406779661	0	0	0	1.48305084745763	0.423728813559322	43.8559322033898	0	0	0	0	0	2.75423728813559	0.211864406779661	0	0.211864406779661	0	0.211864406779661	0	0	0	0	0	0	1.27118644067797	11.4406779661017	0	1.27118644067797	5.93220338983051	0	12.5	0	0.423728813559322	0	0	0.635593220338983	0	0	0	0	0	0	0	0.211864406779661	0	0
3344	4340	"Pelléautier"	44.52222	6.18333	110	"AWI"	110	787	2616	1477	17.2316384180791	0	6.49717514124294	0	0.564971751412429	0	0.282485875706215	0	1.9774011299435	0	0	0	0	0	0	1.12994350282486	0	0	0	2.54237288135593	0	23.1638418079096	0	0	0	0	0	4.51977401129944	0	0	0	0	0	0	0	0	0	0	0	0.282485875706215	20.9039548022599	0	2.25988700564972	3.67231638418079	0.282485875706215	12.4293785310734	0	1.12994350282486	0	0	0.282485875706215	0	0	0.282485875706215	0.564971751412429	0	0	0	0	0	0
3344	4340	"Pelléautier"	44.52222	6.18333	120	"AWI"	120	984	2833	1738	25.4355400696864	0.348432055749129	1.74216027874564	0	0	0	0	0	0.348432055749129	0.348432055749129	0	0	0	0	0	1.39372822299652	0	0	0	0.696864111498258	0	23.3449477351916	0	0	0	0	0	2.09059233449477	0	0	0	0	0	0.348432055749129	0	0	0	0	0	0.696864111498258	31.7073170731707	0	0.348432055749129	0	0	10.1045296167247	0	0	0	0	0	0	0.348432055749129	0	0.348432055749129	0.348432055749129	0	0	0	0	0
3344	4340	"Pelléautier"	44.52222	6.18333	130	"AWI"	130	1102	3207	1984	18.8405797101449	0.966183574879227	9.66183574879227	0	0.966183574879227	0	0.483091787439614	0	0.483091787439614	0	0	0	0	0	0	0	0	0	0.483091787439614	6.28019323671498	0	9.17874396135266	0	0	0	0	0	0.966183574879227	0	0	0	0	0	0.483091787439614	0	0	0	0	0	0	37.6811594202899	0	0	0	0	11.5942028985507	0	0	0	0	0.483091787439614	0	0.483091787439614	0	0.483091787439614	0	0	0.483091787439614	0	0	0
3344	4340	"Pelléautier"	44.52222	6.18333	140	"AWI"	140	1292	3450	2238	31.3513513513514	0	4.86486486486486	0	0	0	1.08108108108108	0	1.08108108108108	0	0	0	0	0	0	0.540540540540541	0	0	0	3.78378378378378	0	7.02702702702703	0	0	0	0	0	0	0	0	0	0	0	0.540540540540541	0	0	0.540540540540541	0	0	0.540540540540541	40	0	0.540540540540541	0	0	8.10810810810811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
