"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Lythraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Vitaceae"
15945	24570	"Riabelais"	47.4025	0.64833	5	"AWI"	5	-61	357	75	0	41	4	4	0	6	0	2	1	0	0	0	0	15	83	0	0	0	11	0	0	0	0	0	0	27	3	0	0	0	12	0	1	0	1	3	1	0	0	1	1
15945	24570	"Riabelais"	47.4025	0.64833	10	"AWI"	10	8	562	218	0	38	2	2	0	0	0	1	0	1	3	1	0	13	27	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	14	1	1	0	4	0	0	0	1	0	0
15945	24570	"Riabelais"	47.4025	0.64833	15	"AWI"	15	91	753	367	0	47	6	2	1	0	44	1	0	0	0	0	1	15	73	0	3	1	0	0	0	0	1	0	1	27	4	0	0	0	13	1	0	0	0	1	2	1	2	1	1
15945	24570	"Riabelais"	47.4025	0.64833	20	"AWI"	20	186	926	510	0	71	4	0	0	4	0	2	1	0	0	0	0	32	71	0	2	0	0	0	0	0	0	0	0	33	3	0	0	0	21	0	2	4	1	0	0	0	1	4	0
15945	24570	"Riabelais"	47.4025	0.64833	25	"AWI"	25	294	1083	659	0	35	4	2	0	1	0	1	0	0	0	0	1	10	120	1	0	0	0	1	0	0	1	0	0	30	1	0	0	0	13	0	0	0	1	0	2	0	1	0	0
15945	24570	"Riabelais"	47.4025	0.64833	30	"AWI"	30	416	1232	808	0	52	8	2	1	0	0	1	0	0	0	0	2	16	136	0	0	0	0	0	0	0	0	0	1	13	2	0	0	0	21	2	0	0	0	0	0	4	1	1	0
15945	24570	"Riabelais"	47.4025	0.64833	35	"AWI"	35	551	1365	961	2	88	1	2	1	3	0	0	0	0	1	0	2	40	34	0	1	0	0	0	0	0	1	0	0	9	3	0	0	4	17	0	0	0	0	0	0	0	1	2	1
15945	24570	"Riabelais"	47.4025	0.64833	40	"AWI"	40	683	1494	1111	0	33	3	2	1	0	0	2	1	0	0	0	1	12	94	1	1	0	1	0	0	1	3	0	0	14	4	0	0	0	7	3	0	0	0	0	4	0	1	1	0
15945	24570	"Riabelais"	47.4025	0.64833	45	"AWI"	45	841	1617	1262	0	30	1	4	0	1	0	0	1	0	0	0	0	11	107	0	0	0	0	0	0	0	1	0	0	9	6	0	0	0	6	2	0	0	0	1	0	0	1	0	1
15945	24570	"Riabelais"	47.4025	0.64833	50	"AWI"	50	997	1719	1405	0	25	3	1	0	0	0	0	2	0	0	0	2	13	133	0	0	0	0	0	0	0	1	0	0	7	4	0	0	0	8	2	0	0	0	0	1	0	1	0	0
15945	24570	"Riabelais"	47.4025	0.64833	55	"AWI"	55	1174	1818	1551	0	36	3	1	1	1	0	1	0	0	0	1	1	43	91	0	0	1	0	0	0	0	1	0	1	5	3	0	0	0	20	0	0	5	0	2	0	0	4	2	0
15945	24570	"Riabelais"	47.4025	0.64833	60	"AWI"	60	1384	1905	1702	0	26	3	1	0	0	0	1	0	0	0	0	0	13	139	0	0	0	0	0	0	1	3	0	0	3	9	0	0	0	7	4	0	0	1	0	1	0	1	0	1
15945	24570	"Riabelais"	47.4025	0.64833	65	"AWI"	65	1639	1989	1835	0	42	1	6	1	1	0	1	0	0	0	0	1	16	135	0	2	0	0	0	0	0	0	0	0	1	4	0	0	1	6	0	0	0	0	0	0	0	4	0	0
15945	24570	"Riabelais"	47.4025	0.64833	70	"AWI"	70	1796	2138	1962	0	21	3	3	1	1	0	1	1	0	0	0	2	12	139	0	1	0	0	0	0	0	1	0	0	8	10	0	0	0	13	2	1	0	0	1	0	0	1	1	0
15945	24570	"Riabelais"	47.4025	0.64833	75	"AWI"	75	1886	2345	2073	1	41	3	5	2	5	0	0	0	0	1	0	3	13	136	0	1	0	0	0	0	0	3	0	0	5	5	0	0	2	17	1	0	0	0	2	0	0	3	0	0
15945	24570	"Riabelais"	47.4025	0.64833	82.5	"AWI"	82.5	2033.5	2552	2245	0	18	2	5	0	0	0	0	2	0	0	0	0	2	203	0	0	2	0	0	0	0	0	0	0	5	4	0	0	0	11	2	0	0	0	0	0	0	0	0	0
15945	24570	"Riabelais"	47.4025	0.64833	87.5	"AWI"	87.5	2138	2652	2357.5	0	80	2	0	0	0	0	0	0	0	0	0	0	13	56	0	1	2	0	0	0	0	1	0	0	3	3	0	0	0	11	0	1	0	0	3	0	0	2	1	0
15945	24570	"Riabelais"	47.4025	0.64833	95	"AWI"	95	2332	3083	2651	0	247	3	0	1	0	0	0	0	0	0	0	0	17	22	0	0	0	0	0	0	0	1	0	0	7	3	0	0	2	21	1	0	0	0	0	2	0	7	4	0
15945	24570	"Riabelais"	47.4025	0.64833	100	"AWI"	100	2504	3350	2894	0	208	1	1	1	0	0	0	1	0	0	0	1	20	25	0	0	1	0	0	0	0	0	0	0	12	3	0	0	0	3	1	0	0	0	0	0	0	4	5	0
15945	24570	"Riabelais"	47.4025	0.64833	105	"AWI"	105	2706	3494	3125	0	207	0	0	1	0	0	0	0	0	0	0	1	16	39	0	0	0	0	0	0	0	1	0	0	16	2	0	0	1	5	0	1	0	0	0	0	0	4	4	0
15945	24570	"Riabelais"	47.4025	0.64833	110	"AWI"	110	2850	3606	3243	0	119	1	1	0	1	0	1	0	0	0	0	0	15	80	0	0	0	0	0	0	0	0	0	0	19	6	0	0	0	11	1	0	0	0	0	2	0	4	0	0
15945	24570	"Riabelais"	47.4025	0.64833	115	"AWI"	115	2940	3694	3320	0	153	1	2	1	0	0	2	0	0	0	1	1	24	83	1	0	0	0	0	0	0	2	0	0	11	6	0	0	0	22	0	0	0	0	1	0	0	7	0	0
15945	24570	"Riabelais"	47.4025	0.64833	120	"AWI"	120	3034	3765	3387	0	103	3	2	2	0	0	0	0	0	0	0	0	22	91	0	0	0	0	0	0	0	2	0	0	2	10	0	0	0	9	1	0	0	0	0	0	0	4	1	0
15945	24570	"Riabelais"	47.4025	0.64833	125	"AWI"	125	3130	3840	3457	0	98	0	0	0	0	0	0	0	0	0	0	3	16	76	0	0	1	0	0	0	0	2	0	0	4	5	0	0	0	19	1	0	0	0	0	0	0	10	1	0
15945	24570	"Riabelais"	47.4025	0.64833	129	"AWI"	129	3214	3911	3514	0	120	1	3	1	0	0	0	0	0	0	0	2	36	63	0	0	0	1	0	0	0	2	0	0	7	3	0	0	1	21	0	0	0	0	0	0	1	2	3	0
15945	24570	"Riabelais"	47.4025	0.64833	132	"AWI"	132	3291	3950	3557	0	119	2	0	1	0	0	1	0	0	0	0	2	34	57	0	0	1	0	0	0	0	3	0	0	7	3	0	0	1	17	4	0	0	0	1	0	2	14	3	0
15945	24570	"Riabelais"	47.4025	0.64833	135	"AWI"	135	3362	4001	3603	0	150	1	0	1	0	0	0	0	0	0	0	2	34	36	0	0	0	1	0	0	0	1	0	0	3	3	0	0	0	27	1	0	0	0	0	0	0	5	0	0
15945	24570	"Riabelais"	47.4025	0.64833	145	"AWI"	145	3541	4245	3837	0	210	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	29	0	0	0	0	1	0	0	2	0	0
15945	24570	"Riabelais"	47.4025	0.64833	150	"AWI"	150	3636	4372	3964	0	142	0	0	0	0	0	0	0	0	0	0	0	12	29	0	0	0	3	0	1	0	0	1	0	4	0	0	0	0	62	0	0	0	0	1	0	0	3	1	0
15945	24570	"Riabelais"	47.4025	0.64833	155	"AWI"	155	3735	4498	4089	0	120	0	0	0	0	0	1	0	0	0	0	0	12	11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	30	0	0	0	0	0	1	0	5	0	0
15945	24570	"Riabelais"	47.4025	0.64833	160	"AWI"	160	3846	4611	4220	0	125	0	0	1	0	0	0	0	0	1	0	0	14	7	0	0	0	5	0	0	0	1	0	0	1	2	0	0	1	62	0	0	0	0	7	0	0	1	0	0
15945	24570	"Riabelais"	47.4025	0.64833	165	"AWI"	165	3972	4722	4344	0	253	0	1	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0	0	1	0	0	6	1	0	0	0	32	0	0	0	0	2	0	0	1	0	1
15945	24570	"Riabelais"	47.4025	0.64833	175	"AWI"	175	4230	4948	4599	0	142	0	1	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
15945	24570	"Riabelais"	47.4025	0.64833	180	"AWI"	180	4377	5047	4726	0	251	0	0	0	0	0	0	0	0	1	0	1	16	13	0	0	0	3	0	0	0	2	0	0	3	1	0	0	0	38	1	0	0	0	1	0	0	2	0	0
15945	24570	"Riabelais"	47.4025	0.64833	185	"AWI"	185	4542	5141	4844	2	147	0	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	2	0	0	0	0	0	0	8	1	0	0	0	22	0	0	0	0	0	0	0	3	0	0
15945	24570	"Riabelais"	47.4025	0.64833	190	"AWI"	190	4722	5231	4961	0	176	0	0	0	1	0	0	0	0	0	0	0	19	18	0	0	0	2	0	0	0	1	0	0	1	3	0	0	1	28	0	0	0	0	0	0	0	0	0	1
15945	24570	"Riabelais"	47.4025	0.64833	195	"AWI"	195	4879	5333	5072	0	226	0	0	0	0	0	1	0	0	0	0	13	20	10	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	29	0	1	0	0	3	0	0	1	0	3
15945	24570	"Riabelais"	47.4025	0.64833	200	"AWI"	200	4936	5476	5175	0	237	0	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	27	0	0	0	0	0	0	0	1	0	1
15945	24570	"Riabelais"	47.4025	0.64833	205	"AWI"	205	5004	5600	5275	0	106	0	0	0	1	0	1	0	0	1	0	0	6	9	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	14	0	0	0	0	0	1	0	1	0	0
15945	24570	"Riabelais"	47.4025	0.64833	210	"AWI"	210	5086	5724	5375	0	123	1	0	0	0	0	0	0	0	0	0	0	12	4	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	30	2	0	0	0	0	0	1	0	1	0
15945	24570	"Riabelais"	47.4025	0.64833	215	"AWI"	215	5164	5847	5477	0	243	0	0	0	2	0	3	1	0	0	0	0	20	9	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	25	3	0	0	0	0	0	0	1	0	4
15945	24570	"Riabelais"	47.4025	0.64833	225	"AWI"	225	5330	6057	5678	0	143	0	1	0	0	0	0	0	0	0	0	1	9	14	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	26	1	0	0	1	0	1	0	0	0	1
15945	24570	"Riabelais"	47.4025	0.64833	230	"AWI"	230	5423	6168	5781	0	60	1	0	0	2	0	3	0	0	0	0	0	21	29	0	0	0	0	0	0	0	3	0	0	11	1	0	0	2	20	0	0	0	1	4	0	0	6	1	0
15945	24570	"Riabelais"	47.4025	0.64833	232.5	"AWI"	232.5	5467	6216	5832.5	0	34	1	2	1	1	0	0	1	0	0	0	0	29	53	0	0	0	0	0	0	0	4	0	0	16	4	0	0	0	23	3	2	0	0	2	1	0	7	1	0
15945	24570	"Riabelais"	47.4025	0.64833	240	"AWI"	240	5607	6353	5981	0	36	0	1	0	3	0	0	0	0	0	0	0	27	57	1	0	0	0	0	0	0	1	0	0	14	6	0	0	2	16	0	0	0	1	3	0	0	6	2	1
15945	24570	"Riabelais"	47.4025	0.64833	250	"AWI"	250	5810	6554	6185	0	43	1	1	1	1	0	0	1	0	0	0	1	30	22	0	2	3	0	0	0	0	0	0	0	2	2	0	0	0	30	1	1	0	2	2	1	0	0	0	0
15945	24570	"Riabelais"	47.4025	0.64833	255	"AWI"	255	5905	6646	6285	0	270	0	1	0	0	0	0	0	0	1	0	0	9	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	1	0	0	0	0	0	1	0	0	1
