"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Viburnum"	"Vitaceae"
3447	4463	"Saint Viaud Cantin"	47.265	-2.01667	0	"AWI"	0	-130	75	-54	0	0.887573964497041	2.07100591715976	0.29585798816568	0.29585798816568	0	0	0	0.887573964497041	0	0	0	0	0	0	1.4792899408284	1.18343195266272	1.18343195266272	0.29585798816568	0	0.29585798816568	0.29585798816568	0	0	0	0	0	0	0	0	0	0.29585798816568	0	0.591715976331361	0	10.6508875739645	0.29585798816568	0	67.7514792899408	0	0	0	8.57988165680473	0.591715976331361	0.887573964497041	0	0	0	0	0.29585798816568	0.29585798816568	0	0	0	0.29585798816568	0.29585798816568	0	0	0	0
3447	4463	"Saint Viaud Cantin"	47.265	-2.01667	10	"AWI"	10	-53	639	144	0	0.593471810089021	0.29673590504451	3.85756676557863	0	0.29673590504451	0	0	0	0.29673590504451	0	0	0.29673590504451	0.593471810089021	0	0	2.37388724035608	0.890207715133531	0	0.29673590504451	0.29673590504451	0	0	0	0	0.29673590504451	0	0	0	0	0	0	0	0	0	0.29673590504451	9.79228486646884	0	66.7655786350148	0	0	0	2.67062314540059	0	9.19881305637982	0	0	0	0	0	0	0	0	0	0	0.593471810089021	0	0	0	0.29673590504451
3447	4463	"Saint Viaud Cantin"	47.265	-2.01667	20	"AWI"	20	44	959	382	0	2.22222222222222	2.22222222222222	1.11111111111111	0.555555555555556	1.11111111111111	0	0	0.555555555555556	0	0	0	1.66666666666667	0	0	2.22222222222222	3.33333333333333	1.66666666666667	0	0	0.555555555555556	0	0	0	0	0	0	0.555555555555556	0	0	0.555555555555556	0	0	0	0	1.11111111111111	2.77777777777778	0	11.6666666666667	0	0	0	2.77777777777778	0	62.7777777777778	0	0	0	0	0	0	0	0	0	0	0.555555555555556	0	0	0	0
3447	4463	"Saint Viaud Cantin"	47.265	-2.01667	30	"AWI"	30	187	1270	614	0	1.32743362831858	3.53982300884956	0.884955752212389	0	0.442477876106195	0	0	0.884955752212389	0	0	0	2.21238938053097	0	0	3.98230088495575	3.53982300884956	1.32743362831858	0	0	1.32743362831858	0	0	0	0	0.442477876106195	0	0	0	0	0.442477876106195	0.442477876106195	0.442477876106195	0	0	0.884955752212389	2.21238938053097	0	17.6991150442478	0	0	0	8.4070796460177	0	46.9026548672566	0	0	0	0	0.884955752212389	0	0	0	0	0.884955752212389	0.442477876106195	0	0	0	0.442477876106195
3447	4463	"Saint Viaud Cantin"	47.265	-2.01667	45	"AWI"	45	399	1689	975	0	2.80898876404494	3.93258426966292	1.12359550561798	0.561797752808989	0.561797752808989	0	0	0	0	0	0	0.561797752808989	0.561797752808989	0	2.80898876404494	8.98876404494382	2.80898876404494	0	0	1.12359550561798	0	0	0	0	0.561797752808989	0	0	0	0.561797752808989	0.561797752808989	0	0	0	0	0.561797752808989	0	0	23.0337078651685	0	0	0	8.98876404494382	0	38.2022471910112	0	0	0	0	0.561797752808989	0	0	0	0	0	1.12359550561798	0	0	0	0
3447	4463	"Saint Viaud Cantin"	47.265	-2.01667	55	"AWI"	55	572	1902	1226	0	3.2967032967033	4.3956043956044	1.0989010989011	0	0	0	8.24175824175824	0.549450549450549	0	0	0	1.0989010989011	0	0	2.74725274725275	3.84615384615385	0	0	0.549450549450549	0.549450549450549	0	0	0	0	1.0989010989011	0	0	0	0	0	0.549450549450549	0	0	0	1.0989010989011	3.84615384615385	0	32.4175824175824	0	0	0	7.14285714285714	0	26.9230769230769	0	0	0	0	0.549450549450549	0	0	0	0	0	0	0	0	0	0
3447	4463	"Saint Viaud Cantin"	47.265	-2.01667	60	"AWI"	60	681	2004	1343	0.568181818181818	3.40909090909091	0	1.13636363636364	0.568181818181818	0.568181818181818	0	0	0.568181818181818	0	0	0	0.568181818181818	0	0	1.70454545454545	6.81818181818182	0	0	0.568181818181818	1.70454545454545	0.568181818181818	0	0	0	0.568181818181818	0.568181818181818	0	0	1.13636363636364	0.568181818181818	0.568181818181818	0	0.568181818181818	0	0.568181818181818	1.70454545454545	0	31.8181818181818	0	0	0	13.6363636363636	0	27.2727272727273	0	0	0	0	1.70454545454545	0	0	0	0	0	0.568181818181818	0	0	0	0
3447	4463	"Saint Viaud Cantin"	47.265	-2.01667	65	"AWI"	65	765	2105	1460	0.497512437810945	1.49253731343284	3.98009950248756	1.99004975124378	0	0.497512437810945	0	0	1.99004975124378	0	0	0	0.497512437810945	0.995024875621891	0	1.99004975124378	15.9203980099502	0	0	0.995024875621891	1.49253731343284	0	0	0	0	0.995024875621891	0.497512437810945	0	0	1.49253731343284	0	0.497512437810945	0	0.497512437810945	0	0.497512437810945	2.48756218905473	0	39.3034825870647	0	0	0	6.46766169154229	0.497512437810945	12.9353233830846	0	0	0	0	0.995024875621891	0	0	0	0	0	0.497512437810945	0	0	0	0
3447	4463	"Saint Viaud Cantin"	47.265	-2.01667	70	"AWI"	70	874	2210	1573	0.341296928327645	0.68259385665529	2.04778156996587	1.70648464163823	0.341296928327645	0.341296928327645	0	0	1.70648464163823	0.341296928327645	0	0	0.341296928327645	0	0	4.09556313993174	23.8907849829352	0	0	0	1.36518771331058	0.341296928327645	0	0	0	0.341296928327645	1.02389078498294	0	0	2.04778156996587	0	0	0	0.68259385665529	0	1.02389078498294	1.70648464163823	0	43.3447098976109	0	0	0	9.55631399317406	0.341296928327645	0.68259385665529	0	0	0	0	0.68259385665529	0	0	0	0	0	0.68259385665529	0	0	0.341296928327645	0
3447	4463	"Saint Viaud Cantin"	47.265	-2.01667	80	"AWI"	80	1107	2390	1810	0.465116279069767	1.3953488372093	1.3953488372093	0.465116279069767	0	0.465116279069767	0	0	1.3953488372093	0	0	0	0.465116279069767	0	0	4.65116279069767	38.1395348837209	0	0	0.465116279069767	2.32558139534884	0	0	0	0.465116279069767	0	0	0	0	0	0	0	0	0	0	2.32558139534884	7.90697674418605	0	15.3488372093023	0	0	0	18.6046511627907	0	2.32558139534884	0	0	0	0	0	0	0	0	0	0.465116279069767	0.930232558139535	0	0	0	0
