"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Indeterminable"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Taxus"	"Tilia"	"Ulmus"	"Urticaceae"
15715	24118	"Kugelstattmoos"	48.953182	12.857416	0	"AWI"	0	-120	46	-44	0.3003003003003	0.3003003003003	3.9039039039039	0	0	0	0	0	6.90690690690691	0	0.3003003003003	0	0	2.4024024024024	0.3003003003003	0	0	1.8018018018018	0	0	0	0	0	0	0	0.3003003003003	67.2672672672673	15.9159159159159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3003003003003
15715	24118	"Kugelstattmoos"	48.953182	12.857416	4	"AWI"	4	86	490	266	4.10958904109589	1.0958904109589	3.83561643835616	0	0.547945205479452	0	0	0	7.67123287671233	0	0.273972602739726	0	0	4.38356164383562	0	0	0.273972602739726	0.547945205479452	0	0.273972602739726	5.75342465753425	0	0	0	0	0.273972602739726	58.6301369863014	10.958904109589	0	0	0	0	0.273972602739726	0.273972602739726	0	0	0.273972602739726	0.273972602739726	0	0	0	0.273972602739726	0
15715	24118	"Kugelstattmoos"	48.953182	12.857416	12	"AWI"	12	385	1529	886	11.3902847571189	0	1.50753768844221	0	0.16750418760469	0	0	0	8.20770519262982	0	0	0	0	2.01005025125628	0	23.6180904522613	0	9.88274706867672	0	0	12.8978224455611	0	0	0	0	0.50251256281407	19.9329983249581	5.86264656616415	0	3.68509212730318	0	0	0.33500837520938	0	0	0	0	0	0	0	0	0	0
15715	24118	"Kugelstattmoos"	48.953182	12.857416	15	"AWI"	15	769	1703	1179	10.5095541401274	0	6.05095541401274	0	0.318471337579618	0	0	0	13.0573248407643	0	0.318471337579618	0	0	4.77707006369427	0	0	0	12.4203821656051	0.318471337579618	0	22.6114649681529	0	0	0	0	0.636942675159236	17.8343949044586	7.96178343949045	0	2.54777070063694	0	0	0	0	0	0	0.318471337579618	0	0	0	0	0.318471337579618	0
15715	24118	"Kugelstattmoos"	48.953182	12.857416	16	"AWI"	16	953	1721	1289	3.57615894039735	0	10.5960264900662	0	0.264900662251656	0	0.397350993377483	0.529801324503311	25.4304635761589	0	0.132450331125828	0	0	8.0794701986755	0.132450331125828	0	0	8.0794701986755	0.397350993377483	0	12.4503311258278	0	0	0	0	0.927152317880795	9.93377483443709	15.0993377483444	0	3.3112582781457	0	0	0.397350993377483	0	0	0	0.264900662251656	0	0	0	0	0	0
15715	24118	"Kugelstattmoos"	48.953182	12.857416	17	"AWI"	17	1120	1739	1399	4.72895040369089	0.115340253748558	8.53517877739331	0.230680507497116	0.346020761245675	0	0.230680507497116	0	18.5697808535179	0	0.346020761245675	0	0	8.88119953863899	0.230680507497116	4.84429065743945	0.115340253748558	14.0715109573241	0	0	18.800461361015	0	0	0	0	0.807381776239908	8.53517877739331	5.30565167243368	0.461361014994233	4.26758938869665	0	0	0.461361014994233	0	0	0	0	0	0	0	0	0.115340253748558	0
15715	24118	"Kugelstattmoos"	48.953182	12.857416	20	"AWI"	20	1571	1863	1727	5.43933054393306	0.209205020920502	8.47280334728034	0	0.104602510460251	0	0.523012552301255	0	7.84518828451883	0	0.313807531380753	0	0	15.0627615062762	0	10.5648535564854	0	29.8117154811715	0.418410041841004	0	13.0753138075314	0	0	0	0	1.04602510460251	1.88284518828452	3.03347280334728	0	1.56903765690377	0	0	0.209205020920502	0	0	0	0.104602510460251	0	0	0	0	0.313807531380753	0
15715	24118	"Kugelstattmoos"	48.953182	12.857416	22	"AWI"	22	1693	2173	1940	36.9509043927649	0	11.6279069767442	0	0	0	0	0	1.29198966408269	0	0	0	0	4.39276485788114	0	0	0	33.0749354005168	0	0	4.90956072351421	0	0	0	0	0	5.94315245478036	1.03359173126615	0	0	0	0	0	0	0	0	0.258397932816538	0	0	0	0	0.516795865633075	0
15715	24118	"Kugelstattmoos"	48.953182	12.857416	23	"AWI"	23	1727	2346	2050	49.211356466877	0	4.41640378548896	0	0	0	0	0	0.630914826498423	0	0	0	0	2.52365930599369	0.315457413249211	0	0	29.6529968454259	0	0	0	0	0	0	0	0	11.98738170347	0.630914826498423	0	0	0	0	0.315457413249211	0.315457413249211	0	0	0	0	0	0	0	0	0
15715	24118	"Kugelstattmoos"	48.953182	12.857416	24	"AWI"	24	1753	2524	2161	46.551724137931	0.14367816091954	8.9080459770115	0	0.28735632183908	0	0	0	3.73563218390805	0	0.718390804597701	0	0	3.59195402298851	0	0	0	22.2701149425287	0	0	2.29885057471264	0	0	0	0	0.431034482758621	8.62068965517241	1.58045977011494	0	0	0	0	0.431034482758621	0	0	0	0	0	0	0	0	0.431034482758621	0
