"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fraxinus"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Tilia"	"Ulmus"
26578	46481	"Staroselsky Moch"	56.28528	32.0275	1	"AWI"	1	-127	42	-42	0	10.9375	0.520833333333333	0	2.34375	0	0	0	0	1.5625	0.78125	0	1.30208333333333	0	0	18.75	59.8958333333333	0	1.82291666666667	0	1.04166666666667	0	0.520833333333333	0	0.260416666666667	0	0.260416666666667
26578	46481	"Staroselsky Moch"	56.28528	32.0275	10	"AWI"	10	-74	336	75	0	25.9259259259259	1.48148148148148	0	2.22222222222222	0	0	0.37037037037037	0	1.11111111111111	3.33333333333333	0	6.2962962962963	0	0	9.25925925925926	44.8148148148148	0	2.96296296296296	0	0.740740740740741	0	0.37037037037037	0	0.37037037037037	0	0.740740740740741
26578	46481	"Staroselsky Moch"	56.28528	32.0275	20	"AWI"	20	-46	716	200	0	29.2857142857143	2.14285714285714	0	3.57142857142857	0	0	0	0	2.14285714285714	0.714285714285714	0	0.714285714285714	0	0	21.4285714285714	32.8571428571429	0	4.28571428571429	0.714285714285714	1.42857142857143	0	0	0	0	0	0.714285714285714
26578	46481	"Staroselsky Moch"	56.28528	32.0275	30	"AWI"	30	51	861	360	0	14.4295302013423	0.335570469798658	0	2.3489932885906	1.34228187919463	0	0	0	0.671140939597315	0.335570469798658	0	18.4563758389262	0	0	24.8322147651007	30.8724832214765	0	4.02684563758389	0	1.34228187919463	0	0.335570469798658	0	0	0.335570469798658	0.335570469798658
26578	46481	"Staroselsky Moch"	56.28528	32.0275	40	"AWI"	40	109	1045	519	0	23.1738035264484	1.00755667506297	0	1.25944584382872	0	0	0	0	0.755667506297229	0.503778337531486	0	5.2896725440806	0	0	30.4785894206549	33.2493702770781	0	3.27455919395466	0	0.251889168765743	0	0.503778337531486	0	0	0	0.251889168765743
26578	46481	"Staroselsky Moch"	56.28528	32.0275	50	"AWI"	50	243	1176	683	0	23.1270358306189	1.62866449511401	0.325732899022801	1.62866449511401	0	0	0	0	0.651465798045603	1.62866449511401	0	1.62866449511401	0	0	18.8925081433225	42.9967426710098	0	5.21172638436482	0	0.977198697068404	0.651465798045603	0	0	0	0	0.651465798045603
26578	46481	"Staroselsky Moch"	56.28528	32.0275	60	"AWI"	60	340	1286	851	0	12.3893805309735	0.294985250737463	0	3.83480825958702	0.884955752212389	0	0	0	0.589970501474926	0.589970501474926	0	0.884955752212389	0	0.294985250737463	30.3834808259587	38.0530973451327	0	8.55457227138643	0	1.76991150442478	0.589970501474926	0	0	0.589970501474926	0	0.294985250737463
26578	46481	"Staroselsky Moch"	56.28528	32.0275	70	"AWI"	70	535	1391	1003	0	11.8694362017804	1.18694362017804	0	1.78041543026706	0	0	0.29673590504451	0	0.29673590504451	0	0	0.890207715133531	0.593471810089021	0.29673590504451	56.379821958457	16.3204747774481	0	5.34124629080119	0	2.67062314540059	0	0.593471810089021	0	1.18694362017804	0	0.29673590504451
26578	46481	"Staroselsky Moch"	56.28528	32.0275	80	"AWI"	80	712	1467	1164	0	12.2715404699739	0.261096605744125	0.261096605744125	1.30548302872063	0	0	0	0.261096605744125	1.56657963446475	0.261096605744125	0	0.261096605744125	0	0.522193211488251	40.2088772845953	33.6814621409922	0.261096605744125	3.39425587467363	0	2.61096605744125	0.261096605744125	0.261096605744125	0	1.0443864229765	0.783289817232376	0.522193211488251
26578	46481	"Staroselsky Moch"	56.28528	32.0275	90	"AWI"	90	860	1566	1299	0	25.9459459459459	1.08108108108108	0	2.43243243243243	0.810810810810811	0	0.810810810810811	0	1.35135135135135	1.89189189189189	0	2.16216216216216	0	0	22.7027027027027	27.8378378378378	0	5.94594594594595	0	1.89189189189189	0.810810810810811	1.62162162162162	0	1.35135135135135	0	1.35135135135135
