"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Juniperus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"
15765	24229	"Melnický úval - Prívory"	50.29944	14.57833	24	"AWI"	24	6018	6433	6256	0	1	1	1	0	0	0	1	0	0	5	133	0	0	0	0	1	383	0	0	5	20	0	0	1	0	0	0	0	7	0
15765	24229	"Melnický úval - Prívory"	50.29944	14.57833	26	"AWI"	26	6362	6755	6504	0	0	3	3	7	0	0	0	0	0	17	96	0	0	0	0	1	683	0	0	4	31	0	0	0	0	0	0	1	1	3
15765	24229	"Melnický úval - Prívory"	50.29944	14.57833	28	"AWI"	28	6527	7145	6778	3	0	0	0	1	0	0	0	0	0	1	118	0	0	0	0	13	795	0	0	1	15	0	0	0	0	0	0	0	0	2
15765	24229	"Melnický úval - Prívory"	50.29944	14.57833	30	"AWI"	30	6723	7504	7053	0	1	0	1	0	0	0	0	0	0	2	74	0	0	0	0	5	634	0	0	0	6	0	0	0	0	0	0	2	0	2
15765	24229	"Melnický úval - Prívory"	50.29944	14.57833	32	"AWI"	32	6930	7840	7323	0	1	0	0	2	0	0	0	0	0	0	73	0	0	0	0	10	856	0	0	0	5	0	0	1	0	0	0	0	0	3
15765	24229	"Melnický úval - Prívory"	50.29944	14.57833	34	"AWI"	34	7144	8156	7595	0	1	0	0	1	0	0	0	0	0	0	13	0	0	0	0	0	757	0	0	0	4	0	0	0	0	0	0	0	0	0
15765	24229	"Melnický úval - Prívory"	50.29944	14.57833	36	"AWI"	36	7375	8480	7865	0	0	1	0	1	0	0	0	0	0	0	6	0	0	0	0	0	744	0	0	0	1	0	0	0	0	0	0	0	0	1
15765	24229	"Melnický úval - Prívory"	50.29944	14.57833	38	"AWI"	38	7590	8794	8143	0	0	0	1	6	0	0	0	0	0	0	3	0	0	1	0	0	596	0	0	2	0	0	0	0	0	0	0	0	0	0
15765	24229	"Melnický úval - Prívory"	50.29944	14.57833	40	"AWI"	40	7825	9102	8414	0	0	0	0	9	0	0	0	0	0	0	10	0	0	0	0	0	400	0	5	0	0	0	0	0	0	0	0	0	0	0
15765	24229	"Melnický úval - Prívory"	50.29944	14.57833	43	"AWI"	43	8187	9551	8823	0	3	0	0	6	0	0	1	0	0	0	34	0	0	0	0	0	440	0	0	0	0	0	0	0	0	0	0	1	0	0
15765	24229	"Melnický úval - Prívory"	50.29944	14.57833	46	"AWI"	46	8561	9984	9234	0	0	2	1	15	0	0	0	0	0	0	29	0	0	0	0	0	353	0	9	0	1	0	0	0	0	0	0	4	0	0
15765	24229	"Melnický úval - Prívory"	50.29944	14.57833	49	"AWI"	49	8929	10425	9638	0	0	1	0	15	0	0	0	0	2	0	22	0	0	0	0	0	343	0	13	0	0	0	0	0	0	0	0	0	0	0
15765	24229	"Melnický úval - Prívory"	50.29944	14.57833	52	"AWI"	52	9304	10845	10051	0	0	0	0	2	0	0	0	0	0	0	37	0	0	0	0	0	197	0	0	1	0	0	0	0	0	0	0	1	0	1
15765	24229	"Melnický úval - Prívory"	50.29944	14.57833	55	"AWI"	55	9693	11269	10454	0	1	2	0	8	0	0	0	0	1	0	28	0	0	0	0	0	438	0	11	0	0	0	0	0	0	0	0	4	0	0
15765	24229	"Melnický úval - Prívory"	50.29944	14.57833	58	"AWI"	58	10083	11681	10863	0	1	2	0	11	0	0	1	0	1	0	30	0	0	0	0	0	431	0	0	0	0	2	0	0	0	0	0	0	0	0
15765	24229	"Melnický úval - Prívory"	50.29944	14.57833	61	"AWI"	61	10477	12097	11268	0	0	0	1	10	0	0	0	0	0	0	40	0	0	0	0	1	801	0	18	0	0	0	0	1	0	0	0	1	0	0
15765	24229	"Melnický úval - Prívory"	50.29944	14.57833	64	"AWI"	64	10886	12483	11675	0	0	1	0	3	0	0	0	0	0	0	15	0	0	0	0	1	260	0	0	0	0	0	0	0	0	0	0	0	0	0
15765	24229	"Melnický úval - Prívory"	50.29944	14.57833	67	"AWI"	67	11283	12883	12088	0	0	0	0	11	0	0	0	0	0	0	34	0	0	0	0	0	368	0	0	0	0	0	0	1	0	0	0	1	0	0
15765	24229	"Melnický úval - Prívory"	50.29944	14.57833	70	"AWI"	70	11702	13292	12494	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0
15765	24229	"Melnický úval - Prívory"	50.29944	14.57833	73	"AWI"	73	12113	13699	12906	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0
15765	24229	"Melnický úval - Prívory"	50.29944	14.57833	76	"AWI"	76	12533	14078	13314	0	0	0	0	3	0	0	1	0	1	0	45	0	0	0	0	1	60	0	0	0	0	0	0	0	0	4	0	0	0	0
