"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Juniperus"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"
3206	4164	"Kroksjön"	56.27346	15.00843	452	"AWI"	452	10630	12091	11570	0	2	0	3	0	420	0	0	0	0	9	2	0	0	0	23	0	0	0	200	0	0	0	1	0	0	0	0	3	11	2	1	0	0
3206	4164	"Kroksjön"	56.27346	15.00843	455	"AWI"	455	11167	12186	11775	0	3	1	8	0	290	0	0	0	1	44	0	161	0	0	58	1	0	0	715	0	0	0	2	0	0	0	1	5	6	0	2	0	0
3206	4164	"Kroksjön"	56.27346	15.00843	460	"AWI"	460	11548	12374	12039	3	14	1	43	0	272	0	0	1	1	67	1	0	0	0	11	0	0	2	240	0	0	0	6	0	0	5	1	6	27	0	1	1	0
3206	4164	"Kroksjön"	56.27346	15.00843	465	"AWI"	465	11821	12525	12227	1	18	2	105	0	476	0	0	1	1	80	0	0	0	0	23	0	0	2	277	0	0	1	3	0	0	0	2	4	42	1	6	0	0
3206	4164	"Kroksjön"	56.27346	15.00843	470	"AWI"	470	12064	12673	12434	4	15	0	65	2	154	0	0	0	1	51	0	0	0	0	21	0	0	1	87	0	0	0	3	0	0	0	0	14	27	0	2	0	0
3206	4164	"Kroksjön"	56.27346	15.00843	475	"AWI"	475	12260	12920	12632	4	21	2	85	0	299	0	1	4	3	112	0	0	0	0	67	0	0	1	229	1	0	0	13	0	0	0	7	8	34	0	5	0	0
3206	4164	"Kroksjön"	56.27346	15.00843	480	"AWI"	480	12487	13139	12833	4	22	1	96	0	309	0	0	1	4	71	1	0	0	0	48	0	0	0	132	1	0	0	5	1	0	13	1	7	64	1	5	0	0
3206	4164	"Kroksjön"	56.27346	15.00843	485	"AWI"	485	12810	13344	13060	5	24	0	47	0	255	1	4	2	3	53	0	0	0	0	34	0	0	1	141	0	0	0	6	0	1	0	2	8	51	2	4	0	0
3206	4164	"Kroksjön"	56.27346	15.00843	487	"AWI"	487	12879	13473	13159	4	12	3	54	0	327	0	1	0	0	49	0	83	0	0	17	0	0	0	369	0	0	0	2	0	0	0	2	9	55	0	1	0	1
3206	4164	"Kroksjön"	56.27346	15.00843	490	"AWI"	490	13145	13653	13378	0	3	0	22	0	370	0	0	0	0	32	0	0	0	0	23	0	0	0	277	0	0	0	4	0	0	0	0	6	23	1	5	0	0
3206	4164	"Kroksjön"	56.27346	15.00843	493	"AWI"	493	13350	14001	13629	2	8	0	34	0	376	0	0	0	1	77	0	0	0	0	14	0	0	0	271	1	0	0	4	0	1	0	0	11	35	2	7	0	1
3206	4164	"Kroksjön"	56.27346	15.00843	495	"AWI"	495	13443	14433	13828	5	6	1	28	0	262	0	0	3	5	77	0	0	0	0	11	0	1	0	291	0	0	0	5	0	0	0	1	3	57	1	1	0	1
3206	4164	"Kroksjön"	56.27346	15.00843	500	"AWI"	500	13695	15344	14371	14	14	1	36	0	196	3	1	1	5	148	1	0	0	0	17	1	1	0	534	0	0	0	5	2	0	0	2	14	45	1	2	0	0
3206	4164	"Kroksjön"	56.27346	15.00843	505	"AWI"	505	14005	16022	14919	15	7	0	33	0	321	1	0	0	3	155	3	0	1	1	27	0	1	2	341	0	77	0	13	1	0	11	1	12	47	0	8	1	0
3206	4164	"Kroksjön"	56.27346	15.00843	507	"AWI"	507	14106	16348	15132	6	5	0	11	0	104	1	0	0	12	65	1	0	0	0	25	0	0	2	128	0	0	0	2	1	1	0	2	3	31	0	3	0	0
3206	4164	"Kroksjön"	56.27346	15.00843	512	"AWI"	512	14537	16855	15710	23	9	1	61	0	247	1	0	0	22	78	4	0	0	0	23	0	1	5	167	0	0	0	8	2	3	24	2	9	59	2	3	0	2
