"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Castanea"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Lamiaceae"	"Lythraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Tilia"
14672	23019	"Mire Gyola"	41.35472	23.12528	0	"AWI"	0	-140	24	-53	0	0	3	5	0	0	0	0	1	1	0	498	0	1	3	1	0	6	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	1	0	0	0	0
14672	23019	"Mire Gyola"	41.35472	23.12528	10	"AWI"	10	-48	380	127	0	0	1	0	0	1	0	0	0	0	0	1170	0	0	0	0	0	2	0	0	0	2	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
14672	23019	"Mire Gyola"	41.35472	23.12528	20	"AWI"	20	87	509	338	1	0	0	3	0	0	0	0	0	0	0	390	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
14672	23019	"Mire Gyola"	41.35472	23.12528	30	"AWI"	30	333	600	504	0	0	1	3	0	0	0	0	0	0	0	470	0	2	2	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
14672	23019	"Mire Gyola"	41.35472	23.12528	50	"AWI"	50	527	923	688	0	0	8	1	1	1	0	0	1	0	0	77	0	5	9	0	0	2	0	0	1	2	0	0	0	28	0	0	0	0	3	1	0	0	0	0	0	0
14672	23019	"Mire Gyola"	41.35472	23.12528	60	"AWI"	60	596	1062	780	0	0	2	11	1	1	0	0	1	0	0	125	0	0	9	0	0	0	0	0	0	0	0	0	2	11	0	0	0	0	0	0	0	0	0	0	0	0
14672	23019	"Mire Gyola"	41.35472	23.12528	65	"AWI"	65	636	1108	827	1	0	2	4	3	2	0	0	1	0	0	151	0	6	2	0	0	2	0	0	1	0	0	0	0	9	0	0	26	0	0	2	0	0	0	0	0	0
14672	23019	"Mire Gyola"	41.35472	23.12528	75	"AWI"	75	713	1225	919	0	1	9	5	0	5	0	0	0	0	0	125	0	2	0	0	0	4	0	0	0	2	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0
14672	23019	"Mire Gyola"	41.35472	23.12528	80	"AWI"	80	751	1291	967	0	0	9	3	1	0	8	1	0	0	0	116	0	1	2	0	0	1	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	2	0	0	1
14672	23019	"Mire Gyola"	41.35472	23.12528	90	"AWI"	90	826	1417	1059	3	0	8	7	7	1	0	0	0	0	0	123	1	0	3	0	0	2	0	0	0	2	0	0	0	23	0	0	0	0	0	1	0	0	0	0	2	4
14672	23019	"Mire Gyola"	41.35472	23.12528	110	"AWI"	110	1018	1649	1240	0	0	22	5	2	21	0	1	2	0	0	130	0	3	3	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	1	0	0	0	1
14672	23019	"Mire Gyola"	41.35472	23.12528	120	"AWI"	120	1146	1810	1321	1	0	21	6	1	6	0	2	2	0	0	114	0	0	2	0	0	0	1	0	0	0	0	0	2	8	0	0	0	0	3	1	0	1	0	0	0	2
14672	23019	"Mire Gyola"	41.35472	23.12528	140	"AWI"	140	1588	3262	2411	2	0	8	2	0	29	0	0	3	0	0	83	0	1	2	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	1
14672	23019	"Mire Gyola"	41.35472	23.12528	150	"AWI"	150	3133	3568	3431	0	0	5	3	0	76	0	1	2	0	0	75	0	0	0	0	0	0	0	1	1	2	3	0	0	10	0	0	0	0	2	0	0	0	0	1	0	1
14672	23019	"Mire Gyola"	41.35472	23.12528	160	"AWI"	160	3541	6012	4185	0	0	3	2	0	101	0	0	3	0	0	24	0	0	3	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	1
14672	23019	"Mire Gyola"	41.35472	23.12528	170	"AWI"	170	3956	7035	5460	0	0	2	1	1	161	0	0	2	0	0	29	0	0	0	0	0	0	0	0	0	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0
14672	23019	"Mire Gyola"	41.35472	23.12528	180	"AWI"	180	4630	7568	6580	0	0	15	4	0	128	0	0	9	0	0	35	0	0	5	0	0	3	0	0	0	3	0	0	0	2	0	0	0	1	0	2	0	0	0	2	0	0
14672	23019	"Mire Gyola"	41.35472	23.12528	190	"AWI"	190	7251	7856	7640	0	0	8	4	1	110	0	1	4	0	0	33	0	0	2	0	0	7	1	0	0	5	0	2	2	6	2	0	4	0	0	2	0	0	0	0	0	1
14672	23019	"Mire Gyola"	41.35472	23.12528	200	"AWI"	200	7759	9051	8102	0	0	8	7	1	116	0	0	5	0	0	25	0	1	2	1	0	1	0	0	0	6	0	0	2	5	0	0	9	0	15	6	0	0	2	1	3	0
