"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Liliaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"
16299	25275	"Saint Hilaire du Rosier"	45.07083	5.25667	90	"AWI"	90	1557	2125	1871	1	1	10	0	2	0	2	0	3	2	0	0	0	0	0	4	27	0	0	0	9	0	2	9	0	21	1	20	0	15	0	33	0	0	0	0	1	0	0	0	0	4	1
16299	25275	"Saint Hilaire du Rosier"	45.07083	5.25667	100	"AWI"	100	1675	2445	2021	8	1	6	1	0	0	5	0	4	3	2	0	0	0	0	12	28	0	0	0	4	2	1	1	0	1	1	39	0	47	0	58	1	0	0	0	1	0	2	1	0	9	2
16299	25275	"Saint Hilaire du Rosier"	45.07083	5.25667	105	"AWI"	105	1750	2606	2112	7	1	8	1	1	0	0	0	3	0	3	0	0	2	0	11	12	0	0	0	2	0	2	0	0	0	0	40	0	45	0	19	1	3	0	0	0	1	6	0	0	2	1
16299	25275	"Saint Hilaire du Rosier"	45.07083	5.25667	110	"AWI"	110	1819	2784	2219	13	3	9	0	1	1	2	0	0	0	2	0	0	2	0	17	18	0	0	0	1	1	0	0	0	0	0	39	0	87	0	49	5	2	2	0	2	0	1	0	0	10	2
16299	25275	"Saint Hilaire du Rosier"	45.07083	5.25667	115	"AWI"	115	1869	3008	2320	14	2	18	2	0	0	4	0	6	0	2	0	0	0	0	38	39	0	0	0	8	0	0	4	0	2	0	36	0	40	0	28	2	4	4	0	0	0	0	0	0	8	0
16299	25275	"Saint Hilaire du Rosier"	45.07083	5.25667	120	"AWI"	120	13637	14041	13892	10	2	4	0	4	0	2	0	2	0	1	0	0	0	0	16	4	0	0	0	0	0	0	4	0	0	0	54	0	28	0	20	2	0	0	0	0	0	2	0	0	0	6
16299	25275	"Saint Hilaire du Rosier"	45.07083	5.25667	125	"AWI"	125	13721	14066	13935	14	1	4	1	4	1	10	0	18	1	0	0	0	0	2	38	8	0	0	0	4	1	0	1	0	0	0	150	0	69	0	75	0	2	1	0	0	1	0	0	0	5	4
16299	25275	"Saint Hilaire du Rosier"	45.07083	5.25667	130	"AWI"	130	13769	14112	13981	0	2	0	0	1	0	16	0	20	0	0	0	0	0	2	5	0	0	1	0	0	0	0	2	0	0	0	253	0	37	0	0	0	0	0	0	1	1	0	0	1	0	1
16299	25275	"Saint Hilaire du Rosier"	45.07083	5.25667	135	"AWI"	135	13805	14201	14023	0	0	0	2	3	0	53	0	332	0	0	0	0	5	1	0	0	2	3	1	0	0	0	28	0	0	0	56	0	0	0	0	0	2	0	0	6	0	1	0	8	0	0
16299	25275	"Saint Hilaire du Rosier"	45.07083	5.25667	140	"AWI"	140	13836	14325	14060	0	0	0	8	2	0	120	0	261	0	0	0	0	0	8	0	18	11	0	0	0	0	0	114	0	0	0	84	0	0	0	0	0	1	0	0	5	3	4	0	5	0	0
16299	25275	"Saint Hilaire du Rosier"	45.07083	5.25667	145	"AWI"	145	13876	14375	14107	0	0	0	8	0	0	143	6	197	4	0	1	0	2	12	0	15	11	1	0	0	0	0	121	0	0	0	79	0	0	0	0	0	1	0	0	3	1	5	0	3	0	0
16299	25275	"Saint Hilaire du Rosier"	45.07083	5.25667	150	"AWI"	150	13906	14455	14153	0	0	0	7	2	0	116	0	203	2	0	0	0	2	15	0	15	1	1	3	0	0	0	146	0	0	0	141	0	0	0	0	0	2	0	0	1	1	0	0	5	0	0
16299	25275	"Saint Hilaire du Rosier"	45.07083	5.25667	155	"AWI"	155	13944	14532	14198	0	0	0	6	0	0	105	0	120	2	0	1	0	5	8	0	13	0	1	0	0	0	0	54	0	0	0	80	0	0	0	0	0	0	0	0	2	2	1	0	7	0	0
