"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Iridaceae"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Melanthiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
14540	40577	"Alpi di Robièi Val Bavona"	46.445	8.51833	248	"AWI"	248	3316	4279	3820	23	0	138	0	18	15	0	1	0	9	0	2	0	0	0	13	531	0	0	0	7	1	0	0	0	3	0	3	0	1	0	0	58	67	0	71	1	0	0	7	3	0	0	0	19	4	1	4	2	10	0	0
14540	40577	"Alpi di Robièi Val Bavona"	46.445	8.51833	263	"AWI"	263	3776	4594	4200	10	0	45	0	0	10	0	2	0	10	0	5	0	0	0	15	1266	0	0	0	0	1	0	1	0	0	0	1	2	0	0	0	19	46	0	46	0	0	0	7	2	0	0	0	27	4	0	1	0	1	0	0
14540	40577	"Alpi di Robièi Val Bavona"	46.445	8.51833	270	"AWI"	270	3999	4731	4375	13	0	61	0	1	39	0	9	0	14	0	0	0	0	0	18	2263	0	0	1	0	0	0	0	0	2	0	1	0	4	0	0	26	99	0	111	0	0	0	23	4	0	0	1	35	11	1	4	3	5	4	0
14540	40577	"Alpi di Robièi Val Bavona"	46.445	8.51833	277	"AWI"	277	4234	4884	4551	25	0	28	0	1	26	0	2	0	10	1	5	0	0	0	24	938	0	0	0	3	0	0	1	0	1	0	0	0	2	0	0	25	115	0	67	0	0	0	15	3	1	0	0	22	11	1	6	5	6	3	0
14540	40577	"Alpi di Robièi Val Bavona"	46.445	8.51833	284	"AWI"	284	4457	5024	4726	29	1	22	0	0	14	0	1	0	3	1	1	0	0	0	13	339	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	45	83	0	32	0	0	0	19	2	0	0	0	5	5	1	0	2	1	2	0
14540	40577	"Alpi di Robièi Val Bavona"	46.445	8.51833	291	"AWI"	291	4614	5237	4902	17	0	21	0	0	34	0	1	0	5	0	6	0	0	0	36	70	0	0	0	1	0	0	1	0	1	0	0	0	4	0	0	1	65	0	113	0	0	0	11	6	0	0	0	28	6	1	3	1	7	0	0
14540	40577	"Alpi di Robièi Val Bavona"	46.445	8.51833	299	"AWI"	299	4787	5462	5105	18	0	26	0	0	26	0	0	0	20	1	1	0	0	0	29	114	0	0	2	0	2	0	0	1	2	0	0	0	1	0	0	4	52	0	94	0	0	0	12	3	1	0	0	53	26	3	5	1	8	1	0
14540	40577	"Alpi di Robièi Val Bavona"	46.445	8.51833	312	"AWI"	312	5079	5822	5434	42	0	18	0	1	48	0	6	0	14	0	2	0	0	0	27	52	0	0	0	1	0	0	3	0	0	0	5	0	2	0	0	3	102	0	80	0	0	0	13	20	0	0	0	38	5	0	4	6	9	2	0
14540	40577	"Alpi di Robièi Val Bavona"	46.445	8.51833	325	"AWI"	325	5376	6179	5768	27	3	0	0	0	20	0	3	0	17	0	3	0	0	0	26	50	0	0	0	0	2	0	1	0	3	0	3	2	1	0	0	4	77	0	83	0	0	0	19	3	1	0	0	45	13	1	6	5	8	0	0
14540	40577	"Alpi di Robièi Val Bavona"	46.445	8.51833	334	"AWI"	334	5596	6413	5994	11	0	17	0	0	23	0	0	0	5	0	0	0	0	0	21	53	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	36	0	79	0	0	0	1	6	1	0	0	18	17	0	2	2	8	0	0
14540	40577	"Alpi di Robièi Val Bavona"	46.445	8.51833	344	"AWI"	344	5845	6673	6249	27	0	0	0	0	26	0	2	0	7	2	1	0	0	0	30	37	0	0	0	0	1	0	1	0	0	0	5	0	4	0	0	3	71	0	75	0	0	0	11	11	0	0	0	20	11	1	5	1	11	0	0
14540	40577	"Alpi di Robièi Val Bavona"	46.445	8.51833	355	"AWI"	355	6112	6942	6530	17	0	0	0	0	35	0	0	0	30	0	1	0	0	0	25	55	0	0	0	1	4	0	1	0	0	0	3	0	0	0	0	2	68	0	115	0	0	0	7	14	0	0	0	43	12	2	11	0	29	0	0
