"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Lamiaceae"	"Larix"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3312	4299	"Nemino"	62.75	34.58333	40	"AWI"	40	1041	2338	1710	4	0	0	0	0	4	0	0	0	1	1	8	1	6	0	0	4	80	101	0	5	0	1	0	0	3	0	0	2	0	6	4	0	0	3	0
3312	4299	"Nemino"	62.75	34.58333	55	"AWI"	55	1746	2865	2386	3	0	0	1	2	6	0	0	0	1	4	12	0	9	0	0	0	105	66	0	2	0	0	0	2	5	0	1	0	0	4	2	0	0	3	0
3312	4299	"Nemino"	62.75	34.58333	65	"AWI"	65	2309	3150	2821	0	0	1	0	1	6	0	1	0	0	3	18	2	8	0	0	1	50	75	0	2	0	0	2	1	5	0	2	0	0	4	1	0	0	4	0
3312	4299	"Nemino"	62.75	34.58333	75	"AWI"	75	2978	3498	3224	3	0	0	1	1	2	0	3	0	0	2	4	0	11	2	0	1	90	138	0	2	2	0	2	1	4	0	0	0	0	6	3	0	1	2	0
3312	4299	"Nemino"	62.75	34.58333	85	"AWI"	85	3217	4018	3575	3	0	2	0	1	2	0	0	1	0	3	3	3	11	0	0	0	65	78	0	1	0	0	2	0	7	0	0	0	0	8	1	0	1	5	0
3312	4299	"Nemino"	62.75	34.58333	95	"AWI"	95	3517	4388	3950	0	0	1	0	0	4	0	2	0	0	0	11	0	6	1	0	0	58	59	0	5	0	0	1	0	3	0	1	0	0	4	1	0	0	2	0
3312	4299	"Nemino"	62.75	34.58333	105	"AWI"	105	3889	4690	4322	0	32	0	1	0	2	0	0	2	1	0	7	0	3	0	0	0	59	111	0	3	0	0	2	0	2	0	0	0	1	0	1	0	0	1	0
3312	4299	"Nemino"	62.75	34.58333	115	"AWI"	115	4382	4922	4674	0	0	1	1	2	2	0	1	0	1	1	4	0	4	0	0	0	80	100	0	2	0	0	5	0	7	0	1	0	1	4	1	1	0	0	0
3312	4299	"Nemino"	62.75	34.58333	125	"AWI"	125	4706	5191	4960	0	0	0	0	0	5	0	1	0	0	3	2	2	5	0	0	0	35	59	0	1	0	0	2	0	5	0	0	0	0	1	3	0	0	1	0
3312	4299	"Nemino"	62.75	34.58333	135	"AWI"	135	4966	5483	5227	0	0	0	1	0	4	0	2	0	0	1	2	0	15	0	0	1	21	34	0	4	0	0	6	1	12	0	0	0	0	15	0	0	0	1	0
3312	4299	"Nemino"	62.75	34.58333	145	"AWI"	145	5168	6067	5537	1	0	0	0	0	1	0	0	0	0	1	2	0	5	0	0	0	51	65	0	1	0	0	1	1	4	0	0	0	0	11	0	0	0	1	0
3312	4299	"Nemino"	62.75	34.58333	155	"AWI"	155	5388	6540	5859	0	0	0	1	0	0	0	0	0	0	0	1	0	9	0	0	0	31	35	0	1	0	0	1	0	4	0	1	0	0	4	0	0	0	1	0
3312	4299	"Nemino"	62.75	34.58333	160	"AWI"	160	5492	6762	6018	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	20	7	0	2	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0
3312	4299	"Nemino"	62.75	34.58333	175	"AWI"	175	5839	7411	6504	0	0	0	0	0	0	0	1	0	0	1	0	0	5	0	0	0	22	54	0	1	0	0	1	0	10	0	0	0	0	1	0	2	0	1	0
3312	4299	"Nemino"	62.75	34.58333	180	"AWI"	180	5961	7632	6669	2	0	0	0	1	0	0	0	0	0	1	0	0	11	0	0	0	40	88	0	0	0	0	2	0	6	0	0	0	0	4	0	0	0	2	0
3312	4299	"Nemino"	62.75	34.58333	185	"AWI"	185	6088	7813	6839	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	62	92	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0
3312	4299	"Nemino"	62.75	34.58333	190	"AWI"	190	6218	8009	7000	2	0	0	1	0	3	0	0	0	0	4	11	0	10	0	0	0	75	126	0	4	1	0	2	1	7	0	1	0	0	6	0	0	1	5	0
