"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Indeterminable"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Scrophulariaceae"	"Tilia"	"Ulmus"	"Urticaceae"
14621	22926	"Seelohe"	50.022954	11.85535	0	"AWI"	0	-125	39	-43	0	0	14	2	0	0	1	0	22	0	0	1	0	0	7	0	0	0	2	2	0	0	0	24	0	71	425	0	0	0	0	5	0	0	0	1	5	1	0	0	0	1	3
14621	22926	"Seelohe"	50.022954	11.85535	10	"AWI"	10	-52	358	82	0	1	6	3	1	0	0	0	18	5	0	0	0	1	5	5	0	0	1	1	0	1	0	16	1	73	450	0	0	0	0	9	0	0	0	1	11	2	0	0	0	2	2
14621	22926	"Seelohe"	50.022954	11.85535	20	"AWI"	20	24	574	225	24	1	13	0	0	0	5	0	33	2	0	1	1	1	22	7	0	0	44	0	0	0	0	8	6	83	350	0	0	0	0	30	0	0	0	0	12	1	0	0	0	0	0
14621	22926	"Seelohe"	50.022954	11.85535	30	"AWI"	30	109	777	372	77	1	27	0	3	0	2	0	51	0	0	0	0	0	22	10	21	0	116	1	0	6	0	5	6	115	120	0	0	0	0	36	0	0	0	3	6	2	0	0	0	2	1
14621	22926	"Seelohe"	50.022954	11.85535	40	"AWI"	40	200	980	515	160	0	17	0	0	0	3	0	45	0	1	0	0	0	27	8	0	0	66	0	0	0	0	0	11	160	70	0	0	0	0	13	0	0	0	0	1	0	0	0	0	2	2
14621	22926	"Seelohe"	50.022954	11.85535	50	"AWI"	50	294	1161	660	118	3	31	0	2	0	5	0	29	0	0	0	0	0	19	5	0	0	150	0	0	2	0	0	15	105	37	0	0	1	0	21	0	0	0	0	3	4	0	0	0	6	0
14621	22926	"Seelohe"	50.022954	11.85535	60	"AWI"	60	399	1330	806	105	0	29	1	0	0	4	0	16	0	0	0	0	0	9	2	0	0	125	0	0	1	0	0	43	154	44	0	0	0	1	19	0	0	0	0	0	1	0	0	0	3	1
14621	22926	"Seelohe"	50.022954	11.85535	70	"AWI"	70	517	1492	952	117	3	59	0	0	0	0	0	26	0	0	0	0	0	32	1	0	0	150	4	0	4	0	0	45	89	52	0	0	0	0	25	0	0	0	0	0	0	0	0	3	3	0
14621	22926	"Seelohe"	50.022954	11.85535	80	"AWI"	80	635	1657	1095	80	1	52	0	0	0	1	0	41	0	0	0	0	0	25	1	0	0	205	1	0	2	0	0	33	75	29	0	0	0	0	22	0	0	0	0	0	0	0	0	0	1	0
14621	22926	"Seelohe"	50.022954	11.85535	90	"AWI"	90	756	1815	1244	114	1	37	1	0	0	2	0	12	0	0	0	0	0	24	2	0	0	187	2	0	1	0	0	29	115	40	0	0	1	0	22	0	0	0	0	2	1	0	1	0	1	0
