"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
14557	22822	"Kružlová"	49.36417	21.58361	2.5	"AWI"	2.5	-111	68	-22.5	0	1	2	3	0	0	2	0	26	2	0	0	0	0	2	4	0	0	5	0	0	0	0	0	1	0	0	0	0	0	2	0	4	147	0	0	0	4	0	0	9	0	0	1	0	54	0	0	0	0	0	0	0
14557	22822	"Kružlová"	49.36417	21.58361	12.5	"AWI"	12.5	-53.5	302	72.5	0	0	4	4	2	0	0	0	32	0	0	0	0	0	2	16	0	0	24	0	0	0	0	0	2	0	0	0	0	0	2	0	4	131	0	0	0	4	0	0	6	0	0	0	0	24	0	0	0	0	0	0	0
14557	22822	"Kružlová"	49.36417	21.58361	22.5	"AWI"	22.5	12	446	180.5	1	0	5	5	0	0	1	0	16	0	0	0	0	0	7	2	0	0	12	0	0	0	0	0	3	0	0	0	0	0	4	0	1	92	0	0	0	0	0	0	7	0	0	1	0	9	0	0	0	0	1	0	0
14557	22822	"Kružlová"	49.36417	21.58361	32.5	"AWI"	32.5	87	572.5	291.5	7	1	7	1	2	0	0	0	64	1	0	0	0	0	10	60	0	0	53	0	0	0	0	1	21	0	0	0	0	0	5	0	0	134	0	0	0	2	0	0	15	0	0	3	0	16	0	0	0	0	0	1	1
14557	22822	"Kružlová"	49.36417	21.58361	42.5	"AWI"	42.5	171	682.5	401	9	0	11	3	1	0	3	0	87	3	0	0	0	0	20	245	0	0	41	0	0	0	0	0	59	0	0	2	0	0	4	0	9	52	0	0	0	0	0	1	26	0	0	13	5	9	0	0	0	0	1	1	1
14557	22822	"Kružlová"	49.36417	21.58361	52.5	"AWI"	52.5	274	788.5	509.5	9	0	17	12	2	0	2	0	83	6	0	0	0	0	8	235	0	0	28	0	0	0	0	0	51	0	0	9	2	0	2	0	3	71	0	0	0	2	0	0	23	0	0	12	0	2	0	0	0	2	1	1	2
14557	22822	"Kružlová"	49.36417	21.58361	62.5	"AWI"	62.5	397	887	617	6	0	7	2	0	0	1	0	19	2	0	0	0	0	3	72	0	0	71	0	0	0	0	0	46	0	0	0	0	0	2	0	0	65	0	0	0	7	0	0	16	0	3	5	5	2	0	0	0	0	0	1	8
14557	22822	"Kružlová"	49.36417	21.58361	70	"AWI"	70	484	979	695	9	0	14	2	10	0	9	0	19	1	0	0	0	0	18	613	0	0	154	0	0	0	0	0	19	0	0	2	0	0	4	0	0	89	0	0	0	13	0	0	29	0	0	10	0	1	1	0	0	26	0	0	3
14557	22822	"Kružlová"	49.36417	21.58361	77.5	"AWI"	77.5	615	1078.5	799.5	63	0	33	1	10	0	6	0	31	2	0	0	0	0	46	523	0	0	96	0	0	0	3	0	4	0	1	4	0	0	10	0	6	128	0	0	5	26	0	0	41	0	0	16	0	6	1	0	0	55	8	3	2
14557	22822	"Kružlová"	49.36417	21.58361	87.5	"AWI"	87.5	753.5	1316.5	1014	96	0	30	3	4	0	10	0	20	3	0	2	6	0	49	697	0	0	120	0	1	0	0	1	3	0	0	10	0	0	17	0	3	116	0	0	0	0	1	0	22	0	0	27	0	5	0	1	0	0	22	6	1
