"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Ilex"	"Iridaceae"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Onagraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"
10529	16217	"Lough Moynagh"	53.819506	-6.769384	60	"AWI"	60	-33	336	118	19	0	1	0	0	0	3	0	0	0	3	1	0	17	81	4	0	0	0	0	1	2	0	0	0	0	0	0	0	0	14	128	0	0	1	15	0	2	0	4	0	0	0	0	1	4	0
10529	16217	"Lough Moynagh"	53.819506	-6.769384	70	"AWI"	70	-14	391	149	12	0	0	0	0	0	6	0	1	0	1	0	0	13	67	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	143	0	0	5	8	0	2	1	4	2	0	0	0	0	2	0
10529	16217	"Lough Moynagh"	53.819506	-6.769384	80	"AWI"	80	13	427	182	16	0	1	0	0	0	6	0	0	0	2	0	0	23	54	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	162	0	0	3	8	0	3	1	11	3	0	0	0	1	0	0
10529	16217	"Lough Moynagh"	53.819506	-6.769384	90	"AWI"	90	31	480	215	12	0	1	0	0	0	2	1	0	0	0	0	0	22	65	1	0	0	0	0	0	3	2	0	0	0	1	0	0	0	5	159	0	0	8	3	0	3	1	5	4	0	0	0	1	0	0
10529	16217	"Lough Moynagh"	53.819506	-6.769384	100	"AWI"	100	61	511	248	12	0	2	0	0	0	2	2	0	0	2	0	0	26	59	2	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	151	0	0	2	5	0	2	0	0	3	0	0	0	3	0	0
10529	16217	"Lough Moynagh"	53.819506	-6.769384	110	"AWI"	110	81	551	282	6	0	0	0	0	0	7	3	0	0	0	0	0	21	50	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	185	0	0	13	3	0	5	1	3	1	0	0	0	0	0	0
10529	16217	"Lough Moynagh"	53.819506	-6.769384	120	"AWI"	120	108	590	316	10	0	2	0	1	0	9	1	0	0	2	0	0	88	37	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	7	129	0	0	7	8	0	2	2	6	3	0	0	0	3	4	0
10529	16217	"Lough Moynagh"	53.819506	-6.769384	130	"AWI"	130	132	627	348	16	0	1	2	3	0	3	2	6	0	0	0	0	22	58	3	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	173	0	0	13	8	0	3	0	14	2	0	0	0	2	1	0
10529	16217	"Lough Moynagh"	53.819506	-6.769384	140	"AWI"	140	156	667	379	9	0	1	0	3	0	6	0	0	0	1	0	0	28	44	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	145	0	0	5	7	0	2	0	8	2	0	0	0	1	0	0
10529	16217	"Lough Moynagh"	53.819506	-6.769384	150	"AWI"	150	181	707	412	8	0	3	1	0	0	3	1	0	0	1	0	0	30	27	6	0	0	2	1	0	2	0	0	0	0	0	0	0	1	10	0	0	0	4	9	0	3	0	4	5	0	0	0	0	1	0
