"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juglans"	"Juniperus"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
14533	22773	"Gamperfin"	47.17139	9.38111	4	"AWI"	4	-71	341	97	6.00706713780919	0	7.24381625441696	0.176678445229682	0.353356890459364	0.176678445229682	0.706713780918728	0	1.59010600706714	0.176678445229682	0	0	0	0	4.24028268551237	8.12720848056537	0	0	0	0	0	9.89399293286219	1.06007067137809	0	0	0	0	0	0.176678445229682	29.6819787985866	22.9681978798587	0	0	2.65017667844523	2.29681978798587	0	0	0.530035335689046	0.530035335689046	0	0	0	0.176678445229682	1.23674911660777	0	0
14533	22773	"Gamperfin"	47.17139	9.38111	9	"AWI"	9	-37	834	295	2.80210157618214	0.175131348511384	3.67775831873905	0	0.350262697022767	0	0.525394045534151	0	2.97723292469352	0.350262697022767	0	0	0	0	1.0507880910683	4.55341506129597	0	0	1.40105078809107	0	0	6.83012259194396	0.175131348511384	0	0	1.40105078809107	0	0	2.27670753064799	11.2084063047285	47.6357267950963	4.37828371278459	0	2.80210157618214	4.72854640980736	0	0	0	0.350262697022767	0	0	0	0	0.175131348511384	0.175131348511384	0
14533	22773	"Gamperfin"	47.17139	9.38111	14	"AWI"	14	119	1019	521	1.94805194805195	0	11.3636363636364	0.162337662337662	0.324675324675325	0	0.324675324675325	0	4.38311688311688	0.324675324675325	0	0	0	0	2.27272727272727	4.05844155844156	0	0	0	0	0	11.2012987012987	0.162337662337662	0	0	2.43506493506494	0	0	1.94805194805195	12.987012987013	9.25324675324675	5.03246753246753	23.3766233766234	1.78571428571429	3.8961038961039	0	0.162337662337662	0.649350649350649	0.974025974025974	0	0	0.162337662337662	0	0.487012987012987	0.324675324675325	0
14533	22773	"Gamperfin"	47.17139	9.38111	24	"AWI"	24	555	1314	964	10.9118086696562	0	11.6591928251121	0	0.448430493273543	0	0.747384155455904	0	1.49476831091181	0.298953662182362	0	0	0	0	4.48430493273543	6.72645739910314	0	0	0	0	0	20.9267563527653	0.896860986547085	0	0	0.747384155455904	0	0	1.34529147982063	26.3079222720478	6.2780269058296	0.298953662182362	0	2.24215246636771	2.39162929745889	0	0	0.298953662182362	0	0	0	0.149476831091181	0	0.747384155455904	0.597907324364723	0
14533	22773	"Gamperfin"	47.17139	9.38111	34	"AWI"	34	965	1528	1325	8.58652575957728	0	19.1545574636724	0	0.132100396301189	0	0	0	1.1889035667107	0.132100396301189	0	0	0	0	3.96301188903567	3.17040951122853	0	0	0	0	0	26.8163804491413	2.64200792602378	0	0	0.132100396301189	0	0	2.11360634081902	23.1175693527081	4.09511228533686	0	0	3.03830911492734	1.1889035667107	0	0	0.132100396301189	0.132100396301189	0	0	0	0.132100396301189	0.132100396301189	0	0
14533	22773	"Gamperfin"	47.17139	9.38111	44	"AWI"	44	1123	1811	1483	8.59649122807018	0	14.9122807017544	0	0.175438596491228	0	0.175438596491228	0	1.2280701754386	0	0	0	0	0	2.45614035087719	3.68421052631579	0	0	0	0	0	30.3508771929825	0.350877192982456	0	0	0	0	0	0.701754385964912	18.2456140350877	9.64912280701754	0	0	0.175438596491228	7.36842105263158	0	0	0.350877192982456	0.175438596491228	0	0	0.175438596491228	0	0.175438596491228	1.05263157894737	0
14533	22773	"Gamperfin"	47.17139	9.38111	54	"AWI"	54	1281	2016	1634	4.19790104947526	0	12.743628185907	0	0.449775112443778	0	0.449775112443778	0	2.54872563718141	0	0	0	0	0	4.047976011994	7.79610194902549	0	0	0	0	0	26.9865067466267	0	0	0	0	0	0	2.39880059970015	20.0899550224888	10.0449775112444	0	0	0.449775112443778	5.99700149925037	0	0	0.449775112443778	0	0	0	0	0	0.599700149925038	0.749625187406297	0
14533	22773	"Gamperfin"	47.17139	9.38111	64	"AWI"	64	1432	2208	1787	4.48369565217391	0	16.7119565217391	0	0	0	0	0	3.125	0	0	0	0	0	6.79347826086956	5.70652173913043	0	0	0	0	0	27.7173913043478	0.543478260869565	0	0	0	0	0	2.98913043478261	20.9239130434783	3.125	0	0	0.135869565217391	5.57065217391304	0	0	0	0.135869565217391	0	0	0	0	0.951086956521739	1.08695652173913	0
14533	22773	"Gamperfin"	47.17139	9.38111	74	"AWI"	74	1585	2408	1935	11.6057233704293	0	14.785373608903	0	0.317965023847377	0	0.635930047694754	0	0.95389507154213	0	0	0	0	0	3.17965023847377	16.5341812400636	0	0	0	0	0	19.39586645469	0.794912559618442	0	0	0	0	0	0.635930047694754	18.2829888712242	7.79014308426073	0	0	0.476947535771065	3.49761526232114	0	0.158982511923688	0	0.158982511923688	0	0	0	0	0.476947535771065	0.317965023847377	0
14533	22773	"Gamperfin"	47.17139	9.38111	84	"AWI"	84	1778	2576	2080	11.6322701688555	0.187617260787992	15.5722326454034	0	0.187617260787992	0	0	0	4.50281425891182	0	0	0	0	0	5.0656660412758	8.81801125703565	0	0	0	0	0	18.9493433395872	0.75046904315197	0	0	0	0	0	1.68855534709193	16.5103189493433	6.37898686679174	0	0	0.75046904315197	6.75422138836773	0	0.187617260787992	0	0.375234521575985	0	0.187617260787992	0	0	1.31332082551595	0.187617260787992	0
