"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Hypericaceae"	"Ilex"	"Lamiaceae"	"Lythraceae"	"Myrica"	"Nartheciaceae"	"Orobanchaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
3034	3951	"Saint Michel de Braspart"	48.41667	-3.66667	30	"AWI"	30	3122	3793	3482	0	195	3	3	4	3	0	42	0	0	0	0	532	739	0	269	0	0	4	1	10	1	0	0	0	0	0	7	1	3	0	0	0	337	1	0	0	3	8	3	0	0	0	1	0	0	9	6	0	0
3034	3951	"Saint Michel de Braspart"	48.41667	-3.66667	35	"AWI"	35	3276	3913	3616	0	281	5	1	6	0	0	67	0	0	0	0	859	780	0	466	0	0	5	1	11	0	0	0	0	0	0	0	1	3	47	0	0	368	0	0	0	4	7	2	0	0	0	1	0	0	14	2	0	0
3034	3951	"Saint Michel de Braspart"	48.41667	-3.66667	40	"AWI"	40	3443	4025	3750	0	179	1	0	2	0	0	51	0	0	0	0	439	329	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	3	0	0	0	301	1	0	0	1	2	0	0	0	0	1	0	2	3	0	0	0
3034	3951	"Saint Michel de Braspart"	48.41667	-3.66667	45	"AWI"	45	3605	4151	3881	0	242	1	0	2	1	0	95	0	1	0	0	448	265	0	0	0	0	0	0	11	0	2	0	0	0	0	0	1	0	0	0	0	352	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0
3034	3951	"Saint Michel de Braspart"	48.41667	-3.66667	50	"AWI"	50	3776	4263	4016	0	225	0	0	3	0	0	92	0	0	0	0	303	169	0	239	0	0	3	0	3	0	0	0	0	0	0	0	0	1	0	0	0	432	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0
3034	3951	"Saint Michel de Braspart"	48.41667	-3.66667	55	"AWI"	55	3941	4380	4146	0	141	1	0	5	0	0	32	0	0	0	0	320	136	0	123	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	397	1	0	0	0	2	0	0	0	0	1	0	3	0	0	0	0
3034	3951	"Saint Michel de Braspart"	48.41667	-3.66667	60	"AWI"	60	4064	4528	4281	0	227	0	0	2	0	0	143	0	0	0	0	335	205	0	281	0	0	1	0	12	0	1	0	0	0	0	0	0	4	0	167	0	387	0	0	0	1	2	0	0	0	0	16	0	0	17	0	0	0
3034	3951	"Saint Michel de Braspart"	48.41667	-3.66667	65	"AWI"	65	4178	4677	4416	0	354	0	3	2	0	2	360	0	0	0	0	401	148	0	334	0	0	0	0	22	0	0	1	0	0	0	0	15	1	0	639	0	565	0	0	0	1	5	1	0	0	1	16	0	0	35	0	0	0
3034	3951	"Saint Michel de Braspart"	48.41667	-3.66667	70	"AWI"	70	4297	4821	4552	0	147	1	0	3	0	0	154	0	0	0	0	333	111	0	523	0	0	0	0	13	0	0	2	0	0	0	0	1	3	0	0	0	390	0	0	0	0	3	0	0	0	0	3	0	1	10	0	0	0
3034	3951	"Saint Michel de Braspart"	48.41667	-3.66667	75	"AWI"	75	4427	4958	4686	0	138	0	0	4	0	0	96	0	0	0	0	542	176	1	423	0	0	0	0	7	0	0	0	0	0	0	0	0	3	0	0	0	309	0	0	0	1	1	0	0	0	0	3	0	1	8	2	0	0
