"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Iridaceae"	"Juniperus"	"Lamiaceae"	"Lentibulariaceae"	"Ligustrum"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
2986	3890	"Åsbotorpsjön"	58.40981	13.81996	848	"AWI"	848	8743	9700	9454	13	0	0	0	0	430	4	0	0	0	0	1	0	126	30	0	0	0	0	0	0	1	2	0	0	0	5	0	0	0	0	0	1	16	440	0	63	6	0	0	0	0	0	0	40	0	0	0	2	1	0	7	3	0
2986	3890	"Åsbotorpsjön"	58.40981	13.81996	850	"AWI"	850	9036	9761	9549	10	0	0	11	0	481	8	0	0	0	0	0	0	156	48	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	491	0	41	4	0	6	0	0	3	2	12	0	0	0	0	0	0	8	2	0
2986	3890	"Åsbotorpsjön"	58.40981	13.81996	852	"AWI"	852	9192	9881	9645	6	0	0	0	0	371	3	4	0	0	0	0	0	143	46	0	0	0	0	0	0	0	7	0	2	0	4	0	0	0	0	0	0	0	431	0	67	3	0	2	0	0	0	0	22	0	0	0	3	0	0	14	3	0
2986	3890	"Åsbotorpsjön"	58.40981	13.81996	854	"AWI"	854	9307	10003	9719	7	0	0	0	0	486	18	0	0	0	0	0	0	213	42	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	1	0	0	0	486	0	84	2	0	13	0	0	0	3	42	0	0	0	2	0	0	6	0	0
2986	3890	"Åsbotorpsjön"	58.40981	13.81996	856	"AWI"	856	9412	10057	9783	0	0	0	0	0	555	0	0	0	0	0	0	0	291	72	0	0	0	0	0	0	0	3	0	0	0	7	0	0	0	0	0	3	0	549	0	37	2	0	16	0	0	0	0	16	0	0	0	2	0	0	22	7	0
2986	3890	"Åsbotorpsjön"	58.40981	13.81996	858	"AWI"	858	9482	10137	9849	6	0	0	2	0	505	6	0	0	0	0	0	0	154	23	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	525	0	21	0	0	0	0	0	0	0	19	0	0	0	0	0	0	4	0	0
2986	3890	"Åsbotorpsjön"	58.40981	13.81996	860	"AWI"	860	9589	10175	9917	0	0	0	0	0	332	3	0	0	3	0	0	0	127	64	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	436	0	54	3	0	2	2	0	0	0	7	0	0	0	0	0	0	6	0	0
2986	3890	"Åsbotorpsjön"	58.40981	13.81996	862	"AWI"	862	9668	10228	9991	1	0	0	2	0	392	3	2	0	0	0	0	0	152	58	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	610	0	52	2	0	5	0	0	0	7	28	0	0	0	0	0	0	3	0	0
2986	3890	"Åsbotorpsjön"	58.40981	13.81996	864	"AWI"	864	9760	10286	10059	0	0	0	0	0	0	0	0	0	0	0	0	0	85	58	0	0	0	0	0	0	0	3	0	0	0	11	0	0	0	0	0	6	0	550	0	39	4	0	3	0	0	0	1	7	0	0	0	3	0	0	1	0	0
2986	3890	"Åsbotorpsjön"	58.40981	13.81996	866	"AWI"	866	9844	10343	10137	0	0	0	8	0	382	6	0	0	0	0	0	0	106	49	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	1	0	1	0	570	0	45	12	0	2	0	0	0	8	31	0	0	2	6	0	0	2	3	0
2986	3890	"Åsbotorpsjön"	58.40981	13.81996	868	"AWI"	868	9907	10433	10198	0	0	0	0	0	378	0	1	0	0	3	0	0	28	37	0	0	0	0	0	0	0	7	0	0	0	15	0	0	0	0	0	1	0	526	0	40	2	0	6	0	0	0	0	15	0	0	0	0	0	0	2	0	0
2986	3890	"Åsbotorpsjön"	58.40981	13.81996	870	"AWI"	870	9994	10486	10250	1	0	0	2	0	418	1	2	0	0	0	0	0	45	36	0	1	0	1	0	0	0	8	0	0	0	17	0	0	0	0	0	0	0	704	0	32	2	0	4	0	0	0	9	16	0	0	0	2	3	0	7	1	1
2986	3890	"Åsbotorpsjön"	58.40981	13.81996	872	"AWI"	872	10047	10559	10304	1	0	0	2	0	357	2	2	0	0	0	0	0	37	56	0	0	0	0	0	0	0	4	0	0	0	7	0	0	0	0	0	0	0	289	0	58	3	0	0	0	0	4	1	26	0	0	0	0	0	0	1	3	0
