"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
26905	47027	"Fuldera-Palü Lunga"	46.61469	10.34647	90	"AWI"	90	2900	4603	3965	1	54	0	0	4	0	10	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	1	0	0	193	0	0	0	0	0	0	12	0	0	0	0	7	1	0	0	0	0	0	2	0	0
26905	47027	"Fuldera-Palü Lunga"	46.61469	10.34647	96	"AWI"	96	3835	4699	4329	3	19	0	0	4	0	5	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	241	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
26905	47027	"Fuldera-Palü Lunga"	46.61469	10.34647	102	"AWI"	102	4385	4867	4649	1	7	0	0	0	0	7	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	0	170	43	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
26905	47027	"Fuldera-Palü Lunga"	46.61469	10.34647	108	"AWI"	108	4581	5142	4849	1	11	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	155	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
26905	47027	"Fuldera-Palü Lunga"	46.61469	10.34647	112	"AWI"	112	4665	5339	4958	1	13	0	0	0	0	9	0	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	1	0	0	1	0	0
26905	47027	"Fuldera-Palü Lunga"	46.61469	10.34647	114	"AWI"	114	4705	5380	5007	0	228	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26905	47027	"Fuldera-Palü Lunga"	46.61469	10.34647	116	"AWI"	116	4734	5422	5058	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26905	47027	"Fuldera-Palü Lunga"	46.61469	10.34647	120	"AWI"	120	4784	5579	5144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26905	47027	"Fuldera-Palü Lunga"	46.61469	10.34647	126	"AWI"	126	4931	5660	5297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26905	47027	"Fuldera-Palü Lunga"	46.61469	10.34647	132	"AWI"	132	5085	5778	5449	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26905	47027	"Fuldera-Palü Lunga"	46.61469	10.34647	138	"AWI"	138	5267	5863	5609	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	72	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0
26905	47027	"Fuldera-Palü Lunga"	46.61469	10.34647	144	"AWI"	144	5557	5972	5756	0	9	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	50	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26905	47027	"Fuldera-Palü Lunga"	46.61469	10.34647	150	"AWI"	150	5724	6184	5921	0	11	0	0	3	0	12	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	4	0	0	0	172	0	0	0	0	0	0	6	0	0	1	1	0	0	0	0	1	0	1	1	0	0
