"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Olea"	"Onagraceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
14513	22732	"Lac de Villa"	45.68554	7.69021	535	"AWI"	535	14632	15613	15141	0	0	0	0.65359477124183	1.30718954248366	0	52.6143790849673	0	8.16993464052288	0.980392156862745	0	0	3.59477124183007	0	0.65359477124183	0	0	3.59477124183007	0.326797385620915	0.65359477124183	0	0.326797385620915	0	0	0	0	0	0	0	16.3398692810458	0	0	0	0	0	0	0	0	0	0	0	1.30718954248366	0	0	0	0	0	0	0.326797385620915	0	1.63398692810458	1.63398692810458	2.28758169934641	0	0	0	1.63398692810458	0	1.63398692810458	0	0	0.326797385620915	0
14513	22732	"Lac de Villa"	45.68554	7.69021	537	"AWI"	537	14657	15645	15169	0	0	0	3.24675324675325	1.2987012987013	0	45.4545454545455	0	7.14285714285714	0.649350649350649	0	0	4.54545454545455	0	0	0	0	7.79220779220779	3.8961038961039	0	0	0	0	0	0	0.649350649350649	0	0	0	16.2337662337662	0	0	0	0	0	0	0	0	0	0	0	1.2987012987013	0	0	0	0	1.2987012987013	0	0	0	1.94805194805195	1.94805194805195	1.2987012987013	0	0	0	0.649350649350649	0	0.649350649350649	0	0	0	0
14513	22732	"Lac de Villa"	45.68554	7.69021	540	"AWI"	540	14692	15694	15214	0	0	0	1.74825174825175	1.74825174825175	0	43.7062937062937	0	1.3986013986014	11.5384615384615	0	0	5.24475524475525	0	0	0	0	3.84615384615385	0	3.84615384615385	0	0.34965034965035	0	0	0.699300699300699	0	0	0	0	14.3356643356643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34965034965035	0.699300699300699	0	0	0	3.14685314685315	4.1958041958042	0.34965034965035	0	0	0	0.34965034965035	0	2.0979020979021	0	0	0.34965034965035	0
14513	22732	"Lac de Villa"	45.68554	7.69021	542	"AWI"	542	14707	15746	15245	0	0	0	3.82775119617225	1.43540669856459	0	48.8038277511962	0	5.74162679425837	0.478468899521531	0	0	2.39234449760766	0	0.478468899521531	0	0	6.2200956937799	3.82775119617225	0.956937799043062	0	0	0	0	0	0	0	0	0	17.2248803827751	0	0	0.478468899521531	0	0	0	0	0	0	0	0	0	0.478468899521531	0	0	0	0	0	0	0	2.39234449760766	2.39234449760766	1.91387559808612	0	0	0	0	0	0.956937799043062	0	0	0	0
14513	22732	"Lac de Villa"	45.68554	7.69021	545	"AWI"	545	14744	15823	15286	1.04166666666667	0	0	7.29166666666667	2.08333333333333	0	38.5416666666667	0	26.0416666666667	0	0	0	0	0	0	0	0	3.125	8.33333333333333	0	0	0	0	0	0	0	0	0	0	8.33333333333333	0	1.04166666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04166666666667	0	0	0	2.08333333333333	0	1.04166666666667	0	0	0	0	0	0	0	0	0	0
14513	22732	"Lac de Villa"	45.68554	7.69021	550	"AWI"	550	14780	15978	15352	0	0	0	10.8974358974359	3.84615384615385	0	48.7179487179487	0	11.5384615384615	0	0	0	0.641025641025641	0	2.56410256410256	0.641025641025641	0	2.56410256410256	0	0.641025641025641	0	0	0	0	0	0	0	0	0	5.12820512820513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.92307692307692	0	2.56410256410256	0	1.28205128205128	1.28205128205128	0	0	0	0	1.28205128205128	0	2.56410256410256	0.641025641025641	0	1.28205128205128	0
14513	22732	"Lac de Villa"	45.68554	7.69021	555	"AWI"	555	14847	16074	15422	0	0	0	11.7903930131004	4.80349344978166	0	61.5720524017467	0	3.93013100436681	0.873362445414847	0	0	0	0	0.436681222707424	0	0	2.18340611353712	2.18340611353712	1.31004366812227	0	0	0	0	0	0	0	0	0	2.62008733624454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.74672489082969	0	3.49344978165939	1.31004366812227	0	0	0	0	0	0	1.74672489082969	0	0	0	0
14513	22732	"Lac de Villa"	45.68554	7.69021	560	"AWI"	560	14905	16178	15492	0	0	0	6.31067961165049	21.3592233009709	0	61.1650485436893	0	2.9126213592233	0	0	0	0.485436893203883	0	0.970873786407767	0	0	0	0.485436893203883	1.45631067961165	0	0	0	0	0	0	0	0	0	0.485436893203883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94174757281553	0.970873786407767	0	0	0	0	0.485436893203883	0	0.970873786407767	0	0	0	0
14513	22732	"Lac de Villa"	45.68554	7.69021	570	"AWI"	570	15001	16511	15632	0	0	0	12.1457489878543	1.61943319838057	0	57.4898785425101	0	8.50202429149797	0.809716599190283	0	0	2.02429149797571	0	0	0	0	0.809716599190283	0.404858299595142	4.45344129554656	0	0	0	0	0	0.404858299595142	0	0	0	3.23886639676113	0	0	0	0	0	0	1.21457489878543	0	0	0	0	0	0	0	0	0	0	0	0.809716599190283	0	1.61943319838057	0.404858299595142	0.404858299595142	0	0	0	0	0	3.64372469635628	0	0	0	0
14513	22732	"Lac de Villa"	45.68554	7.69021	575	"AWI"	575	15069	16610	15700	0	0	0	18.9393939393939	1.13636363636364	0	54.9242424242424	0	1.89393939393939	0	0	0	3.78787878787879	0	0.378787878787879	0	0	1.89393939393939	0.378787878787879	2.65151515151515	0	0	0	0	0	0	0	0	0	1.13636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.378787878787879	0	1.89393939393939	0	7.1969696969697	1.51515151515152	0.757575757575758	0	0	0	0	0	1.13636363636364	0	0	0	0
14513	22732	"Lac de Villa"	45.68554	7.69021	580	"AWI"	580	15114	16717	15768	0	0	0	7.26256983240224	1.67597765363128	0	72.6256983240224	0	1.67597765363128	0	0	0	0	0	0	0	0	3.35195530726257	1.11731843575419	0.558659217877095	0	0	0	0	0	0	0	0	0	1.67597765363128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.67597765363128	0	4.46927374301676	1.67597765363128	0	0	0	0	0	0	2.23463687150838	0	0	0	0
14513	22732	"Lac de Villa"	45.68554	7.69021	584	"AWI"	584	15146	16805	15825	0	0	0	10.4417670682731	2.40963855421687	0	71.0843373493976	0	2.00803212851406	0	0	0	1.20481927710843	0	0.803212851405622	0	0	2.00803212851406	0.401606425702811	3.21285140562249	0	0	0	0	0	0	0	0	0	2.40963855421687	0	0	0	0	0	0	0	0	0	0.401606425702811	0	0	0	0	0	0	0	0	0	0	2.00803212851406	0.803212851405622	0	0	0	0	0	0	0.803212851405622	0	0	0	0
14513	22732	"Lac de Villa"	45.68554	7.69021	590	"AWI"	590	15212	16963	15909	0	0	0	11.8055555555556	1.38888888888889	0	67.7083333333333	0	3.125	0.347222222222222	0.347222222222222	0	0.347222222222222	0	1.04166666666667	0	0	1.73611111111111	0	1.04166666666667	0	0	0	0	0	0	0	0	0	3.125	0.347222222222222	0	0	0	0	0	0	0	0	0	0	2.08333333333333	0	0	0	0	1.04166666666667	0	0.694444444444444	0	0.694444444444444	0.694444444444444	0	0	0	0	0	0	2.08333333333333	0	0	0.347222222222222	0
14513	22732	"Lac de Villa"	45.68554	7.69021	595	"AWI"	595	15266	17058	15982	0	0	0	7.42049469964664	2.12014134275618	0	60.4240282685512	0	6.00706713780919	0	0	0	0	0	1.06007067137809	0	0	4.9469964664311	1.76678445229682	1.76678445229682	0	0	0	0	0	0	0	0	0	5.30035335689046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06007067137809	0	2.47349823321555	1.41342756183746	0.353356890459364	0	0	0	0	0	3.886925795053	0	0	0	0
14513	22732	"Lac de Villa"	45.68554	7.69021	600	"AWI"	600	15323	17150	16051	0	0	0	14.0625	0.78125	0	50	0	3.90625	0.78125	0	0	0.78125	0	2.34375	0	0	4.6875	2.34375	8.59375	0	0	0	0	0	0	0.78125	0	0	2.34375	1.5625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78125	0	0	0	0.78125	3.125	0	0	0	0	0.78125	0	1.5625	0	0	0	0
14513	22732	"Lac de Villa"	45.68554	7.69021	610	"AWI"	610	15404	17384	16195	0	0	0	9.32203389830508	1.69491525423729	0	55.9322033898305	0	4.23728813559322	0	0	0	2.54237288135593	0	0	0	0	1.69491525423729	0	6.77966101694915	0	0	0	0	0	0	0	0	0	4.23728813559322	0.847457627118644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.23728813559322	0	1.69491525423729	0	0.847457627118644	5.93220338983051	0	0	0	0	0	0	0	0	0	0	0
14513	22732	"Lac de Villa"	45.68554	7.69021	620	"AWI"	620	15525	17591	16349	0	0	0	11.8110236220472	0.78740157480315	0	66.9291338582677	0	6.2992125984252	0	0	0	0.78740157480315	0	4.7244094488189	0	0	0.78740157480315	0	4.7244094488189	0	0	0	0	0	0	0	0	0	0.78740157480315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5748031496063	0	0	0.78740157480315	0	0	0	0	0	0	0	0	0	0	0
14513	22732	"Lac de Villa"	45.68554	7.69021	630	"AWI"	630	15609	17824	16495	0	0	0	9.35960591133005	1.47783251231527	0	71.9211822660099	0	7.38916256157635	0	0	0	1.47783251231527	0	0.985221674876847	0	0	0.985221674876847	0	1.47783251231527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.492610837438424	0	1.97044334975369	0	0.492610837438424	0.492610837438424	0	0	0	0	0	0	1.47783251231527	0	0	0	0
14513	22732	"Lac de Villa"	45.68554	7.69021	640	"AWI"	640	15717	18014	16636	0	0	0	12.3348017621145	1.76211453744493	0	67.4008810572687	0	3.52422907488987	0	0	0	0.440528634361234	0	1.3215859030837	0	0	2.20264317180617	0	5.2863436123348	0	0	0	0	0	0	0	0	0	0.440528634361234	0	0	0	0	0	0	0	0	0	0.440528634361234	0	1.3215859030837	0	0	0	0	0	0	2.20264317180617	0	0.440528634361234	0	0	0	0	0	0	0	0.881057268722467	0	0	0	0
14513	22732	"Lac de Villa"	45.68554	7.69021	650	"AWI"	650	15825	18309	16778	0	0	0	9.61538461538462	4.80769230769231	0	50	0	20.1923076923077	0.961538461538462	0	0	0	0	1.92307692307692	0.961538461538462	0	1.92307692307692	0	6.73076923076923	0	0	0	0	0	0	0	0	0	1.92307692307692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.961538461538462	0	0	0	0
14513	22732	"Lac de Villa"	45.68554	7.69021	660	"AWI"	660	15938	18446	16929	0	0	0	21.4876033057851	0.826446280991736	0	42.9752066115703	0	5.78512396694215	0.826446280991736	0	0	0.826446280991736	0	7.43801652892562	0	0	4.13223140495868	0	9.09090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.30578512396694	0	0	1.65289256198347	0	0	0	0	0	0	1.65289256198347	0	0	0	0
14513	22732	"Lac de Villa"	45.68554	7.69021	670	"AWI"	670	16038	18656	17070	0	0	0	6.77966101694915	1.69491525423729	0	62.7118644067797	0	11.864406779661	0	0	0	0	0	1.69491525423729	0	0	3.38983050847458	1.69491525423729	5.08474576271187	0	0	0	0	0	0	0	0	0	5.08474576271187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14513	22732	"Lac de Villa"	45.68554	7.69021	680	"AWI"	680	16146	18808	17212	0	0	0	13.2911392405063	3.16455696202532	0	66.4556962025316	0	1.89873417721519	0	0	0	1.26582278481013	0	0.632911392405063	0	0	3.16455696202532	0.632911392405063	1.26582278481013	0	0	0	0	0	0	0	0	0	1.26582278481013	0	0	0	0	0	0	0	0	0	0.632911392405063	0	0	0	0	0	0	0.632911392405063	0	1.89873417721519	0	1.89873417721519	0.632911392405063	0	0	0	0	0	0	0.632911392405063	0.632911392405063	0	0	0
14513	22732	"Lac de Villa"	45.68554	7.69021	690	"AWI"	690	16226	19020	17361	0	0	0	11.0497237569061	2.20994475138122	0	69.060773480663	0	2.76243093922652	0	0	0	2.20994475138122	0	0.552486187845304	0	0	0	1.10497237569061	0	0	0	0	0	0	0	0	0	0	3.31491712707182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10497237569061	0	1.65745856353591	1.10497237569061	0	0	0	0	0.552486187845304	0	3.31491712707182	0	0	0	0
