"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ephedraceae"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Grossulariaceae"	"Hypericaceae"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Loranthaceae"	"Lythraceae"	"Melanthiaceae"	"Oleaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
3212	4170	"Kupena"	41.98333	24.33333	0	"AWI"	0	-148	22	-68	8	0	1	4	0	0	0	10	0	0	11	0	2	0	3	0	0	0	2	0	1	13	0	168	0	0	0	0	22	0	2	0	1	1	0	0	5	0	0	0	0	0	0	1	0	0	9	0	8	391	0	0	0	0	0	0	23	0	0	0	0	4	0	2	0	0	0	0	1	0	3	2	0	0	1	0	0
3212	4170	"Kupena"	41.98333	24.33333	5	"AWI"	5	472	1032	772	34	0	5	12	0	0	0	15	0	0	97	0	2	0	4	0	0	0	0	0	9	15	1	305	2	1	0	0	208	0	5	0	2	1	0	0	7	0	0	0	0	0	0	0	0	0	46	0	19	241	0	0	0	0	0	0	79	0	3	0	2	1	0	0	0	0	0	1	0	0	1	3	1	4	0	0	6
3212	4170	"Kupena"	41.98333	24.33333	10	"AWI"	10	1015	2126	1611	22	0	8	1	0	0	0	19	0	0	68	0	6	0	1	0	0	0	0	0	3	21	0	249	0	0	0	0	105	6	1	0	0	3	0	3	6	0	0	0	0	0	0	0	0	0	32	0	44	222	0	0	0	0	0	0	87	0	0	0	2	2	0	1	0	0	0	0	0	0	2	4	0	0	0	0	0
3212	4170	"Kupena"	41.98333	24.33333	15	"AWI"	15	2092	4125	2994	132	0	3	1	0	0	1	13	0	0	38	0	6	0	0	0	0	0	2	0	3	81	1	134	0	1	0	0	42	11	1	0	0	2	0	0	6	0	0	1	0	0	0	0	0	0	16	0	21	92	0	0	0	0	0	0	160	0	0	0	2	1	2	1	1	0	0	1	0	0	19	23	0	0	0	0	0
3212	4170	"Kupena"	41.98333	24.33333	20	"AWI"	20	2387	7086	4338	165	1	3	3	0	0	0	22	0	0	12	0	4	0	0	0	0	0	2	0	3	51	1	152	0	4	0	0	14	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	14	0	60	84	0	0	0	0	0	0	146	0	0	0	1	2	0	3	0	0	0	0	0	0	5	37	0	0	2	0	1
3212	4170	"Kupena"	41.98333	24.33333	25	"AWI"	25	4628	7268	5737	192	0	3	1	0	0	1	6	0	0	66	0	1	0	0	0	0	0	0	0	0	73	0	199	0	1	0	0	0	37	0	1	0	1	0	0	6	0	0	0	0	0	0	0	0	0	19	0	32	55	0	0	0	0	0	0	164	0	0	0	3	2	1	0	0	0	0	0	0	2	29	56	0	0	0	0	0
3212	4170	"Kupena"	41.98333	24.33333	30	"AWI"	30	6191	7700	7227	19	2	4	3	0	0	1	14	0	0	88	0	3	0	1	0	0	0	2	0	1	82	0	168	0	0	0	0	1	39	0	0	0	0	0	0	7	0	0	5	0	0	0	0	0	0	45	0	14	54	0	0	0	0	0	0	349	0	2	0	4	0	1	0	0	0	0	0	0	1	32	66	0	0	0	0	1
3212	4170	"Kupena"	41.98333	24.33333	35	"AWI"	35	7072	7817	7528	7	1	13	5	0	0	0	7	0	0	90	0	0	1	1	0	0	0	0	0	3	76	1	176	0	4	0	0	0	39	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	36	0	8	42	0	0	0	0	0	0	322	0	1	0	8	1	1	0	0	0	0	1	0	0	50	76	0	0	0	0	0
3212	4170	"Kupena"	41.98333	24.33333	40	"AWI"	40	7484	8299	7860	1	2	5	4	0	0	5	12	0	0	49	0	1	0	0	0	0	2	0	0	1	71	0	244	0	4	0	0	0	0	0	0	0	1	0	0	18	0	0	2	0	0	0	0	0	0	48	0	5	38	0	0	1	0	0	0	344	0	1	0	2	3	0	0	0	0	0	2	0	1	31	72	1	1	0	0	0
3212	4170	"Kupena"	41.98333	24.33333	45	"AWI"	45	7670	8427	8015	1	0	9	1	0	0	3	16	0	0	27	0	1	1	0	0	0	0	1	0	4	35	0	352	1	3	0	0	1	0	0	0	0	0	0	0	8	0	0	4	0	0	2	0	0	0	20	0	1	39	0	0	3	0	0	0	472	0	5	0	11	3	3	0	0	0	0	0	0	2	42	110	0	0	0	0	0
