"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juniperus"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
26143	45379	"Lake Ruila"	59.175	24.43111	198	"AWI"	198	3624	4158	3874	0	154	0	0	1	0	0	0	0	0	0	48	10	0	0	0	1	0	0	28	1	0	0	5	99	202	0	0	0	24	0	0	0	0	0	2	0	0	10	18	0	0
26143	45379	"Lake Ruila"	59.175	24.43111	206	"AWI"	206	3771	4328	4055	1	180	1	0	5	0	0	0	0	0	0	48	2	0	0	0	0	0	0	9	0	1	0	0	123	158	0	0	0	35	0	0	0	0	0	4	0	1	21	35	0	0
26143	45379	"Lake Ruila"	59.175	24.43111	214	"AWI"	214	3956	4505	4235	0	180	1	0	2	0	0	0	0	0	0	56	7	0	0	0	0	0	0	14	2	0	0	2	81	167	0	0	0	35	0	0	0	0	0	3	1	0	10	57	0	0
26143	45379	"Lake Ruila"	59.175	24.43111	222	"AWI"	222	4158	4714	4424	2	141	1	0	4	0	0	0	0	0	0	88	2	0	0	0	1	0	0	14	1	0	0	0	209	144	0	0	1	46	0	0	0	0	0	7	0	0	28	78	0	0
26143	45379	"Lake Ruila"	59.175	24.43111	230	"AWI"	230	4299	4994	4610	0	196	0	0	2	0	0	0	0	0	0	78	5	0	0	0	0	0	0	31	0	0	0	1	144	167	0	0	0	46	0	0	0	1	0	2	0	0	20	61	0	0
26143	45379	"Lake Ruila"	59.175	24.43111	238	"AWI"	238	4445	5231	4809	0	197	0	0	1	0	0	0	0	0	0	101	3	0	0	0	0	0	0	20	0	0	0	1	53	152	0	0	0	58	1	0	0	0	0	1	0	0	19	42	0	0
26143	45379	"Lake Ruila"	59.175	24.43111	246	"AWI"	246	4645	5431	5010	1	194	2	0	1	0	0	0	0	0	0	113	13	0	0	0	0	0	0	35	3	0	0	0	85	154	0	0	0	46	0	0	0	0	0	3	0	1	38	46	0	0
26143	45379	"Lake Ruila"	59.175	24.43111	254	"AWI"	254	4837	5611	5208	1	191	0	0	5	0	0	0	0	0	0	132	4	0	0	0	0	0	0	34	0	0	0	0	77	103	0	0	0	51	0	0	0	0	0	2	0	0	39	87	0	0
26143	45379	"Lake Ruila"	59.175	24.43111	262	"AWI"	262	5029	5786	5408	0	273	2	0	4	0	0	0	0	0	0	133	16	0	0	0	0	0	0	23	2	0	0	0	67	120	0	0	0	42	1	0	0	0	1	1	0	0	39	79	0	1
26143	45379	"Lake Ruila"	59.175	24.43111	270	"AWI"	270	5344	5933	5603	0	236	0	1	2	0	0	0	0	0	0	125	4	0	0	0	0	0	0	18	0	0	0	0	60	91	0	0	0	36	1	0	0	0	0	2	0	1	56	126	0	0
26143	45379	"Lake Ruila"	59.175	24.43111	278	"AWI"	278	5628	6384	5968	1	271	0	0	0	0	0	0	0	0	0	188	17	0	0	0	0	0	0	36	0	0	0	0	6	122	0	0	0	26	0	0	0	1	0	3	0	0	49	85	0	0
26143	45379	"Lake Ruila"	59.175	24.43111	286	"AWI"	286	5941	6955	6488	0	195	0	0	4	0	0	0	0	0	0	245	3	0	0	0	0	0	0	16	0	0	0	0	2	80	0	0	0	8	0	0	0	0	0	3	0	0	40	113	0	0
26143	45379	"Lake Ruila"	59.175	24.43111	294	"AWI"	294	6648	7199	6948	0	267	1	0	4	0	0	0	0	0	0	209	17	1	0	0	0	0	0	10	1	0	0	0	6	78	0	0	0	16	1	0	0	0	0	0	0	0	52	114	0	0
26143	45379	"Lake Ruila"	59.175	24.43111	302	"AWI"	302	6908	7502	7230	0	232	0	0	3	0	0	1	0	0	0	102	4	0	0	0	0	0	0	16	1	0	0	0	5	93	0	0	0	16	0	0	0	0	0	2	0	0	57	160	0	0
26143	45379	"Lake Ruila"	59.175	24.43111	310	"AWI"	310	7139	7740	7470	0	243	0	0	3	0	0	0	0	0	0	113	3	0	0	0	0	0	0	16	0	0	0	0	4	137	0	0	0	12	0	0	0	0	1	2	0	0	33	104	0	0
26143	45379	"Lake Ruila"	59.175	24.43111	318	"AWI"	318	7574	7934	7720	1	173	0	0	1	0	0	0	0	0	0	239	3	0	0	0	0	0	1	1	0	0	0	0	1	207	0	0	0	4	0	0	0	0	0	0	0	0	11	82	0	0
26143	45379	"Lake Ruila"	59.175	24.43111	326	"AWI"	326	7746	8446	8048	0	82	0	0	2	0	0	0	0	0	0	43	6	0	0	0	0	0	0	0	0	0	0	0	3	370	0	0	0	1	0	0	0	0	0	0	0	0	1	37	0	0
26143	45379	"Lake Ruila"	59.175	24.43111	334	"AWI"	334	7966	8852	8396	0	175	0	0	2	0	0	0	0	0	0	85	7	0	0	0	0	0	0	0	0	0	0	0	3	150	0	0	0	6	0	0	0	0	0	1	0	0	0	73	0	0
26143	45379	"Lake Ruila"	59.175	24.43111	342	"AWI"	342	8349	9096	8761	0	233	0	0	3	0	0	0	0	0	0	91	6	0	0	0	0	0	0	1	0	0	0	0	2	245	0	0	0	8	0	0	0	0	0	1	0	0	3	48	0	0
26143	45379	"Lake Ruila"	59.175	24.43111	350	"AWI"	350	8913	9312	9092	0	167	0	0	1	0	0	0	0	0	1	90	5	0	0	0	0	0	0	0	0	0	0	0	0	329	0	0	0	2	0	0	0	0	0	3	0	0	1	61	0	0
26143	45379	"Lake Ruila"	59.175	24.43111	358	"AWI"	358	9131	10030	9457	0	266	0	0	7	0	0	0	0	0	0	113	4	0	0	0	0	1	0	0	0	0	0	0	0	175	0	0	0	1	0	0	0	0	0	8	0	0	0	45	0	0
26143	45379	"Lake Ruila"	59.175	24.43111	366	"AWI"	366	9415	10435	9880	0	167	0	0	4	0	0	0	0	0	0	60	7	0	0	0	0	0	0	1	0	0	0	0	1	230	0	0	0	3	0	0	0	0	0	10	0	0	0	27	0	0
26143	45379	"Lake Ruila"	59.175	24.43111	374	"AWI"	374	9757	10765	10300	0	20	0	0	0	0	642	0	0	0	0	67	15	0	0	0	0	0	0	0	0	0	0	0	2	287	0	0	0	2	0	0	0	1	0	8	0	0	1	31	0	0
26143	45379	"Lake Ruila"	59.175	24.43111	382	"AWI"	382	10234	11084	10711	0	1	1	0	2	0	434	0	0	0	0	32	15	0	0	0	0	0	0	1	0	0	0	0	1	570	0	0	0	2	0	0	0	0	0	2	0	0	0	30	0	0
26143	45379	"Lake Ruila"	59.175	24.43111	390	"AWI"	390	10413	11330	10912	0	2	1	0	2	0	449	0	0	0	0	10	18	1	0	0	0	0	0	0	0	0	0	0	0	563	0	0	0	1	0	0	0	0	2	2	0	2	0	15	0	0
26143	45379	"Lake Ruila"	59.175	24.43111	398	"AWI"	398	10616	11566	11116	0	5	0	0	6	0	554	0	0	0	0	11	11	0	1	0	0	0	0	0	1	0	0	0	3	440	0	0	0	1	0	0	0	0	0	4	0	0	0	20	0	0
26143	45379	"Lake Ruila"	59.175	24.43111	406	"AWI"	406	10792	11804	11313	0	2	0	0	3	0	564	0	0	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	469	0	0	0	0	0	0	0	0	0	3	0	0	0	11	0	0
26143	45379	"Lake Ruila"	59.175	24.43111	414	"AWI"	414	11012	11991	11522	0	0	1	0	7	0	573	0	0	0	0	0	12	0	1	0	0	0	0	0	0	0	0	0	0	431	0	0	0	0	0	0	0	0	5	12	0	0	0	7	0	0
26143	45379	"Lake Ruila"	59.175	24.43111	422	"AWI"	422	11222	12179	11729	0	1	1	0	9	0	598	0	0	0	0	6	21	0	0	0	0	0	0	0	2	0	0	0	1	442	0	0	0	0	0	0	0	0	0	8	0	0	0	3	0	0
26143	45379	"Lake Ruila"	59.175	24.43111	430	"AWI"	430	11446	12363	11936	0	0	1	0	5	0	709	0	0	0	0	1	18	2	0	0	0	0	0	0	2	0	0	1	2	247	0	0	0	0	0	0	0	0	1	53	0	2	0	6	1	0
26143	45379	"Lake Ruila"	59.175	24.43111	438	"AWI"	438	11718	12510	12138	0	0	2	1	19	0	770	0	0	0	1	2	30	45	1	0	0	0	0	0	26	0	0	0	2	164	0	0	0	0	0	0	0	0	0	23	0	0	0	1	0	0
26143	45379	"Lake Ruila"	59.175	24.43111	446	"AWI"	446	11919	12663	12347	0	0	3	0	27	0	340	0	0	0	0	0	10	8	0	0	0	0	0	0	6	0	0	0	5	240	0	0	0	1	0	0	0	0	3	9	0	0	1	1	0	0
26143	45379	"Lake Ruila"	59.175	24.43111	454	"AWI"	454	12071	13063	12562	0	2	4	0	17	0	322	0	0	0	0	0	33	5	0	0	0	0	0	0	9	0	0	0	6	327	0	0	0	0	0	0	0	1	0	14	0	1	1	1	0	0
