"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juglans"	"Larix"	"Liliaceae"	"Olea"	"Oleaceae"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Rhamnaceae"	"Rhamnus"	"Rosaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
3060	3990	"Clapeyret"	44.15028	7.24333	55	"AWI"	55	3728	4295	4013	35	0	3	1	1	0	2	0	2	0	0	0	1	0	1	0	0	37	0	0	2	0	0	0	0	0	0	0	6	0	0	0	0	8	143	1	0	5	0	9	1	0	0	0	0	0	0	0	0
3060	3990	"Clapeyret"	44.15028	7.24333	60	"AWI"	60	3826	4424	4132	31	0	2	0	0	0	2	0	0	0	0	0	1	0	7	0	0	13	0	0	1	0	0	1	0	0	0	0	3	0	0	0	0	5	150	0	0	8	0	11	1	0	1	1	0	0	0	0	0
3060	3990	"Clapeyret"	44.15028	7.24333	65	"AWI"	65	4001	4550	4270	47	0	5	0	0	0	3	0	3	0	2	0	0	0	1	0	0	12	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	6	150	0	0	6	0	3	1	0	0	0	0	0	1	0	0
3060	3990	"Clapeyret"	44.15028	7.24333	70	"AWI"	70	4073	4807	4399	36	0	2	0	2	1	1	0	4	1	0	0	0	0	3	0	0	23	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	150	0	0	4	0	8	0	0	1	1	0	0	0	1	0
3060	3990	"Clapeyret"	44.15028	7.24333	75	"AWI"	75	4236	4996	4605	53	0	3	0	1	0	0	0	3	0	0	0	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	150	0	0	7	0	3	3	0	3	0	0	0	0	0	0
3060	3990	"Clapeyret"	44.15028	7.24333	80	"AWI"	80	4324	5338	4801	54	0	5	0	0	0	0	0	7	0	0	0	0	0	1	0	1	22	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	140	2	0	13	0	13	2	0	0	0	1	0	1	0	0
3060	3990	"Clapeyret"	44.15028	7.24333	85	"AWI"	85	4583	5437	5010	43	1	1	0	0	0	0	0	4	0	0	0	0	0	3	0	0	2	0	0	3	0	0	0	0	0	0	0	7	0	0	0	0	0	180	0	0	3	0	4	0	0	1	0	0	0	0	0	0
3060	3990	"Clapeyret"	44.15028	7.24333	87	"AWI"	87	4655	5501	5106	56	0	5	0	0	0	1	3	8	0	0	0	0	0	11	0	0	18	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	8	200	0	0	9	0	12	0	0	0	0	1	0	0	0	0
3060	3990	"Clapeyret"	44.15028	7.24333	90	"AWI"	90	4743	5653	5242	40	0	4	1	1	0	3	0	9	0	0	0	3	0	5	0	0	12	0	0	1	0	0	0	0	0	0	0	4	1	0	0	0	0	170	3	0	14	0	6	2	1	2	0	0	0	0	0	0
3060	3990	"Clapeyret"	44.15028	7.24333	95	"AWI"	95	4925	5867	5422	24	0	4	0	0	0	0	0	5	0	0	0	1	0	3	2	0	15	0	0	1	0	0	1	0	0	0	0	5	0	0	0	0	1	150	1	0	9	0	4	0	0	0	0	0	1	0	0	0
3060	3990	"Clapeyret"	44.15028	7.24333	180	"AWI"	180	6961	9812	8273	55	1	5	0	1	0	1	0	41	0	1	0	5	0	10	0	0	12	0	0	4	0	0	0	0	0	0	0	18	1	0	0	0	0	150	0	0	12	0	26	2	0	3	1	0	2	4	0	0
3060	3990	"Clapeyret"	44.15028	7.24333	190	"AWI"	190	7271	10191	8611	63	0	7	0	3	0	0	0	49	0	1	0	4	0	13	0	0	8	0	1	1	1	0	0	0	1	0	0	29	2	0	0	0	0	150	1	0	16	1	22	3	0	1	2	0	8	11	0	1
3060	3990	"Clapeyret"	44.15028	7.24333	200	"AWI"	200	7560	10616	8963	6	2	1	0	2	1	0	0	40	0	3	0	1	0	7	0	0	5	0	0	3	0	0	0	0	0	0	0	15	1	0	0	0	0	200	0	0	15	0	18	0	0	2	3	0	4	9	0	0
3060	3990	"Clapeyret"	44.15028	7.24333	210	"AWI"	210	7869	11005	9313	1	1	2	0	1	1	0	0	46	0	1	0	1	0	5	0	0	5	0	0	5	0	0	0	0	0	0	0	15	0	0	0	0	0	200	0	0	19	0	18	0	0	0	0	0	2	4	0	0
3060	3990	"Clapeyret"	44.15028	7.24333	220	"AWI"	220	8154	11351	9645	0	0	5	0	0	0	2	0	42	1	0	0	0	0	9	0	0	3	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	200	1	0	6	0	20	0	0	0	1	0	5	7	0	0
3060	3990	"Clapeyret"	44.15028	7.24333	230	"AWI"	230	8468	11694	9993	2	0	3	0	1	0	2	0	34	0	3	0	0	0	8	0	0	5	0	0	2	0	0	0	1	0	0	0	12	0	0	0	0	0	200	0	0	21	0	26	3	0	1	2	0	7	3	0	0
3060	3990	"Clapeyret"	44.15028	7.24333	240	"AWI"	240	8801	12064	10347	1	0	1	0	0	0	1	0	43	0	1	0	1	0	9	0	0	4	0	0	3	0	0	0	1	0	0	0	2	0	0	0	0	0	250	1	0	17	0	34	2	0	0	3	0	7	3	1	1
3060	3990	"Clapeyret"	44.15028	7.24333	250	"AWI"	250	9097	12435	10683	1	0	1	0	2	0	3	0	38	0	1	0	1	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	200	1	0	9	0	20	0	0	2	3	0	7	1	0	0
3060	3990	"Clapeyret"	44.15028	7.24333	260	"AWI"	260	9439	12740	11015	2	0	0	0	0	0	2	0	35	0	1	0	0	1	4	0	2	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	200	2	0	15	0	20	0	0	1	2	0	2	4	0	0
3060	3990	"Clapeyret"	44.15028	7.24333	270	"AWI"	270	9757	13061	11355	0	0	2	0	2	0	4	0	31	0	0	0	0	0	4	0	0	5	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	180	2	0	4	0	12	0	0	1	0	0	1	1	0	0
3060	3990	"Clapeyret"	44.15028	7.24333	283	"AWI"	283	10116	13602	11802	0	0	0	0	0	0	6	0	53	0	0	1	0	0	5	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	200	0	0	18	0	30	1	0	0	0	0	4	2	0	0
3060	3990	"Clapeyret"	44.15028	7.24333	292	"AWI"	292	10345	13977	12101	1	1	2	1	2	0	6	0	88	0	0	0	0	0	3	0	1	3	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	200	4	0	13	0	30	0	0	0	6	1	7	4	0	0
