"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euonymus"	"Fabaceae"	"Fagus"	"Fraxinus"	"Grossulariaceae"	"Ligustrum"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
14264	22316	"Anenské údolí"	50.58861	16.1175	0	"AWI"	0	-129	33	-49	0	4	30	2	0	0	2	0	154	11	0	0	0	0	40	6	0	0	0	11	0	0	1	19	53	6	0	35	0	8	2	25	0	0	1	7	4	0	0	3	10	0	0	4	10
14264	22316	"Anenské údolí"	50.58861	16.1175	5	"AWI"	5	-42	518	152	0	0	54	6	0	0	27	0	171	9	0	0	0	0	5	0	0	0	0	2	1	0	0	4	217	23	0	0	0	4	0	23	0	0	0	0	0	0	0	0	5	0	1	0	0
14264	22316	"Anenské údolí"	50.58861	16.1175	10	"AWI"	10	-1	1061	349	2	0	81	0	0	0	14	0	333	1	0	0	0	0	18	0	0	0	0	0	9	0	1	18	59	14	0	108	0	5	0	63	0	3	0	0	22	0	0	0	9	0	0	13	27
14264	22316	"Anenské údolí"	50.58861	16.1175	15	"AWI"	15	138	1233	595	120	2	43	6	0	0	8	0	86	1	0	0	0	0	34	12	3	0	0	148	0	1	0	23	124	130	0	0	0	0	1	18	0	0	3	0	3	0	0	0	1	0	1	2	0
14264	22316	"Anenské údolí"	50.58861	16.1175	20	"AWI"	20	213	1561	831	57	0	26	1	0	0	13	0	22	0	0	0	0	0	31	4	0	0	0	70	1	0	0	13	87	52	0	0	0	0	0	5	0	0	0	0	3	0	0	0	0	0	1	2	1
14264	22316	"Anenské údolí"	50.58861	16.1175	30	"AWI"	30	640	1923	1348	141	1	52	0	0	0	1	0	64	1	0	0	0	0	17	67	0	0	0	126	1	0	0	36	33	112	0	0	0	0	1	19	0	0	0	0	2	0	0	0	0	0	2	2	1
14264	22316	"Anenské údolí"	50.58861	16.1175	40	"AWI"	40	1232	2218	1826	112	1	32	1	0	0	4	0	43	0	0	0	0	0	10	16	0	1	0	156	4	0	0	18	38	80	0	0	0	0	0	26	0	0	1	0	0	0	0	0	0	0	2	2	1
14264	22316	"Anenské údolí"	50.58861	16.1175	50	"AWI"	50	1854	2540	2194	112	3	25	0	0	0	4	0	40	0	0	0	0	0	11	10	0	0	0	77	2	0	0	7	72	65	0	0	0	0	0	14	0	0	0	0	5	0	0	0	0	0	0	3	2
14264	22316	"Anenské údolí"	50.58861	16.1175	60	"AWI"	60	2031	3037	2459	174	0	47	0	0	0	0	0	0	0	0	0	0	0	15	2	0	0	0	65	3	0	0	12	54	46	0	0	0	0	1	26	0	0	0	0	0	0	0	0	0	0	2	2	0
14264	22316	"Anenské údolí"	50.58861	16.1175	75	"AWI"	75	2344	3503	2895	116	1	38	1	0	0	4	0	23	1	0	0	0	0	15	1	0	0	0	54	1	0	0	10	89	79	0	0	0	0	0	9	0	0	0	0	1	1	0	0	0	0	2	11	0
