"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Celastraceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Ligustrum"	"Liliaceae"	"Melanthiaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
15748	24188	"Hopschensee"	46.2525	8.02306	0.3	"AWI"	0.3	-117.2	18.5	-45.3	2	0	50	0	0	0	0	0	3	0	11	0	0	0	0	0	0	0	9	0	0	0	10	0	47	0	0	0	0	0	6	3	0	0	1	1	0	3	16	0	11	0	0	0	3	0	0	0	46	102	0	0	0	0	0	0	0	0	8	0	7	0	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0
15748	24188	"Hopschensee"	46.2525	8.02306	0.8	"AWI"	0.8	-109.2	21	-40.8	6	0	65	1	0	0	0	0	6	0	15	0	0	0	0	6	0	0	10	0	0	0	14	0	58	0	0	0	0	0	5	3	0	0	0	1	0	1	10	0	4	0	0	0	0	0	0	0	34	94	0	0	0	0	0	0	0	0	7	0	13	0	1	0	2	0	0	0	0	0	0	0	0	5	0	0	0
15748	24188	"Hopschensee"	46.2525	8.02306	1.3	"AWI"	1.3	-102.1	23.5	-36.3	4	0	53	2	0	0	0	0	2	0	13	1	0	0	0	0	0	0	7	0	0	0	10	0	46	0	0	0	0	0	2	0	0	0	0	0	0	6	10	0	7	0	1	0	0	0	0	0	50	85	0	0	0	0	0	0	0	0	7	0	3	0	4	0	1	0	0	0	0	0	1	0	2	6	0	0	0
15748	24188	"Hopschensee"	46.2525	8.02306	1.8	"AWI"	1.8	-95.6	26	-31.8	3	0	62	0	0	0	0	0	8	0	17	0	0	0	0	6	0	0	7	0	0	0	16	0	71	1	0	0	0	0	5	0	0	3	0	1	0	1	19	0	11	0	0	0	4	0	0	0	51	110	0	0	0	0	0	0	0	0	10	0	6	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	1
15748	24188	"Hopschensee"	46.2525	8.02306	2.3	"AWI"	2.3	-89.1	28.8	-27.3	3	0	47	0	0	0	0	0	5	0	14	0	0	0	0	8	0	0	9	0	0	1	7	0	63	0	0	0	0	0	4	0	0	0	1	0	0	2	9	0	10	0	0	0	2	0	0	0	51	113	0	0	0	0	0	0	0	0	9	0	13	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0
15748	24188	"Hopschensee"	46.2525	8.02306	2.8	"AWI"	2.8	-82.6	31.8	-22.8	3	0	72	0	0	0	0	0	5	0	15	0	0	0	0	0	0	0	8	1	0	0	13	0	57	0	0	0	0	0	5	0	0	0	1	0	0	3	15	0	10	0	0	0	0	0	0	2	35	83	0	0	0	0	0	0	0	0	4	0	6	0	1	0	0	1	0	0	0	0	0	0	0	4	0	0	1
15748	24188	"Hopschensee"	46.2525	8.02306	3.3	"AWI"	3.3	-75.8	35.1	-18.3	0	0	64	3	0	0	0	0	2	0	11	0	0	0	0	6	0	0	8	0	0	0	7	0	56	0	0	0	0	0	1	0	0	0	0	1	0	2	20	0	9	0	0	0	0	0	0	0	38	105	0	0	0	0	0	0	0	0	11	0	5	0	1	0	1	0	0	0	0	0	0	1	0	7	0	0	0
15748	24188	"Hopschensee"	46.2525	8.02306	3.8	"AWI"	3.8	-68.8	38.6	-13.8	0	0	67	1	0	0	0	0	3	0	14	0	0	0	0	12	0	0	6	0	0	2	9	0	68	0	0	0	0	0	4	0	0	0	1	0	0	1	17	0	7	0	0	0	0	0	0	0	39	99	0	0	0	0	0	0	0	0	4	0	4	0	1	0	1	1	0	0	0	1	1	1	0	10	0	1	1
15748	24188	"Hopschensee"	46.2525	8.02306	4.3	"AWI"	4.3	-63	42.7	-9.3	3	0	74	7	0	0	0	0	1	0	31	0	0	0	0	0	0	0	6	0	0	2	5	0	54	0	0	0	0	0	5	3	0	0	0	0	0	2	19	0	7	0	0	0	2	0	0	0	48	134	0	0	0	0	0	0	1	0	7	0	10	0	0	0	2	0	0	0	0	1	3	0	0	3	0	0	2
15748	24188	"Hopschensee"	46.2525	8.02306	4.8	"AWI"	4.8	-58	47.2	-4.8	3	1	66	0	0	0	0	0	3	0	17	0	1	0	0	0	0	0	12	0	0	0	10	0	54	0	0	0	0	0	7	3	0	5	1	1	0	1	10	0	7	0	1	0	3	0	0	0	31	95	0	0	0	0	0	0	0	0	4	0	10	0	0	0	1	0	0	0	0	0	0	0	2	4	0	0	1
