"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Aizoaceae"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Grossulariaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Myrica"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"	"Vitaceae"
2983	3887	"Aronde"	49.4625	2.69111	80	"AWI"	80	234	1211	629	0	0	0	2	3	12	0	3	0	0	11	2	2	0	0	1	6	0	123	0	0	0	3	4	1	0	0	0	1	3	2	0	1	0	0	0	0	1	3	0	70	5	0	2	17	0	4	0	0	0	0	2	0	3	1	0	0	0	0	9	0	1
2983	3887	"Aronde"	49.4625	2.69111	90	"AWI"	90	325	1309	722	0	0	0	0	2	13	0	1	0	3	16	0	1	0	3	0	4	0	116	0	0	0	4	0	0	0	0	1	0	6	1	0	1	0	0	1	0	1	8	0	73	3	0	0	10	0	8	0	0	2	4	1	0	0	0	0	0	0	0	6	0	0
2983	3887	"Aronde"	49.4625	2.69111	100	"AWI"	100	381	1432	816	0	0	0	3	4	14	0	2	0	3	16	0	1	0	3	0	3	0	118	0	0	0	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	5	0	69	0	0	0	14	0	6	0	0	1	4	0	0	1	0	0	0	0	0	13	0	0
2983	3887	"Aronde"	49.4625	2.69111	110	"AWI"	110	468	1527	917	0	0	0	0	0	0	0	0	0	4	7	0	0	0	0	0	2	0	185	0	0	0	0	1	2	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	1	0	16	0	2	0	0	0	1	3	2	0	0	0	0	0	1	2	0	0
2983	3887	"Aronde"	49.4625	2.69111	120	"AWI"	120	513	1635	1015	0	0	0	8	0	15	0	1	0	10	22	0	0	0	0	1	8	0	144	0	0	0	3	7	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	73	2	0	0	14	0	5	0	0	3	0	0	0	2	0	0	0	0	0	1	0	0
2983	3887	"Aronde"	49.4625	2.69111	130	"AWI"	130	594	1706	1106	1	0	0	6	4	10	0	1	0	4	9	0	1	0	1	0	4	0	136	0	0	2	0	4	0	0	0	0	0	7	0	1	0	0	0	0	0	1	1	0	99	3	0	1	9	0	2	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0
2983	3887	"Aronde"	49.4625	2.69111	140	"AWI"	140	652	1808	1197	0	0	0	3	0	16	0	2	0	1	6	0	1	0	1	0	5	0	110	0	0	0	0	4	0	0	0	0	0	20	1	0	2	0	0	0	0	1	4	0	78	5	0	1	14	0	2	0	0	0	4	0	0	2	0	0	0	0	1	5	0	0
2983	3887	"Aronde"	49.4625	2.69111	150	"AWI"	150	736	1884	1294	0	1	0	1	2	17	0	0	0	1	8	0	0	0	1	0	1	0	93	0	0	0	3	2	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	49	3	0	0	13	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2983	3887	"Aronde"	49.4625	2.69111	156	"AWI"	156	774	1953	1352	0	0	0	2	1	18	0	2	0	3	16	0	3	0	1	0	6	0	73	0	0	0	2	10	0	0	0	0	0	8	0	0	0	0	0	0	0	2	5	0	83	8	0	2	18	0	9	0	0	1	5	2	0	6	0	0	0	0	0	0	0	0
2983	3887	"Aronde"	49.4625	2.69111	162	"AWI"	162	819	2037	1409	0	0	0	4	0	5	0	1	0	4	5	0	0	0	0	0	2	0	195	0	0	0	1	5	1	0	0	0	0	3	0	0	0	0	0	1	0	0	4	0	44	3	0	0	20	0	2	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0
