"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
15807	24312	"Eggen ob Blatten"	46.37194	7.99056	0	"AWI"	0	750	1328	1002	1.70940170940171	0	0	0	0	0	7.69230769230769	0	2.56410256410256	0	0	0	0	0	0	0	55.5555555555556	0	0	0	0	0	0	0	0	0	0	0.854700854700855	0	0	28.2051282051282	0	0	0	0	0	0	2.56410256410256	0	0	0	0	0	0	0	0	0	0	0	0.854700854700855	0
15807	24312	"Eggen ob Blatten"	46.37194	7.99056	10	"AWI"	10	918	1743	1244	2.51141552511416	0	0	0	0	0	0	0	0.684931506849315	0.228310502283105	0	0	1.59817351598174	0	0	1.14155251141552	16.4383561643836	0	0	0	0.228310502283105	0	0.228310502283105	0.228310502283105	0	0	0.228310502283105	1.36986301369863	0	0	10.7305936073059	0	0	54.7945205479452	0	0	0	1.59817351598174	6.39269406392694	0.228310502283105	0	0.228310502283105	0.91324200913242	0	0	0	0	0	0.228310502283105	0	0
15807	24312	"Eggen ob Blatten"	46.37194	7.99056	20	"AWI"	20	1075	2028	1503	0.444444444444444	0	0	0	0	0	0.444444444444444	0	0.888888888888889	1.77777777777778	0	0	4	0	0	1.77777777777778	42.2222222222222	0	0	0	4	0.444444444444444	0	0	0.444444444444444	0.888888888888889	0	2.66666666666667	0	0	15.5555555555556	0	0	0	0	0	0	4	0	0	0	0.444444444444444	20	0	0	0	0	0	0	0	0
15807	24312	"Eggen ob Blatten"	46.37194	7.99056	30	"AWI"	30	1282	2288	1779	2.35294117647059	0.294117647058824	20.2941176470588	0	0	0	0	0	4.70588235294118	0	0	0	0.294117647058824	0	0	2.64705882352941	12.9411764705882	0	0	0	0	1.47058823529412	0	0	0	0	0	0.294117647058824	0	0	51.4705882352941	0	0	0	0	0	0	2.64705882352941	0	0.294117647058824	0	0	0.294117647058824	0	0	0	0	0	0	0	0
15807	24312	"Eggen ob Blatten"	46.37194	7.99056	40	"AWI"	40	1527	2499	2047	0.804828973843058	0	17.7062374245473	0.201207243460765	0.201207243460765	0	2.61569416498994	0	3.01810865191147	2.8169014084507	0	0	0.402414486921529	0	0	1.00603621730382	37.4245472837022	0	0	0	0	1.00603621730382	0.402414486921529	0	0	0	0	1.20724346076459	0	0	10.261569416499	15.6941649899396	0	0	0	0	0	2.61569416498994	0	0	0	0.804828973843058	1.81086519114688	0	0	0	0	0	0	0	0
15807	24312	"Eggen ob Blatten"	46.37194	7.99056	50	"AWI"	50	1804	2662	2306	5.38922155688623	0	44.9101796407186	0	0	0	0	0	3.59281437125748	0	0	0	0	0	0	0.598802395209581	13.1736526946108	0	0	0	0	0	0	0	0	0	0	1.79640718562874	0	0	29.3413173652695	0	0	0	0	0	0	1.19760479041916	0	0	0	0	0	0	0	0	0	0	0	0	0
15807	24312	"Eggen ob Blatten"	46.37194	7.99056	60	"AWI"	60	2219	2819	2545	1.61725067385445	0	25.3369272237197	0.269541778975741	0	0	1.07816711590297	0	3.77358490566038	0.539083557951483	0	0	0.269541778975741	0	0	2.15633423180593	14.55525606469	0	0	0	0	0.269541778975741	0	0	0	1.61725067385445	0	2.96495956873315	0.269541778975741	0	35.8490566037736	0	0	0	0	0	0	4.85175202156334	0	0	0	0	3.50404312668464	0.808625336927224	0	0	0	0	0.269541778975741	0	0
15807	24312	"Eggen ob Blatten"	46.37194	7.99056	70	"AWI"	70	2403	3198	2758	5.24475524475525	0	55.2447552447552	0	0	0	0.34965034965035	0	2.0979020979021	0	0	0	0	0	0	1.04895104895105	6.99300699300699	0	0	0	0	0	0.34965034965035	0	0	0	0	0.699300699300699	0	0	21.6783216783217	0	0	0	0	0	0	2.7972027972028	0	0	0	0	0.699300699300699	1.3986013986014	0	0	0	0	1.3986013986014	0	0
15807	24312	"Eggen ob Blatten"	46.37194	7.99056	80	"AWI"	80	2580	3456	2988	23.8244514106583	0.626959247648903	22.884012539185	0	0	0	1.56739811912226	0	26.0188087774295	0	0	0	0	0.626959247648903	0	0	10.3448275862069	0	0	0	0	0.313479623824451	0	0	0	0	0	0	0	0	5.01567398119122	0	0	0	0	0	0	3.44827586206897	0	0	0	0.313479623824451	1.25391849529781	1.56739811912226	0	0	0.313479623824451	0	1.88087774294671	0	0
15807	24312	"Eggen ob Blatten"	46.37194	7.99056	90	"AWI"	90	2776	3669	3220	18.6274509803922	0	17.6470588235294	0	0	0	1.47058823529412	0	15.1960784313725	0	0	0	0.980392156862745	0	0	2.45098039215686	10.7843137254902	0	0	0	0.490196078431373	0.980392156862745	0	0	0	0	0	2.45098039215686	0	0	23.0392156862745	0	0	0	0	0	0	2.45098039215686	0	0	0	0	0	0	0	0	0	0	3.43137254901961	0	0
