"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Linaceae"	"Lythraceae"	"Orchidaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
16658	26439	"Mieminger See"	47.29167	10.97639	110	"AWI"	110	-97	72	-13	4	0	0	0	3	0	2	0	11	0	1	0	0	0	2	0	0	0	6	43	0	0	4	0	2	0	0	0	0	18	0	7	0	0	0	0	0	68	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	2	0	0	1	0	6
16658	26439	"Mieminger See"	47.29167	10.97639	120	"AWI"	120	-56	159	43	0	0	0	0	3	0	1	0	10	0	0	0	0	0	10	0	1	0	4	47	0	0	4	0	6	0	0	0	0	46	0	1	0	0	0	0	0	10	311	0	0	767	0	0	0	4	4	0	0	0	0	4	0	0	1	0	1	0	2	3
16658	26439	"Mieminger See"	47.29167	10.97639	130	"AWI"	130	-36	295	95	0	0	0	2	5	0	1	0	21	0	1	0	0	0	1	1	0	0	3	160	3	0	8	0	1	0	0	0	0	46	0	1	0	0	0	0	0	4	173	0	0	740	0	0	0	3	0	0	0	1	0	1	0	0	0	0	4	0	0	5
16658	26439	"Mieminger See"	47.29167	10.97639	140	"AWI"	140	-23	442	145	1	0	0	0	2	0	3	0	10	0	2	0	0	0	6	0	0	0	3	67	0	0	0	0	0	0	0	0	0	26	0	1	0	0	0	0	0	16	404	0	0	94	0	0	0	3	0	0	0	1	0	1	0	0	0	1	0	1	0	15
16658	26439	"Mieminger See"	47.29167	10.97639	150	"AWI"	150	14	548	201	1	0	0	0	5	0	4	0	32	0	5	1	0	0	4	0	1	0	10	35	2	0	0	0	0	0	0	0	1	88	2	3	0	0	0	0	0	27	0	0	0	394	0	0	0	12	0	0	0	2	0	11	0	0	0	0	2	0	0	9
16658	26439	"Mieminger See"	47.29167	10.97639	160	"AWI"	160	57	585	273	0	0	0	0	5	0	1	0	22	0	5	0	0	0	6	0	2	0	5	82	0	0	0	0	0	0	0	0	1	28	0	2	0	0	0	0	0	5	0	0	0	566	0	0	0	3	0	0	0	0	0	4	0	0	0	0	1	0	1	15
16658	26439	"Mieminger See"	47.29167	10.97639	170	"AWI"	170	91	635	348	1	0	0	1	3	0	0	0	35	0	0	0	0	0	1	0	0	0	5	71	2	0	0	0	5	0	0	0	0	52	0	4	0	0	0	0	0	37	205	0	0	217	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	9
16658	26439	"Mieminger See"	47.29167	10.97639	180	"AWI"	180	114	710	414	8	2	72	2	14	0	3	0	44	0	4	1	0	0	4	0	12	0	16	75	0	0	4	0	11	1	0	0	1	74	7	3	0	0	0	0	0	48	0	0	0	236	0	0	0	13	0	0	0	2	0	1	0	0	3	0	2	0	0	19
16658	26439	"Mieminger See"	47.29167	10.97639	182	"AWI"	182	118	732	427	13	0	119	1	6	0	3	0	102	0	1	0	0	0	3	1	1	0	48	126	1	0	3	0	11	1	0	0	3	132	0	6	0	0	0	0	1	121	0	0	0	154	0	0	0	16	3	0	0	2	0	6	0	0	0	0	2	0	1	19
16658	26439	"Mieminger See"	47.29167	10.97639	190	"AWI"	190	202	754	476	5	0	148	3	10	0	3	0	72	0	1	0	0	0	1	0	0	1	67	0	1	0	0	0	26	0	0	0	2	71	0	6	0	0	0	0	0	62	0	0	0	182	0	0	0	36	4	1	0	5	0	4	0	0	0	0	1	0	0	4
