"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Linaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Rutaceae"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
14610	22904	"Bondone"	46.017064	11.041072	36	"AWI"	36	445	2885	1351	4	0	17	4	0	0	0	10	0	0	2	0	1	1	4	0	0	18	1	1	3	0	543	0	0	2	0	0	98	0	0	0	6	5	0	0	7	0	0	8	0	0	25	1	27	0	0	0	0	170	0	0	0	40	1	0	0	0	3	9	0	5	0	0	1	1	0	0	2	3	0	2
14610	22904	"Bondone"	46.017064	11.041072	56	"AWI"	56	982	3812	2190	32	1	31	2	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	7	0	89	0	0	0	0	0	45	0	0	0	9	10	7	0	4	0	0	0	0	0	28	1	168	0	1	0	0	0	0	0	0	49	1	0	0	0	1	1	0	0	0	0	0	2	0	0	1	4	0	4
14610	22904	"Bondone"	46.017064	11.041072	76	"AWI"	76	1584	4505	3005	30	0	34	1	0	0	0	2	1	0	12	0	1	0	0	0	0	0	1	0	19	0	86	0	0	0	0	0	35	3	0	0	16	0	4	0	7	0	0	0	0	0	49	2	108	0	0	0	0	0	0	1	0	36	1	0	0	0	0	1	0	1	4	0	0	1	0	0	3	1	0	0
14610	22904	"Bondone"	46.017064	11.041072	96	"AWI"	96	2285	5208	3794	51	0	0	1	0	0	0	6	0	0	10	0	1	2	0	0	0	0	0	0	9	0	110	0	0	0	0	0	124	0	0	0	10	0	1	1	4	0	0	0	0	0	9	0	148	0	0	0	0	0	0	0	0	51	3	0	0	0	0	3	0	0	0	0	0	1	0	1	2	0	0	1
14610	22904	"Bondone"	46.017064	11.041072	118	"AWI"	118	3167	5871	4706	17	1	56	1	0	0	0	6	0	0	8	0	1	2	0	0	0	0	0	1	15	0	386	0	0	0	0	0	41	0	0	0	3	0	0	0	0	0	0	0	1	0	8	0	100	24	0	0	0	0	0	1	0	66	1	0	0	0	0	0	0	0	0	1	0	0	0	0	4	3	0	0
14610	22904	"Bondone"	46.017064	11.041072	135	"AWI"	135	3995	6322	5391	94	10	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	14	0	94	0	0	0	0	0	21	2	0	0	5	0	0	0	2	0	0	0	0	0	0	1	171	0	0	0	0	0	0	0	0	29	1	0	0	0	0	2	0	1	0	0	0	0	0	0	14	0	0	1
14610	22904	"Bondone"	46.017064	11.041072	150	"AWI"	150	4826	6622	5947	32	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	13	0	32	0	0	0	0	0	12	4	0	0	4	0	0	0	1	0	0	0	0	0	0	0	77	51	0	0	0	0	0	0	0	17	2	0	0	0	0	1	0	0	0	0	0	1	0	2	12	0	0	0
14610	22904	"Bondone"	46.017064	11.041072	165	"AWI"	165	5979	6882	6526	40	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	6	0	39	0	0	0	0	0	7	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	71	48	0	0	0	0	0	0	0	17	3	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
14610	22904	"Bondone"	46.017064	11.041072	178	"AWI"	178	6616	7272	6930	51	5	0	1	0	0	0	2	0	0	8	0	0	0	0	0	0	0	1	0	25	0	126	0	0	0	0	0	15	0	0	0	8	0	2	0	1	0	0	0	0	0	0	0	136	70	0	0	0	0	0	0	0	35	1	0	0	0	1	1	0	4	0	0	1	1	0	4	30	0	0	0
14610	22904	"Bondone"	46.017064	11.041072	198	"AWI"	198	6888	8090	7390	26	5	9	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	17	0	68	0	0	0	0	0	1	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	21	0	0	0	0	2	0	0	0	0	0	0	0	0	8	48	1	0	0
