"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Campanulaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Gentianaceae"	"Indeterminable"	"Juniperus"	"Onagraceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
2965	3865	"Abernethy Forest"	57.23528	-3.71056	300	"AWI"	300	5356	6690	6165	0	29	0	0	0	0	0	79	0	0	0	0	36	0	25	42	0	0	0	14	0	0	271	0	0	7	0	0	18	0	0	0	0	0	0	0	0	14	0	0
2965	3865	"Abernethy Forest"	57.23528	-3.71056	305	"AWI"	305	5551	6806	6325	0	5	0	1	0	0	0	113	0	0	0	0	42	0	11	0	0	0	0	19	0	0	320	0	0	3	0	0	10	0	0	0	0	5	0	0	0	5	0	0
2965	3865	"Abernethy Forest"	57.23528	-3.71056	310	"AWI"	310	5804	6916	6482	0	4	0	0	0	0	0	51	0	0	0	0	39	0	12	0	0	0	0	12	0	0	420	0	0	1	0	0	6	0	0	0	0	0	0	0	0	3	0	0
2965	3865	"Abernethy Forest"	57.23528	-3.71056	315	"AWI"	315	6033	7024	6632	0	0	0	0	0	0	0	130	0	0	0	0	6	0	4	0	0	0	0	2	0	0	470	0	0	2	0	0	3	0	0	0	0	1	0	0	1	5	0	0
2965	3865	"Abernethy Forest"	57.23528	-3.71056	320	"AWI"	320	6305	7120	6786	0	1	0	0	0	0	0	31	0	0	0	0	6	0	3	0	0	0	0	5	0	0	450	0	0	2	0	0	7	0	0	0	0	1	0	0	0	2	0	0
2965	3865	"Abernethy Forest"	57.23528	-3.71056	325	"AWI"	325	6590	7214	6939	0	1	0	0	0	0	0	59	0	0	0	0	12	0	3	0	0	0	0	4	0	0	425	0	0	2	0	0	7	0	0	0	0	3	0	0	0	6	0	0
2965	3865	"Abernethy Forest"	57.23528	-3.71056	330	"AWI"	330	6781	7351	7082	0	1	0	0	0	0	0	78	0	0	0	0	29	0	2	0	0	0	0	10	2	0	386	0	0	0	0	0	9	0	0	0	0	4	0	0	0	8	0	0
2965	3865	"Abernethy Forest"	57.23528	-3.71056	335	"AWI"	335	6896	7505	7207	0	1	0	0	0	0	0	71	0	0	0	0	52	0	3	0	0	0	0	8	2	0	397	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2965	3865	"Abernethy Forest"	57.23528	-3.71056	340	"AWI"	340	7020	7637	7337	0	2	0	0	0	0	0	140	0	0	0	0	50	0	3	0	0	0	0	15	2	0	310	0	0	4	0	0	14	0	0	0	0	8	0	0	0	7	0	0
2965	3865	"Abernethy Forest"	57.23528	-3.71056	345	"AWI"	345	7155	7757	7466	0	0	0	0	0	0	0	150	0	0	0	0	34	0	2	0	0	0	0	22	2	0	323	0	0	11	0	0	10	0	0	0	0	10	0	0	2	10	0	0
2965	3865	"Abernethy Forest"	57.23528	-3.71056	350	"AWI"	350	7316	7869	7590	0	0	0	0	0	0	0	175	0	0	0	0	37	0	3	0	0	1	0	13	2	0	317	0	0	11	0	0	4	0	0	0	0	8	0	0	0	12	0	0
2965	3865	"Abernethy Forest"	57.23528	-3.71056	355	"AWI"	355	7512	7970	7718	0	1	0	0	1	0	0	181	0	0	0	0	28	0	3	0	0	0	0	10	3	0	345	0	0	7	0	0	9	0	0	0	0	7	0	0	0	11	0	0
2965	3865	"Abernethy Forest"	57.23528	-3.71056	357	"AWI"	357	7579	8037	7796	0	0	0	1	0	0	0	153	0	0	0	0	36	0	3	0	0	0	0	24	2	0	285	0	0	8	0	0	10	0	0	0	0	6	0	0	0	6	0	0
2965	3865	"Abernethy Forest"	57.23528	-3.71056	360	"AWI"	360	7637	8229	7900	0	1	0	0	0	0	0	214	0	0	0	0	54	0	5	0	0	0	0	19	2	0	315	0	0	13	0	0	3	0	0	0	0	11	0	0	0	7	0	0
2965	3865	"Abernethy Forest"	57.23528	-3.71056	363	"AWI"	363	7742	8312	8014	0	1	0	0	0	0	0	200	0	0	0	0	41	0	4	0	0	0	0	25	6	0	210	0	0	10	0	0	5	0	0	0	0	12	0	0	0	6	0	0
2965	3865	"Abernethy Forest"	57.23528	-3.71056	365	"AWI"	365	7784	8413	8086	0	2	0	0	0	0	0	360	0	0	0	0	105	0	7	0	0	0	0	70	5	0	91	0	0	20	0	0	7	0	0	0	0	16	0	0	0	3	0	0
2965	3865	"Abernethy Forest"	57.23528	-3.71056	367	"AWI"	367	7880	8450	8162	0	0	0	0	0	0	0	285	0	0	0	0	120	1	4	0	0	0	0	63	1	0	26	0	0	13	0	1	10	0	0	0	0	10	0	0	0	8	0	0
