"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Juniperus"	"Nartheciaceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"
14520	22745	"Loch Einich"	57.08333	-3.8	0	"AWI"	0	-120	51	-43	6.15942028985507	0	0	0	0	7.97101449275362	0	0	0	6.52173913043478	4.34782608695652	45.6521739130435	0.36231884057971	0	0	0	0	0	17.0289855072464	0.36231884057971	6.15942028985507	5.07246376811594	0	0	0	0.36231884057971	0	0	0	0
14520	22745	"Loch Einich"	57.08333	-3.8	10	"AWI"	10	91	1223	483	2.80701754385965	0	0	0	0	8.07017543859649	0	0	0	5.96491228070175	10.8771929824561	53.1578947368421	0	0	0	0	0	0.175438596491228	14.3859649122807	0.175438596491228	3.68421052631579	0.701754385964912	0	0	0	0	0	0	0	0
14520	22745	"Loch Einich"	57.08333	-3.8	20	"AWI"	20	435	2019	1119	4.45859872611465	0	0	0.212314225053079	0	9.76645435244161	0	0	0	7.43099787685775	6.79405520169851	50.7430997876858	0	0.636942675159236	0	0	0	0	14.6496815286624	0.636942675159236	1.69851380042463	2.33545647558386	0	0	0.424628450106157	0.212314225053079	0	0	0	0
14520	22745	"Loch Einich"	57.08333	-3.8	30	"AWI"	30	866	2665	1697	6.80628272251309	0	0	0.523560209424084	0	20.1570680628272	0	0	0	14.6596858638743	25.6544502617801	0	0	0.261780104712042	0	0.261780104712042	0	0	22.2513089005236	1.30890052356021	4.9738219895288	2.61780104712042	0	0	0.261780104712042	0	0	0	0	0.261780104712042
14520	22745	"Loch Einich"	57.08333	-3.8	40	"AWI"	40	1397	3200	2290	14.5739910313901	0	0	0	0	13.6771300448431	0	0	0	23.7668161434978	27.5784753363229	0	0	0	0	0	0	0	13.2286995515695	0.448430493273543	2.46636771300448	3.36322869955157	0	0	0.224215246636771	0.224215246636771	0	0.224215246636771	0	0.224215246636771
14520	22745	"Loch Einich"	57.08333	-3.8	50	"AWI"	50	1944	3740	2887	11.787072243346	0	0	0	0	16.3498098859316	0	0	0	14.828897338403	26.9961977186312	0	0	0.760456273764259	0	0	0	0	23.1939163498099	0	1.14068441064639	4.56273764258555	0	0	0	0	0	0	0	0.380228136882129
14520	22745	"Loch Einich"	57.08333	-3.8	60	"AWI"	60	2565	4225	3483	2.89017341040462	0	0	0	0	11.5606936416185	0	0	0	9.82658959537572	0	0	0	0.578034682080925	0	0	0	0	58.3815028901734	0	3.46820809248555	12.7167630057803	0	0	0	0	0	0	0	0.578034682080925
14520	22745	"Loch Einich"	57.08333	-3.8	70	"AWI"	70	3274	4635	4089	9.77011494252874	0	0	0	0	19.5402298850575	0	0	0	11.4942528735632	0.574712643678161	0	0	0	0	0	0	0	52.2988505747126	0	1.72413793103448	2.8735632183908	0	0	0	0	0	0	0	1.72413793103448
14520	22745	"Loch Einich"	57.08333	-3.8	80	"AWI"	80	4278	4977	4650	11.9230769230769	0	0	0	0	9.61538461538462	0	0	0	20.7692307692308	0	0	0	0	0.384615384615385	0	0	0	49.6153846153846	0	1.53846153846154	3.46153846153846	0	0	0	0.384615384615385	0	0	0	2.30769230769231
14520	22745	"Loch Einich"	57.08333	-3.8	90	"AWI"	90	4649	5730	5135	10.5555555555556	0	0	0	0	18.3333333333333	0	0	0	11.6666666666667	3.88888888888889	0	0	0	0	0	0	0	46.1111111111111	0	1.11111111111111	6.66666666666667	0	0	0	0	0	0	0	1.66666666666667
14520	22745	"Loch Einich"	57.08333	-3.8	100	"AWI"	100	5057	6231	5655	12.568306010929	0	0	0	0	9.2896174863388	0	0	0	15.3005464480874	0	0	0	0	0	0	0	0	51.3661202185792	0	2.73224043715847	4.91803278688525	0	0	0	0	0	0	0	3.82513661202186
14520	22745	"Loch Einich"	57.08333	-3.8	110	"AWI"	110	5597	6624	6190	3.07167235494881	0	0	0	0	7.84982935153584	0	0	0	4.94880546075085	0.341296928327645	60.580204778157	0	0	0	0	0	0	19.7952218430034	0	0	1.87713310580205	0	0	0	0	0	0	0	1.5358361774744
14520	22745	"Loch Einich"	57.08333	-3.8	115	"AWI"	115	5926	6770	6445	4.59016393442623	0	0	0	0	6.22950819672131	0	0	0	10.4918032786885	0.655737704918033	21.3114754098361	0	0	0	0	0.983606557377049	0	51.4754098360656	0	0.983606557377049	1.9672131147541	0	0	0	0	0	0	0	1.31147540983607
14520	22745	"Loch Einich"	57.08333	-3.8	120	"AWI"	120	6441	6908	6683	5.94405594405594	0	0	0	0	16.7832167832168	0	0	0	25.8741258741259	1.3986013986014	0	0	0	0	0	0	0	40.9090909090909	0	1.74825174825175	5.24475524475525	0	0	0	0.34965034965035	0	0.34965034965035	0	1.3986013986014
14520	22745	"Loch Einich"	57.08333	-3.8	125	"AWI"	125	6529	7190	6812	4.68085106382979	0	0	0	0	13.1914893617021	0	0	0	12.3404255319149	1.27659574468085	0	0	0	0	0	0.425531914893617	0	58.7234042553191	0	0.425531914893617	4.68085106382979	0	0	0	0.425531914893617	0	0	0	3.82978723404255
14520	22745	"Loch Einich"	57.08333	-3.8	130	"AWI"	130	6623	7420	6951	8.60655737704918	0	0	0	0	16.3934426229508	0	0	0	16.3934426229508	0	0	0	0	0	0	0	0	51.2295081967213	0	1.22950819672131	2.86885245901639	0	0	0	0	0	0	0.409836065573771	2.86885245901639
14520	22745	"Loch Einich"	57.08333	-3.8	135	"AWI"	135	6714	7631	7091	9.32835820895522	0	0.373134328358209	0	0	19.4029850746269	0	0	0	21.2686567164179	2.23880597014925	0	0	0	0	0	0	0	37.6865671641791	0	1.49253731343284	4.1044776119403	0	0	0	0.373134328358209	0	0	0	3.73134328358209
14520	22745	"Loch Einich"	57.08333	-3.8	140	"AWI"	140	6812	7828	7231	7.37704918032787	0.409836065573771	0	0	0	13.5245901639344	0	0	0	15.1639344262295	2.04918032786885	0	0	0	0	0	0	0	58.1967213114754	0	0	1.63934426229508	0	0	0	0.409836065573771	0	0	0	1.22950819672131
14520	22745	"Loch Einich"	57.08333	-3.8	145	"AWI"	145	6914	7997	7377	2.09205020920502	0	0.418410041841004	0	0	19.6652719665272	0	0	0	12.5523012552301	1.25523012552301	0	0	0	0	0	0	0	57.3221757322176	0	1.25523012552301	4.18410041841004	0	0	0.418410041841004	0.418410041841004	0	0	0	0.418410041841004
14520	22745	"Loch Einich"	57.08333	-3.8	150	"AWI"	150	7022	8202	7515	3.41880341880342	0	0	0	0	17.0940170940171	0	0	0	13.6752136752137	0	0	0.427350427350427	0	0	0	0	0	58.974358974359	0	0.427350427350427	3.41880341880342	0	0	0	0	0	0	0	2.56410256410256
14520	22745	"Loch Einich"	57.08333	-3.8	155	"AWI"	155	7132	8364	7661	2.24719101123596	0	0	0	0	9.66292134831461	0	0	0	25.1685393258427	0.224719101123596	27.4157303370787	0	0	0	0	0.224719101123596	0	30.561797752809	0	1.79775280898876	1.12359550561798	0	0	0	0.224719101123596	0	0	0	1.34831460674157
