"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juniperus"	"Lamiaceae"	"Montiaceae"	"Myrica"	"Olea"	"Orchidaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"	"Urticaceae"
14486	22685	"Foula"	60.133532	-2.085412	34.5	"AWI"	34.5	237	468.5	376	0	4	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1
14486	22685	"Foula"	60.133532	-2.085412	36.5	"AWI"	36.5	257	478.5	393.5	0	2	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	1	15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0
14486	22685	"Foula"	60.133532	-2.085412	38.5	"AWI"	38.5	280	489	410	0	2	2	0	0	0	0	0	7	0	5	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	1	0	0	4	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0
14486	22685	"Foula"	60.133532	-2.085412	40.5	"AWI"	40.5	296.5	502.5	426	0	3	1	0	0	0	0	0	23	0	0	0	0	0	0	0	0	3	25	0	0	0	0	0	0	0	0	1	0	0	0	0	1	5	0	0	0	0	0	2	0	0	0	0	1	0	0	0
14486	22685	"Foula"	60.133532	-2.085412	42.5	"AWI"	42.5	313.5	509.5	443	0	2	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	1	40	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	1	0
14486	22685	"Foula"	60.133532	-2.085412	44.5	"AWI"	44.5	328.5	521.5	460	0	3	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	2	115	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0
14486	22685	"Foula"	60.133532	-2.085412	46.5	"AWI"	46.5	344	532.5	473	0	2	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	3	18	0	0	0	0	0	0	0	0	4	0	0	1	0	0	4	0	1	0	0	0	3	0	0	0	0	0	0	0	0
14486	22685	"Foula"	60.133532	-2.085412	48.5	"AWI"	48.5	358.5	545.5	486	0	1	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
14486	22685	"Foula"	60.133532	-2.085412	50.5	"AWI"	50.5	371.5	562	497	0	1	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	1	20	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	1	0	0	0
14486	22685	"Foula"	60.133532	-2.085412	52.5	"AWI"	52.5	385.5	571.5	509	0	2	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	4	12	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
14486	22685	"Foula"	60.133532	-2.085412	54.5	"AWI"	54.5	397.5	586	520	0	1	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	4	39	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1
14486	22685	"Foula"	60.133532	-2.085412	56.5	"AWI"	56.5	411	596.5	532	0	2	0	0	0	0	0	0	13	0	1	0	0	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1
