"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Ilex"	"Juglans"	"Lamiaceae"	"Linaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Tilia"	"Ulmus"	"Urticaceae"
3113	4055	"Fougères"	48.51667	-0.83333	175	"AWI"	175	-37	274	147	8	2	0	0	0	0	0	0	0	0	0	20	5	2	63	0	0	0	0	0	0	0	1	0	0	18	0	0	0	0	0	0	4	0	0
3113	4055	"Fougères"	48.51667	-0.83333	180	"AWI"	180	-6	294	169	37	0	4	1	3	0	2	0	0	2	0	39	5	3	120	10	0	0	0	0	0	0	7	43	0	23	0	0	0	0	2	0	1	3	1
3113	4055	"Fougères"	48.51667	-0.83333	185	"AWI"	185	22	320	192	21	1	0	1	0	0	3	0	0	0	0	15	7	2	186	4	0	0	0	1	0	2	2	33	0	18	0	0	0	2	1	0	0	0	0
3113	4055	"Fougères"	48.51667	-0.83333	190	"AWI"	190	48	344	215	34	0	4	4	1	0	1	2	0	0	2	15	6	6	232	9	1	0	0	0	0	0	3	36	0	15	0	0	0	0	6	2	0	0	1
3113	4055	"Fougères"	48.51667	-0.83333	195	"AWI"	195	78	369	238	12	1	0	1	0	0	3	1	0	0	0	18	1	13	202	8	1	0	0	2	0	1	5	41	0	16	0	0	0	1	2	0	0	0	0
3113	4055	"Fougères"	48.51667	-0.83333	200	"AWI"	200	108	392	260	49	0	0	3	0	0	1	0	0	0	1	39	12	5	257	10	0	0	0	1	0	1	9	56	0	28	0	0	0	1	6	1	1	0	0
3113	4055	"Fougères"	48.51667	-0.83333	203	"AWI"	203	131	404	272	244	1	0	4	0	5	2	0	0	0	0	12	7	2	91	2	0	0	0	2	1	1	3	24	0	22	0	0	1	0	6	1	1	0	1
3113	4055	"Fougères"	48.51667	-0.83333	207	"AWI"	207	157	423	292	304	0	1	2	0	0	2	0	0	1	1	8	1	5	94	4	1	0	0	1	1	0	4	18	0	20	0	0	0	2	3	0	3	0	0
3113	4055	"Fougères"	48.51667	-0.83333	210	"AWI"	210	171	441	307	345	2	1	1	0	5	1	1	0	0	0	2	2	5	45	1	0	0	0	1	0	0	2	11	2	11	0	1	1	0	2	1	2	0	0
3113	4055	"Fougères"	48.51667	-0.83333	213	"AWI"	213	189	458	323	212	2	0	1	0	0	1	0	0	0	1	6	2	3	35	2	0	0	0	0	0	2	1	20	0	13	1	1	0	1	2	0	0	1	0
3113	4055	"Fougères"	48.51667	-0.83333	215	"AWI"	215	196	470	334	289	0	1	3	0	0	1	1	0	0	1	4	2	3	41	4	0	0	0	0	0	0	2	24	0	14	0	0	0	2	1	0	1	0	1
3113	4055	"Fougères"	48.51667	-0.83333	217	"AWI"	217	208	480	345	188	0	2	0	0	0	1	0	0	0	1	1	4	0	43	5	0	0	0	0	3	0	2	21	0	19	0	0	0	0	1	1	1	1	1
3113	4055	"Fougères"	48.51667	-0.83333	220	"AWI"	220	220	498	361	192	0	1	0	0	0	0	1	0	0	0	3	3	1	34	2	1	0	0	0	0	0	0	12	0	15	0	0	0	2	1	0	0	0	0
3113	4055	"Fougères"	48.51667	-0.83333	224	"AWI"	224	243	518	386	204	0	0	1	0	0	1	0	0	0	0	3	2	1	33	2	0	0	0	0	0	0	2	18	0	12	0	0	0	1	1	0	0	0	0
3113	4055	"Fougères"	48.51667	-0.83333	227	"AWI"	227	259	534	403	292	1	0	0	0	0	0	0	0	1	0	9	2	2	73	4	0	0	1	0	0	0	3	17	0	16	0	0	0	0	0	2	1	1	0
3113	4055	"Fougères"	48.51667	-0.83333	230	"AWI"	230	277	550	420	302	1	0	3	2	0	1	0	0	1	0	9	3	7	84	1	0	0	0	0	0	0	3	35	0	35	0	0	0	1	3	0	0	0	1
3113	4055	"Fougères"	48.51667	-0.83333	245	"AWI"	245	367	624	507	303	1	3	2	0	0	0	0	0	2	1	11	5	7	73	3	4	0	0	0	0	2	4	51	0	23	2	0	0	3	3	5	0	0	0
3113	4055	"Fougères"	48.51667	-0.83333	247	"AWI"	247	382	632	519	275	1	2	2	2	0	4	0	0	0	1	12	1	6	104	0	0	0	0	1	0	0	3	36	0	37	0	0	0	2	2	0	2	1	1
3113	4055	"Fougères"	48.51667	-0.83333	250	"AWI"	250	396	649	536	134	2	1	1	1	0	2	0	0	2	1	7	1	5	81	4	0	0	0	0	0	1	5	29	0	26	1	0	0	0	3	0	0	0	0
3113	4055	"Fougères"	48.51667	-0.83333	255	"AWI"	255	430	673	565	41	0	1	3	2	0	2	0	0	1	1	6	5	2	120	3	0	0	0	0	0	0	2	29	0	35	0	0	0	4	1	0	2	2	1
3113	4055	"Fougères"	48.51667	-0.83333	260	"AWI"	260	461	699	594	67	0	0	2	1	0	1	0	0	0	2	14	1	2	78	2	2	0	0	0	0	1	10	27	0	53	2	0	1	0	2	0	2	0	1
3113	4055	"Fougères"	48.51667	-0.83333	280	"AWI"	280	578	803	705	164	0	1	2	1	0	6	0	0	0	1	27	5	0	66	0	0	0	0	0	0	0	5	20	0	59	0	0	0	1	1	0	1	2	1
3113	4055	"Fougères"	48.51667	-0.83333	310	"AWI"	310	711	1012	858	254	0	1	6	0	0	5	0	1	0	0	19	3	1	36	0	0	0	0	0	1	0	4	23	0	40	2	0	1	0	1	1	3	1	0
3113	4055	"Fougères"	48.51667	-0.83333	320	"AWI"	320	759	1079	910	140	1	0	4	0	0	9	0	0	0	0	51	9	1	45	0	0	1	0	0	1	0	7	35	0	47	0	0	0	0	5	0	11	2	0
