"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Apocynaceae"	"Araliaceae"	"Arbutus"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cercis"	"Cistaceae"	"Cornus"	"Corylus"	"Cotinus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Olea"	"Onagraceae"	"Ostrya.Carpinus"	"Paliurus"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"	"Vitex"
15829	24358	"Litochoro"	40.13889	22.54611	0	"AWI"	0	-118	46	-29	2	0	15	35	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	66	0	0	0	9	0	8	2	0	0	0	0	0	15	0	0	0	0	0	0	0	0
15829	24358	"Litochoro"	40.13889	22.54611	10	"AWI"	10	-83	129	12	2	0	20	27	1	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	9	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	67	0	0	0	0	1	0	3	0	0	0	2	0	4	0	0	0	0	0	0	0	0
15829	24358	"Litochoro"	40.13889	22.54611	20	"AWI"	20	-66	249	49	2	0	22	14	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	65	0	0	0	0	1	0	4	0	1	0	0	0	4	0	0	0	0	0	0	0	0
15829	24358	"Litochoro"	40.13889	22.54611	30	"AWI"	30	-32	317	95	3	0	23	11	1	0	2	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	1	7	0	0	2	3	0	4	0	0	0	0	0	0	50	0	2	0	8	0	0	5	0	0	0	2	0	21	0	1	0	0	0	1	1	0
15829	24358	"Litochoro"	40.13889	22.54611	40	"AWI"	40	-10	395	140	8	0	79	18	0	0	0	0	4	0	0	0	0	9	0	0	0	0	0	1	0	0	0	3	0	26	0	0	0	7	13	0	0	4	3	0	14	0	0	0	0	2	0	71	1	5	1	18	3	17	15	2	6	0	6	0	54	0	0	0	3	0	0	1	0
15829	24358	"Litochoro"	40.13889	22.54611	50	"AWI"	50	17	456	185	4	0	220	7	0	0	0	0	4	0	0	0	0	7	0	0	0	0	0	0	0	0	0	3	0	13	0	0	0	3	10	0	0	2	6	0	7	0	0	11	0	0	0	53	1	6	0	25	1	0	7	0	9	0	0	0	19	0	0	0	0	0	0	3	0
15829	24358	"Litochoro"	40.13889	22.54611	60	"AWI"	60	45	510	233	3	0	145	9	3	0	0	0	6	0	0	0	0	4	0	0	1	0	0	4	0	0	0	5	0	16	0	0	0	7	9	0	0	3	7	0	4	0	0	8	0	1	0	61	0	6	2	38	2	15	12	0	7	0	1	0	40	0	1	0	3	0	0	4	0
15829	24358	"Litochoro"	40.13889	22.54611	70	"AWI"	70	72	576	279	3	0	170	6	2	0	2	0	3	0	0	0	0	4	0	0	0	0	0	2	0	0	0	5	0	18	0	0	0	3	0	0	0	5	10	0	4	0	0	0	0	0	0	45	1	3	0	18	0	6	4	0	29	0	0	0	25	0	0	0	2	0	0	4	0
15829	24358	"Litochoro"	40.13889	22.54611	80	"AWI"	80	112	625	327	0	0	186	6	0	0	2	0	6	0	0	0	0	5	0	0	0	0	0	1	0	0	0	7	0	12	0	0	0	2	8	1	0	3	2	0	6	0	0	3	0	0	0	27	1	5	0	0	1	0	10	0	3	0	1	0	28	0	0	0	2	0	0	1	0
15829	24358	"Litochoro"	40.13889	22.54611	90	"AWI"	90	137	695	374	2	0	255	2	0	0	1	0	7	0	0	0	0	5	0	0	0	0	0	0	0	0	0	3	0	15	0	0	0	2	8	0	0	0	1	0	3	0	0	0	0	0	0	34	1	2	0	0	0	0	6	0	0	0	2	0	32	0	0	0	2	0	0	1	0
15829	24358	"Litochoro"	40.13889	22.54611	102	"AWI"	102	192	744	429	0	0	206	7	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	22	0	0	0	3	8	0	0	2	1	0	6	0	0	0	0	0	0	37	4	4	0	0	2	0	9	1	1	0	1	0	32	0	1	0	0	0	0	5	0
15829	24358	"Litochoro"	40.13889	22.54611	110	"AWI"	110	213	790	465	1	0	343	7	1	0	0	0	6	0	0	0	0	3	1	0	2	0	0	0	0	0	0	8	0	10	0	0	0	2	14	0	0	5	1	0	8	0	0	14	0	0	0	39	1	3	1	17	0	0	8	0	3	0	0	0	27	0	1	0	1	0	0	2	0
15829	24358	"Litochoro"	40.13889	22.54611	120	"AWI"	120	260	832	511	2	0	301	1	0	0	2	0	6	0	0	0	0	4	1	0	0	0	0	0	0	0	0	8	0	20	0	0	0	5	25	0	0	3	3	0	7	0	0	10	0	1	0	38	3	6	1	15	1	0	18	0	7	0	0	5	48	0	0	1	3	0	0	5	0
15829	24358	"Litochoro"	40.13889	22.54611	137	"AWI"	137	321	919	594	2	0	238	9	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	11	0	21	0	0	0	0	0	0	0	2	0	0	7	0	0	8	0	0	1	46	2	3	3	23	0	22	15	0	2	0	2	0	36	0	1	0	4	0	0	3	0
15829	24358	"Litochoro"	40.13889	22.54611	150	"AWI"	150	380	973	654	2	1	113	10	1	0	1	0	9	0	0	0	0	3	1	0	0	0	0	0	0	0	0	10	0	48	0	0	0	8	15	0	0	1	2	0	12	0	0	17	0	0	0	72	2	6	0	18	0	40	15	0	3	0	2	0	8	0	0	0	5	0	0	4	0
15829	24358	"Litochoro"	40.13889	22.54611	160	"AWI"	160	423	1019	700	2	0	136	7	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	12	0	43	0	0	0	2	12	1	1	0	1	0	10	0	0	11	0	0	1	44	1	3	0	0	1	26	12	3	6	0	3	0	9	0	0	0	9	0	0	4	0
15829	24358	"Litochoro"	40.13889	22.54611	170	"AWI"	170	477	1053	746	3	0	70	4	0	0	0	0	11	0	0	0	0	2	0	0	1	0	0	0	0	0	0	11	0	46	1	0	0	10	0	0	0	0	4	0	7	1	0	18	0	0	1	75	2	1	0	35	1	35	18	1	5	0	1	0	5	0	1	0	3	0	0	4	0
