"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Droseraceae"	"Ericales"	"Juniperus"	"Picea"	"Pinus"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"
3211	4169	"Kunyok"	67.83333	33.66667	3	"AWI"	3	-74	325	70	0	0	0	0	0	153	0	0	0	0	0	51	0	49	83	0	0	0	0	0	0	0	0	0	0
3211	4169	"Kunyok"	67.83333	33.66667	23	"AWI"	23	661	1283	934	0	16	3	2	0	135	0	0	0	2	0	90	0	10	66	6	0	0	0	0	0	0	0	0	1
3211	4169	"Kunyok"	67.83333	33.66667	43	"AWI"	43	2178	2654	2450	0	11	0	0	2	274	0	1	0	2	0	44	0	32	72	7	0	2	0	0	2	0	0	0	0
3211	4169	"Kunyok"	67.83333	33.66667	51	"AWI"	51	3218	3849	3595	0	8	0	4	3	206	0	0	0	0	0	91	0	73	193	0	0	0	0	0	0	0	0	0	0
3211	4169	"Kunyok"	67.83333	33.66667	57	"AWI"	57	4488	5259	4909	0	15	0	1	3	241	0	0	0	6	3	74	0	16	260	7	1	0	0	1	0	0	0	0	2
3211	4169	"Kunyok"	67.83333	33.66667	63	"AWI"	63	5143	5710	5423	0	12	0	3	0	131	0	0	1	54	0	20	0	1	196	1	0	1	4	0	0	0	1	1	0
3211	4169	"Kunyok"	67.83333	33.66667	71	"AWI"	71	5623	6026	5823	4	40	1	1	0	276	1	1	0	44	1	45	0	15	198	4	0	0	0	0	1	0	0	2	3
3211	4169	"Kunyok"	67.83333	33.66667	78	"AWI"	78	5923	6465	6149	0	15	0	0	0	153	0	0	1	11	0	95	2	7	209	2	0	1	0	0	0	0	0	0	1
3211	4169	"Kunyok"	67.83333	33.66667	83	"AWI"	83	6117	6813	6397	0	44	0	4	1	342	0	1	0	25	1	29	0	6	268	5	0	3	0	0	2	1	0	3	4
3211	4169	"Kunyok"	67.83333	33.66667	87	"AWI"	87	6294	7063	6595	0	67	2	2	3	379	0	1	0	49	1	12	0	12	280	12	0	13	3	0	0	0	0	0	1
3211	4169	"Kunyok"	67.83333	33.66667	93	"AWI"	93	6871	7511	7271	0	14	0	1	0	185	0	0	0	3	0	0	0	0	312	2	0	0	0	0	0	0	0	0	0
3211	4169	"Kunyok"	67.83333	33.66667	105	"AWI"	105	7709	8073	7899	0	17	0	6	3	297	0	0	0	23	0	40	0	0	253	2	0	0	0	0	3	0	0	1	2
