"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Celastraceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Gentianaceae"	"Geraniaceae"	"Indeterminable"	"Juncaceae"	"Juniperus"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	1	"AWI"	1	-83	151	11	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	0	0	0	0	21	328	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	4	"AWI"	4	-43	632	142	3	4	0	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	1
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	8	"AWI"	8	51	969	360	7	0	0	2	0	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	21	0	0	0	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	12	"AWI"	12	168	1250	574	4	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	33	0	0	9	311	0	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	16	"AWI"	16	288	1470	785	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	262	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	20	"AWI"	20	414	1724	996	5	0	0	0	0	0	0	0	0	0	16	0	0	0	1	0	0	0	0	0	5	301	0	0	5	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	24	"AWI"	24	599	1900	1213	4	0	0	1	0	0	0	0	0	0	13	0	0	1	0	0	0	0	0	0	11	297	0	0	9	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	28	"AWI"	28	800	2100	1442	4	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	14	303	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	32	"AWI"	32	983	2314	1651	3	0	0	2	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	6	334	0	0	2	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	36	"AWI"	36	1173	2521	1862	2	0	0	0	0	157	0	0	0	0	10	0	0	0	0	0	0	0	0	0	8	310	0	0	1	1	0	0	2	0	0	0	0	0	2	0	2	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	40	"AWI"	40	1336	2717	2072	6	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	11	315	0	0	3	0	0	0	1	0	0	0	0	0	4	0	2	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	44	"AWI"	44	1594	2868	2289	4	0	0	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	13	289	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	48	"AWI"	48	1831	3001	2500	7	0	0	0	0	218	0	0	0	1	14	0	0	0	0	0	0	0	0	0	8	298	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	52	"AWI"	52	2078	3129	2708	3	0	0	1	0	190	0	0	0	0	10	0	0	0	0	0	1	0	0	0	7	287	0	0	7	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	56	"AWI"	56	2362	3243	2907	1	0	0	1	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	8	328	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	60	"AWI"	60	2663	3365	3114	2	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	9	291	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	64	"AWI"	64	3009	3442	3278	3	2	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	1	10	285	0	0	11	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	68	"AWI"	68	3135	3649	3414	3	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	13	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	72	"AWI"	72	3233	3841	3522	7	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	24	0	0	6	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	76	"AWI"	76	3332	4001	3638	5	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	7	315	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	80	"AWI"	80	3420	4150	3763	3	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	8	389	0	0	5	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	84	"AWI"	84	3528	4268	3881	8	1	0	1	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	3	284	0	0	6	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	88	"AWI"	88	3645	4377	4005	9	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	7	305	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	100	"AWI"	100	4037	4696	4367	4	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	6	276	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	104	"AWI"	104	4228	4756	4473	5	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	10	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	108	"AWI"	108	4352	4910	4613	7	2	0	0	0	0	0	1	0	0	17	0	0	0	0	0	0	19	0	0	6	244	0	0	3	0	0	0	3	0	1	0	0	0	2	0	0	0	1	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	112	"AWI"	112	4463	5128	4762	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	6	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	116	"AWI"	116	4571	5329	4912	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	258	0	1	2	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	120	"AWI"	120	4670	5500	5067	3	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	2	416	0	0	6	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	124	"AWI"	124	4794	5627	5219	8	0	0	0	0	0	0	0	0	1	0	9	1	0	0	0	0	0	0	0	6	270	0	0	3	1	0	0	0	0	1	0	1	0	0	0	1	0	1	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	128	"AWI"	128	4933	5749	5371	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	8	320	0	0	3	1	0	0	1	0	2	0	0	0	1	0	0	0	4	1
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	132	"AWI"	132	5097	5884	5524	9	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	1	2	281	0	0	4	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	136	"AWI"	136	5264	5997	5674	5	0	0	2	0	0	0	0	0	1	23	0	0	0	0	0	0	0	0	0	2	240	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	140	"AWI"	140	5430	6098	5825	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	6	290	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	144	"AWI"	144	5691	6175	5962	9	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	7	277	0	0	6	0	0	0	0	0	0	0	0	0	3	0	2	2	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	148	"AWI"	148	5827	6319	6097	5	1	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	1	351	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	152	"AWI"	152	5933	6511	6220	8	1	0	0	0	247	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	277	0	0	4	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	156	"AWI"	156	6029	6688	6342	18	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	2	0	0	0	0	0	4	0	0	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	160	"AWI"	160	6131	6850	6471	16	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	240	0	0	1	1	0	0	0	0	1	0	0	0	3	1	0	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	164	"AWI"	164	6250	6950	6597	13	0	0	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	2	282	0	0	2	1	1	1	0	0	0	0	0	0	5	0	0	0	1	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	168	"AWI"	168	6372	7054	6727	18	0	0	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	172	"AWI"	172	6512	7157	6854	14	0	0	0	0	0	1	0	0	1	21	0	0	0	0	0	0	0	0	0	0	240	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	176	"AWI"	176	6653	7256	6978	6	0	0	2	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	239	0	0	4	0	1	2	1	0	0	0	0	0	1	0	0	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	180	"AWI"	180	6808	7355	7104	14	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	1	0	0	0	0	0	2	0	0	0	0	1
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	184	"AWI"	184	6956	7480	7228	17	0	0	1	0	230	0	0	1	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	0	0	0	0	0	0	0	0	4	2	0	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	188	"AWI"	188	7059	7640	7349	16	1	0	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	1	0	0	0	0	0	3	0	0	0	1	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	190	"AWI"	190	7092	7747	7408	12	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	2	342	0	0	4	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	194	"AWI"	194	7210	7857	7535	10	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	284	0	0	4	5	0	0	2	0	0	0	0	0	2	0	1	0	0	1
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	198	"AWI"	198	7326	7973	7666	18	0	0	0	0	224	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	323	0	0	1	2	0	0	0	0	0	0	0	0	7	0	0	0	4	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	202	"AWI"	202	7456	8107	7791	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	0	0	7	0	0	0	0	0	0	1	0	1	0	0	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	206	"AWI"	206	7604	8207	7916	57	0	0	0	0	285	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	309	0	0	5	2	0	0	0	0	0	0	0	0	4	0	0	0	1	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	210	"AWI"	210	7766	8308	8044	28	0	0	0	0	201	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	271	0	0	5	5	0	0	0	0	0	0	0	0	5	1	1	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	214	"AWI"	214	8028	8535	8253	12	2	0	0	0	0	1	1	0	1	6	0	0	0	0	0	0	0	0	0	1	0	0	0	3	3	0	0	1	0	0	0	0	0	4	0	0	0	1	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	216	"AWI"	216	8153	8687	8379	7	0	1	0	0	0	0	0	0	0	9	0	0	0	0	0	1	0	0	0	1	280	0	0	7	9	0	0	2	0	0	0	0	0	6	1	0	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	218	"AWI"	218	8297	8779	8537	6	0	0	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	229	0	0	10	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0
26119	45314	"Alanen Laanijärvi"	67.96611	20.46028	220	"AWI"	220	8396	8968	8681	15	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	255	0	0	4	11	0	0	0	0	0	0	0	0	4	0	0	0	0	0
