"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Ailanthus"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Eucalyptus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Ficus"	"Fraxinus"	"Genista"	"Geraniaceae"	"Heliotropium"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juncaceae"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Loranthaceae"	"Lythraceae"	"Myrtus"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Resedaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Thymelaeaceae"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Viburnum"	"Vitaceae"
27014	47580	"Gorgo Lungo"	37.90101	13.40842	190	"AWI"	190	272	749	505	1	5	0	1	1	0	0	1	6	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0	154	0	0	0	0	175	8	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
27014	47580	"Gorgo Lungo"	37.90101	13.40842	210	"AWI"	210	323	800	567	0	3	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	110	3	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
27014	47580	"Gorgo Lungo"	37.90101	13.40842	230	"AWI"	230	378	862	628	0	0	0	0	17	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	26	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	206	0	0	0	0	10	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
27014	47580	"Gorgo Lungo"	37.90101	13.40842	250	"AWI"	250	441	924	691	0	0	0	0	4	0	0	2	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	163	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0
27014	47580	"Gorgo Lungo"	37.90101	13.40842	270	"AWI"	270	502	983	755	0	18	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	135	0	0	0	0	6	2	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0
27014	47580	"Gorgo Lungo"	37.90101	13.40842	290	"AWI"	290	564	1030	817	0	1	0	0	3	0	0	1	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	121	0	0	0	0	43	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
27014	47580	"Gorgo Lungo"	37.90101	13.40842	310	"AWI"	310	639	1080	880	0	0	0	1	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	21	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	173	0	0	0	0	59	8	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0
27014	47580	"Gorgo Lungo"	37.90101	13.40842	340	"AWI"	340	739	1148	975	0	13	0	2	6	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	4	0	0	0	1	0	1	2	0	0	250	0	0	0	0	100	15	0	0	0	0	4	0	2	0	0	5	0	0	1	5	0	0	0	0
27014	47580	"Gorgo Lungo"	37.90101	13.40842	350	"AWI"	350	782	1168	1003	0	1	0	1	7	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	117	0	0	0	1	187	8	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0
27014	47580	"Gorgo Lungo"	37.90101	13.40842	370	"AWI"	370	851	1211	1062	0	1	0	1	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	107	0	0	0	1	312	11	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0
27014	47580	"Gorgo Lungo"	37.90101	13.40842	390	"AWI"	390	926	1247	1122	0	22	0	1	3	0	0	8	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	2	2	0	0	60	0	0	0	1	382	9	0	0	0	0	0	0	0	0	0	4	2	1	0	15	0	0	0	0
27014	47580	"Gorgo Lungo"	37.90101	13.40842	410	"AWI"	410	1037	1271	1175	0	3	0	0	3	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	292	15	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1
27014	47580	"Gorgo Lungo"	37.90101	13.40842	430	"AWI"	430	1127	1304	1242	0	3	0	0	0	0	0	30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	3	0	0	0	0	0	0	0	290	8	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0
27014	47580	"Gorgo Lungo"	37.90101	13.40842	450	"AWI"	450	1182	1398	1294	0	2	0	0	3	0	0	24	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	27	0	1	0	0	0	0	0	3	1	0	0	1	1	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	12	4	0	0	72	0	0	0	0	221	12	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0
27014	47580	"Gorgo Lungo"	37.90101	13.40842	470	"AWI"	470	1221	1505	1343	0	2	0	2	1	0	0	37	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	1	250	9	0	0	0	0	0	0	1	0	0	0	1	0	0	7	0	0	0	1
27014	47580	"Gorgo Lungo"	37.90101	13.40842	490	"AWI"	490	1255	1587	1396	0	0	0	4	2	0	0	9	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	249	7	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1
27014	47580	"Gorgo Lungo"	37.90101	13.40842	510	"AWI"	510	1297	1670	1448	0	2	0	0	1	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	3	0	0	73	0	0	0	0	315	12	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
27014	47580	"Gorgo Lungo"	37.90101	13.40842	530	"AWI"	530	1352	1752	1503	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	310	10	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
27014	47580	"Gorgo Lungo"	37.90101	13.40842	550	"AWI"	550	1409	1842	1553	0	0	0	0	1	0	0	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	1	2	0	0	0	0	0	0	0	380	6	0	0	0	0	0	0	1	0	0	0	0	0	0	21	0	0	0	0
27014	47580	"Gorgo Lungo"	37.90101	13.40842	580	"AWI"	580	1495	1969	1626	0	0	0	2	0	0	0	23	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	23	0	0	0	0	335	10	0	0	1	0	0	0	0	0	0	0	2	0	0	10	0	0	0	0
